seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.4345785440613027,4475,0.7562011173184358,0.06643896952244127,0.006776034236804562,0.8578794220152295,1952,,,,,,,
0,expgrad_dp,0.4345785440613027,4475,0.7508379888268156,0.017901436973280782,0.05159952384363242,0.9598193338836692,1956,0.04853753254916049,0.452422245346283,0.4966887417218543,0.9595959595959596,75.0,76.0,0.20491803278688525
0,expgrad_dp_floor,0.4345785440613027,4475,0.7481564245810056,0.021332126502392246,0.04397454132430134,0.9524345804541763,1962,0.045106843020049026,0.42129701628490834,0.4861111111111111,0.898989898989899,70.0,74.0,0.5122950819672131
1,baseline,0.43505747126436783,4475,0.754413407821229,0.05831450666375915,0.006216833095577745,0.8743505443314089,1954,,,,,,,
1,expgrad_dp,0.43505747126436783,4475,0.7501675977653631,0.010513138316294468,0.057134569662387086,0.9761083382600909,1947,0.04780136834746468,0.5035618597981544,0.524822695035461,1.0833333333333333,74.0,67.0,-0.35823950870010235
1,expgrad_dp_floor,0.43505747126436783,4475,0.7481564245810056,0.0018617558588488459,0.06180123632905374,0.9957404464987883,1952,0.0564527508049103,0.47875482844807976,0.5061728395061729,1.0204081632653061,82.0,80.0,-0.1023541453428864
2,baseline,0.4368773946360153,4475,0.7470391061452514,0.056584430598134894,0.004571564431764152,0.8806839433157762,2003,,,,,,,
2,expgrad_dp,0.4368773946360153,4475,0.743463687150838,0.009631464936697531,0.051555182634618224,0.9788232971493968,2015,0.04695296566143736,0.4137262769672084,0.5104895104895105,0.8762886597938144,73.0,70.0,0.5991013479780329
2,expgrad_dp_floor,0.4368773946360153,4475,0.7439106145251396,0.005991530804653755,0.060215361841319814,0.9867896229558473,2017,0.05059289979348114,0.4090014142702642,0.5067567567567568,0.8585858585858586,75.0,73.0,0.6989515726410385
3,baseline,0.43764367816091954,4475,0.7423463687150837,0.06470508536538433,0.010290571353532396,0.863438821617442,1984,,,,,,,
3,expgrad_dp,0.43764367816091954,4475,0.7396648044692737,0.016272175117690024,0.047876367094626754,0.9639208701510393,1984,0.048432910247694305,0.47083798882681566,0.5067567567567568,1.0,75.0,73.0,0.0
3,expgrad_dp_floor,0.43764367816091954,4475,0.740782122905028,0.02091744538796031,0.0471165002377556,0.9540940586851807,1995,0.04378763997742402,0.41470113011676485,0.4689655172413793,0.8921568627450981,68.0,77.0,0.5544354838709677
4,baseline,0.439272030651341,4475,0.7631284916201118,0.06643516143100864,0.016969039603521363,0.8567227119593548,1935,,,,,,,
4,expgrad_dp,0.439272030651341,4475,0.7579888268156425,0.019687632281070788,0.04955397051830718,0.9551296311438155,1922,0.04674752914993785,0.5329809081593716,0.541095890410959,1.1494252873563218,79.0,67.0,-0.6718346253229974
4,expgrad_dp_floor,0.439272030651341,4475,0.7604469273743016,0.023697552559678814,0.04898050404184498,0.9462492294431806,1923,0.042737608871329824,0.5335828245026588,0.5352112676056338,1.1363636363636365,76.0,66.0,-0.6201550387596899
