seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.3908216136195411,4632,0.7594991364421416,0.04942881134906868,0.017013863147749997,0.8805672109714472,1810,,,,,,,
0,expgrad_dp,0.3908216136195411,4632,0.7614421416234888,0.022308513954640063,0.044009934020312835,0.9441834645779948,1803,0.027120297394428616,0.5231237616585322,0.47,1.1076923076923078,47.0,53.0,-0.3867403314917127
0,expgrad_dp_floor,0.3908216136195411,4632,0.7582037996545768,0.011911129917216712,0.06645785454815034,0.9700766216845482,1818,0.03751768143185197,0.4213659773235399,0.4418604651162791,0.9111111111111111,57.0,72.0,0.4419889502762431
1,baseline,0.3859178386380459,4632,0.7599309153713298,0.046846175521502775,0.025823465902051368,0.8882306431222946,1840,,,,,,,
1,expgrad_dp,0.3859178386380459,4632,0.7538860103626943,0.011232612283528287,0.05835295705995208,0.9721218767570782,1842,0.03561356323797449,0.4552766883615306,0.46715328467153283,0.979381443298969,64.0,73.0,0.10869565217391304
1,expgrad_dp_floor,0.3859178386380459,4632,0.7541018998272885,0.005284536482024593,0.05892880590189495,0.9868711465245169,1853,0.04156163903947818,0.399872963244934,0.45222929936305734,0.8879310344827587,71.0,86.0,0.7065217391304348
2,baseline,0.3887860843819393,4632,0.7681347150259067,0.041076528888019326,0.023339371719688806,0.8975371114593087,1768,,,,,,,
2,expgrad_dp,0.3887860843819393,4632,0.7638169257340242,0.015002653970048963,0.05078789210922441,0.9614463048498846,1770,0.026073874917970363,0.4508408611107122,0.4842105263157895,0.9696969696969697,46.0,49.0,0.11312217194570136
2,expgrad_dp_floor,0.3887860843819393,4632,0.7651122625215889,0.012231291383443865,0.052071306468894074,0.9685681293302542,1776,0.02884523750457546,0.40752544397133644,0.4636363636363636,0.9012345679012346,51.0,59.0,0.45248868778280543
3,baseline,0.38471502590673573,4632,0.7707253886010362,0.05751672656432111,0.011509378011713256,0.8615670590886048,1800,,,,,,,
3,expgrad_dp,0.38471502590673573,4632,0.7689982728842832,0.025881029122523547,0.052335236118318695,0.9348484705660555,1784,0.03163569744179756,0.5765884664551877,0.5619047619047619,1.2666666666666666,59.0,46.0,-0.8888888888888888
3,expgrad_dp_floor,0.38471502590673573,4632,0.7677029360967185,0.027276259091134625,0.054755726888575884,0.9318921749212256,1796,0.030240467473186483,0.49595705688600494,0.5047619047619047,1.0588235294117647,53.0,52.0,-0.2222222222222222
4,baseline,0.3886935603256847,4632,0.7689982728842832,0.05572569464272509,0.013516189008490359,0.8657467883949191,1802,,,,,,,
4,expgrad_dp,0.3886935603256847,4632,0.7657599309153713,0.020913283986028985,0.04536659500333606,0.9472463480638716,1791,0.0348124106566961,0.535617285610563,0.559322033898305,1.1527777777777777,66.0,52.0,-0.6104328523862376
4,expgrad_dp_floor,0.3886935603256847,4632,0.7631692573402418,0.030415526520509495,0.037584941820332674,0.9254124215446352,1823,0.025310168122215593,0.2882758926788133,0.3894736842105263,0.7272727272727273,37.0,58.0,1.1653718091009988
