seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.6859676800409329,30154,0.643065596604099,0.06718708245403515,0.029227192754943343,0.9066270571095413,20695,,,,,,,
0,expgrad_dp,0.6859676800409329,30154,0.6205478543476819,0.016921224182717576,0.03453304815048219,0.9763803713025441,21350,0.050265858271317576,0.06268775152610409,0.33800494641385,0.43776824034334766,410.0,803.0,3.1650157042763953
0,expgrad_dp_floor,0.6859676800409329,30154,0.5890097499502553,0.016713627415159138,0.026262927281790027,0.9776785300354972,22329,0.050473455038876014,-0.5787773600720763,0.15745276417074877,0.128068303094984,225.0,1204.0,7.895626963034549
1,baseline,0.6821017922369562,30154,0.6444916097366851,0.06727743775371398,0.02817652949418381,0.9063562491500069,20660,,,,,,,
1,expgrad_dp,0.6821017922369562,30154,0.6240631425349871,0.01939982003645857,0.032285670715133885,0.9728009702148759,21218,0.047877617717255405,0.10832011600616853,0.352580927384077,0.4755639097744361,403.0,740.0,2.7008712487899325
1,expgrad_dp_floor,0.6821017922369562,30154,0.5904357630828414,0.016142022463628836,0.02846749947846272,0.978398363507998,22292,0.05113541529008514,-0.5635822295259677,0.16144745998608212,0.1300639658848614,232.0,1205.0,7.899322362052275
2,baseline,0.6864082775480038,30154,0.6456854811965245,0.0724473166062064,0.03607247372099509,0.8995457879244182,20666,,,,,,,
2,expgrad_dp,0.6864082775480038,30154,0.6238641639583472,0.018964757750631,0.030580165992700636,0.9734695422155054,21272,0.0534825588555754,0.11906225794117414,0.34732510288065843,0.45796064400715564,422.0,793.0,2.9323526565373075
2,expgrad_dp_floor,0.6864082775480038,30154,0.5931219738674802,0.01983496591534739,0.02146644452497659,0.973444714731193,22227,0.05261235069085901,-0.4891171813490925,0.17929117442668518,0.1474604041507373,258.0,1181.0,7.553469466756992
3,baseline,0.6865646185989,30154,0.643828347814552,0.06494935340613317,0.02463415076104236,0.9098931238218919,20766,,,,,,,
3,expgrad_dp,0.6865646185989,30154,0.6213106055581349,0.010327460725747195,0.0427991698392326,0.9855445916350908,21389,0.054621892680385975,0.11657879112825259,0.352755905511811,0.46888320545609546,448.0,822.0,3.0000963112780505
3,expgrad_dp_floor,0.6865646185989,30154,0.5897061749684951,0.014084762035171283,0.0333885820221943,0.98120756940687,22390,0.05086459137096189,-0.5640017285561401,0.16781767955801105,0.13846153846153847,243.0,1205.0,7.82047577771357
4,baseline,0.6857829133444193,30154,0.6415069310870863,0.0731307558744595,0.03799724345473576,0.899403936767596,20830,,,,,,,
4,expgrad_dp,0.6857829133444193,30154,0.6224713139218677,0.020252988415634054,0.028822132957986746,0.9717659217959775,21328,0.05287776745882544,0.18249828267216225,0.37468354430379747,0.5202312138728323,444.0,741.0,2.3907825252040324
4,expgrad_dp_floor,0.6857829133444193,30154,0.5913974928699344,0.018594295302422292,0.023054690273268896,0.975160317430343,22295,0.054536460572037204,-0.39602582480556064,0.18873239436619718,0.1623785020011435,268.0,1152.0,7.033125300048008
