seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.5475697797397342,18641,0.7308084330239794,0.15046790541658966,0.08909884992496586,0.7331814337097317,10148,,,,,,,
0,expgrad_dp,0.5475697797397342,18641,0.6119306904136044,0.021185873096635444,0.044571055862492326,0.9670216063697287,11924,0.12928203231995422,-0.6070708549031685,0.6176056338028169,0.3405124396583736,877.0,543.0,17.500985415845488
0,expgrad_dp_floor,0.5475697797397342,18641,0.5977147148758114,0.014355762947615647,0.037069009617352155,0.9781791326951246,12229,0.13611214246897402,-0.6902990045156757,0.5653450807635829,0.27893277893277896,770.0,592.0,20.50650374458021
1,baseline,0.545615487193636,18641,0.728555335014216,0.14540648487265406,0.08005269214463084,0.742297510420187,10166,,,,,,,
1,expgrad_dp,0.545615487193636,18641,0.6027037176117161,0.020988871012019183,0.02741438367687543,0.9676511319065991,12044,0.12441761386063488,-0.6798629799406751,0.61875,0.33214793741109533,891.0,549.0,18.47334251426323
1,expgrad_dp_floor,0.545615487193636,18641,0.5905262593208519,0.015089656830313936,0.030528469235997613,0.977274444402257,12341,0.13031682804234013,-0.7654682236668038,0.5839829907866761,0.2819412347309343,824.0,587.0,21.394845563643518
2,baseline,0.5463972042120753,18641,0.7277506571535862,0.14758282822263674,0.0840887219967833,0.7396352541036363,10209,,,,,,,
2,expgrad_dp,0.5463972042120753,18641,0.5971246177780162,0.021026254551344103,0.029190965827706195,0.9680429302077584,12214,0.12655657367129264,-0.7200105760868573,0.6137931034482759,0.3152322404371585,890.0,560.0,19.639533744735036
2,expgrad_dp_floor,0.5463972042120753,18641,0.5924574861863634,0.024269378450273993,0.03633108246367911,0.9635678557646049,12359,0.12331344977236275,-0.805441945634237,0.5767511177347243,0.2719268540467321,774.0,568.0,21.059849152708395
3,baseline,0.5482365383731089,18641,0.7290381417305939,0.16015324704560535,0.09529673820146839,0.7181636468395661,10205,,,,,,,
3,expgrad_dp,0.5482365383731089,18641,0.5987876186899844,0.014454263989923777,0.03235385164099358,0.9779218229667046,12169,0.14569898305568157,-0.5932539564630889,0.6049300466355763,0.32345849121598347,908.0,593.0,19.24546790788829
3,expgrad_dp_floor,0.5482365383731089,18641,0.585108095059278,0.01629214370151033,0.026743114018263903,0.9757338318789258,12476,0.14386110334409502,-0.7169711891556145,0.5513280689160086,0.25929549902152643,768.0,625.0,22.253797158255757
4,baseline,0.5477996965098634,18641,0.7329005954616169,0.15372289629734887,0.08898444807838546,0.7261821460638043,10093,,,,,,,
4,expgrad_dp,0.5477996965098634,18641,0.6009870715090392,0.01802362802665336,0.05745600572948639,0.9723238429809412,12096,0.1356992682706955,-0.661959159821218,0.6135135135135135,0.3180115764385427,908.0,572.0,19.845437431883482
4,expgrad_dp_floor,0.5477996965098634,18641,0.5904726141301432,0.028430818297154326,0.045119705340699756,0.9574547584851145,12388,0.12529207800019454,-0.8527546586445216,0.5655070318282753,0.25583657587548636,764.0,587.0,22.738531655602895
