seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.40925185082999954,18641,0.7856874631189313,0.1314738333050665,0.057523940268777024,0.6907619524060066,7607,,,,,,,
0,expgrad_dp,0.40925185082999954,18641,0.7577919639504318,0.03280930167650403,0.03774924461133658,0.9207613351410221,7639,0.09866453162856248,0.11247618998456578,0.7520814061054579,0.9644839067702553,813.0,268.0,0.42066517681083215
0,expgrad_dp_floor,0.40925185082999954,18641,0.7311303041682313,0.020719699342630293,0.05626790464497644,0.9496443627004101,7620,0.11075413396243622,0.12357828933481932,0.773524720893142,0.9874031007751938,970.0,284.0,0.17089522807940055
1,baseline,0.40796431691727597,18641,0.7863848505981439,0.12303411731810288,0.055875281358706785,0.7124476393516386,7678,,,,,,,
1,expgrad_dp,0.40796431691727597,18641,0.7503889276326378,0.02009742129975539,0.056040081023425475,0.9521882995772907,7787,0.10293669601834748,0.07306994093784017,0.7547826086956522,0.8939688715953308,868.0,282.0,1.4196405313883824
1,expgrad_dp_floor,0.40796431691727597,18641,0.7304865618797275,0.018136593544667456,0.04568334914770625,0.9559551508767021,7632,0.10489752377343542,0.15339966852634057,0.7932098765432098,1.0444444444444445,1028.0,268.0,-0.5991143526960145
2,baseline,0.4100795512024647,18641,0.7872431736494824,0.1326330031460235,0.05736747891977739,0.6906819107076203,7672,,,,,,,
2,expgrad_dp,0.4100795512024647,18641,0.7573628024247626,0.020312936894650246,0.05587016574585635,0.9509781525916936,7675,0.11232006625137325,0.12844217660238139,0.7609427609427609,0.9968553459119497,904.0,284.0,0.03910323253388947
2,expgrad_dp_floor,0.4100795512024647,18641,0.7322032079824043,0.028684888850181167,0.05807243707796195,0.9305153976777272,7626,0.10394811429584233,0.15361453088378696,0.7967032967032966,1.0453201970443349,1015.0,259.0,-0.5995828988529719
3,baseline,0.4110222099599945,18641,0.788369722654364,0.1346797519240554,0.059502419262579154,0.6855921738330197,7659,,,,,,,
3,expgrad_dp,0.4110222099599945,18641,0.7540368006008261,0.028278482920968462,0.04507600993277211,0.9333027493124751,7835,0.10640126900308694,0.041139659343870545,0.7404021937842779,0.8279569892473119,810.0,284.0,2.2979501240370808
3,expgrad_dp_floor,0.4110222099599945,18641,0.7298964647819323,0.02030700340373559,0.041437021783457484,0.9516187433594901,7775,0.11437274852031981,0.07546657285483363,0.7634493670886076,0.896797153024911,965.0,299.0,1.5145580362971667
4,baseline,0.410286476295581,18641,0.7904618850920015,0.12122750939554278,0.060692909760589386,0.7124016085423864,7564,,,,,,,
4,expgrad_dp,0.410286476295581,18641,0.7611179657743683,0.01702074073394988,0.05964373919070787,0.9586773814242379,7637,0.1042067686615929,0.09229492460513754,0.7563540753724802,0.9258883248730965,863.0,278.0,0.965097831835008
4,expgrad_dp_floor,0.410286476295581,18641,0.733812563703664,0.007742339812297994,0.055529977491303506,0.9810615666180857,7602,0.11348516958324478,0.11191215522104568,0.7806949806949807,0.9651056014692379,1011.0,284.0,0.5023796932839767
