seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.33560304570863336,18631,0.7841232354677687,0.0809567487316557,0.044797047713058924,0.7863041510071864,6335,,,,,,,
0,expgrad_dp,0.33560304570863336,18631,0.7743008963555364,0.003814850255391078,0.14614413327147857,0.9885068599637208,6150,0.07714189847626463,0.6081894665175318,0.563,1.3394495412844036,563.0,437.0,-2.9202841357537492
0,expgrad_dp_floor,0.33560304570863336,18631,0.7729590467500402,0.006337144670654549,0.1410701807624648,0.9813821178382285,6285,0.07461960406100115,0.5154347700652013,0.5213764337851929,1.0853242320819112,500.0,459.0,-0.7892659826361483
1,baseline,0.33514296887580225,18631,0.7893832859213139,0.10662818645540179,0.01706267680061946,0.7267230041637192,6317,,,,,,,
1,expgrad_dp,0.33514296887580225,18631,0.7763941817401105,0.022132997285975564,0.09682104783397805,0.9346985677884421,6117,0.08449518916942622,0.6065159500530536,0.5689320388349515,1.375234521575985,586.0,444.0,-3.1660598385309484
1,expgrad_dp_floor,0.33514296887580225,18631,0.7770919435349686,0.024785174072736005,0.09621664599027147,0.9294077479713968,6320,0.08184301238266578,0.4775022520384703,0.4960159362549801,0.9952,498.0,506.0,0.04749089757796422
2,baseline,0.33781141450622254,18631,0.7817615801620954,0.08975335900953446,0.03433444292132848,0.7642394161228425,6291,,,,,,,
2,expgrad_dp,0.33781141450622254,18631,0.7692018678546508,0.005906473565024273,0.14037799628483738,0.9822274338710502,6139,0.08384688544451019,0.576771414250005,0.5474178403755868,1.25503355704698,583.0,482.0,-2.4161500556350344
2,expgrad_dp_floor,0.33781141450622254,18631,0.7690408459019913,0.004811223037374246,0.142970103133937,0.9858992925305363,6314,0.08494213597216022,0.4649362586762627,0.48973880597014924,0.9666182873730044,525.0,547.0,0.36560165315530124
3,baseline,0.3360171148581813,18631,0.7891149160002147,0.08449141459286391,0.028597566812661013,0.7733966430526564,6192,,,,,,,
3,expgrad_dp,0.3360171148581813,18631,0.7756427459610327,0.013168054745073321,0.12603241485181405,0.9602416578711952,6053,0.07132335984779059,0.5840733515436884,0.5547290116896918,1.2588454376163873,522.0,419.0,-2.244832041343669
3,expgrad_dp_floor,0.3360171148581813,18631,0.7770382695507487,0.014182088389871117,0.13152667758814396,0.9583218505439485,6213,0.0703093262029928,0.46343834745185314,0.49513513513513513,0.9655172413793104,458.0,467.0,0.3391472868217054
4,baseline,0.3368222493156357,18631,0.7862701948365627,0.09147952943242815,0.01609910252430291,0.7585279051617615,6241,,,,,,,
4,expgrad_dp,0.3368222493156357,18631,0.7782727711878052,0.012655612690306461,0.12435834382655553,0.9620253304855841,6096,0.07882391674212169,0.5782053136969716,0.5564435564435565,1.259391771019678,557.0,444.0,-2.3233456176894727
4,expgrad_dp_floor,0.3368222493156357,18631,0.779077880951103,0.012700595946769644,0.12346743729355092,0.963133678691478,6305,0.07877893348565851,0.43586496004641895,0.48129423660262893,0.9024390243902439,476.0,513.0,1.025476686428457
