seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.6094179625222395,18549,0.7262386112458893,0.0893247645824965,0.013440578856369512,0.8631702481598797,11310,,,,,,,
0,expgrad_dp,0.6094179625222395,18549,0.7221952665911909,0.023229138446214104,0.06246878308716963,0.9619595128753421,11119,0.06609562613628239,0.6380803540294304,0.5862068965517241,1.4692874692874693,476.0,336.0,-1.6887709991158266
0,expgrad_dp_floor,0.6094179625222395,18549,0.7125990619440401,0.025494841379842148,0.058242071697061026,0.9590384872393134,11317,0.06382992320265435,0.47637789460035623,0.5154761904761904,0.9872262773722628,433.0,407.0,0.0618921308576481
1,baseline,0.60694563183068,18549,0.73114453609359,0.09183278364344138,0.01690608711528563,0.8588555983790065,11247,,,,,,,
1,expgrad_dp,0.60694563183068,18549,0.7261846999838266,0.020196886829673244,0.07054238529502477,0.9666865846400975,11065,0.07163589681376814,0.6192584879612515,0.5709219858156028,1.4333333333333333,483.0,363.0,-1.6182093002578466
1,expgrad_dp_floor,0.60694563183068,18549,0.7173971642676155,0.024045763700185074,0.07014728818053928,0.9609815023972833,11216,0.06778701994325631,0.5069445625010625,0.5395763656633222,1.054673721340388,484.0,413.0,-0.2756290566373255
2,baseline,0.608932738741653,18549,0.7309288910453394,0.09189752699263376,0.013074008526026693,0.8598774290710921,11343,,,,,,,
2,expgrad_dp,0.608932738741653,18549,0.7213326863981886,0.016885233089676266,0.06953797452120736,0.9724001883642279,11197,0.0750122939029575,0.5872202072285593,0.5455543358946213,1.2991803278688525,497.0,414.0,-1.2871374415939345
2,expgrad_dp_floor,0.608932738741653,18549,0.7108739015580354,0.02060116609267182,0.06423613265784828,0.9670443115129222,11411,0.07129636089996194,0.4308714556293352,0.4855305466237942,0.8934169278996865,453.0,480.0,0.599488671427312
3,baseline,0.6076388086600892,18549,0.7260229661976387,0.09396019981180426,0.0177118316615823,0.8569140820182752,11340,,,,,,,
3,expgrad_dp,0.6076388086600892,18549,0.7219796215429404,0.018448397350677048,0.06944427207054699,0.9696955251867,11127,0.07551180246112721,0.6343604022813886,0.5866228070175439,1.4712389380530972,535.0,377.0,-1.8783068783068784
3,expgrad_dp_floor,0.6076388086600892,18549,0.7100652326270958,0.014472548086603587,0.07406809844562873,0.9766105891491662,11348,0.07948765172520067,0.4768642749822068,0.5144855144855145,0.9874411302982732,515.0,486.0,0.07054673721340388
4,baseline,0.6101111393516486,18549,0.7330853415278452,0.0816712207012773,0.011474082506807703,0.874151358730044,11307,,,,,,,
4,expgrad_dp,0.6101111393516486,18549,0.7283411504663324,0.01699638631539313,0.07792937717311776,0.9718689593611306,11055,0.06467483438588417,0.6923508048970904,0.6135508155583438,1.6866485013623977,489.0,308.0,-2.2287078800742903
4,expgrad_dp_floor,0.6101111393516486,18549,0.7188527683433069,0.01300995601852295,0.07840023371142513,0.9788747704352594,11307,0.06866126468275435,0.48229015041242085,0.5203619909502263,1.0,460.0,424.0,0.0
