seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.3531273827953511,18549,0.7887217639764947,0.07943368603095735,0.03395866889330268,0.7977936762276637,6576,,,,,,,
0,expgrad_dp,0.3531273827953511,18549,0.7837080166046687,0.021858547361703062,0.10760646514952388,0.9386657592732107,6415,0.05757513866925429,0.6330985955358303,0.5908479138627187,1.4096692111959288,439.0,304.0,-2.4482968369829683
0,expgrad_dp_floor,0.3531273827953511,18549,0.7744891907919564,0.024235874260296608,0.09299004930878763,0.9336243968490108,6556,0.05519781177066074,0.501877901996502,0.501358695652174,1.0425531914893618,369.0,367.0,-0.30413625304136255
1,baseline,0.35571524295847873,18549,0.7887756752385573,0.07347454973742362,0.040464003267489446,0.8102467384134638,6525,,,,,,,
1,expgrad_dp,0.35571524295847873,18549,0.7827376138875412,0.011956987929589824,0.12523509784352282,0.9659516612989557,6407,0.0615175618078338,0.5857540268363672,0.5746835443037974,1.2657657657657657,454.0,336.0,-1.8084291187739463
1,expgrad_dp_floor,0.35571524295847873,18549,0.7743813682678311,0.013318170949399133,0.10974334397243712,0.9631678924377505,6588,0.06015637878802449,0.425884388097477,0.4641943734015345,0.8824626865671642,363.0,419.0,0.9655172413793104
2,baseline,0.35469858360867856,18549,0.7843010404873578,0.08262389543998683,0.015412701706538634,0.7940408504634596,6702,,,,,,,
2,expgrad_dp,0.35469858360867856,18549,0.7806889859291606,0.02746955985823807,0.09151276198381408,0.924789645349643,6529,0.05515433558174876,0.6514449716657532,0.5879120879120879,1.4516971279373367,428.0,300.0,-2.58131900925097
2,expgrad_dp_floor,0.35469858360867856,18549,0.7738961669092673,0.03082993751511337,0.07570562291458738,0.9176324262604011,6667,0.05179395792487346,0.5187748394677065,0.4985632183908046,1.0799086757990868,347.0,349.0,-0.5222321695016413
3,baseline,0.3540516185678967,18549,0.7839236616529193,0.08284240548503513,0.027931764806635062,0.7927428927912175,6673,,,,,,,
3,expgrad_dp,0.3540516185678967,18549,0.781389832335975,0.026316340852110487,0.10523819405330093,0.9277410623786203,6520,0.056526064632924644,0.6282665338852982,0.5854341736694678,1.4101876675603218,418.0,296.0,-2.292821819271692
3,expgrad_dp_floor,0.3540516185678967,18549,0.7723866515715133,0.030073021140229916,0.09153911270532977,0.9192502379786108,6639,0.052769384344805215,0.5170797883252412,0.5029673590504451,1.0825242718446602,339.0,335.0,-0.5095159598381538
4,baseline,0.35509138381201044,18549,0.7890452315488705,0.08033027330028641,0.03619271600180496,0.7970714853382399,6624,,,,,,,
4,expgrad_dp,0.35509138381201044,18549,0.7839775729149819,0.02115483839231269,0.1184563747336107,0.9409681028064556,6458,0.05917543490797372,0.6335769088232452,0.5837628865979382,1.3990384615384615,453.0,323.0,-2.506038647342995
4,expgrad_dp_floor,0.35509138381201044,18549,0.7798803169982209,0.02038234741481504,0.11362266425557566,0.9442894107950316,6604,0.059947925885471376,0.5003300924724936,0.5243757431629013,1.0361663652802893,441.0,400.0,-0.30193236714975846
