seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.10864851842929414,5337,0.7438635937792768,0.08550758130883264,0.06871678823267938,0.40794383039840143,556,,,,,,,
0,expgrad_dp,0.10864851842929414,5337,0.7341202922990444,0.028610281269376023,0.0419537443005408,0.7212963979793543,476,0.056897300039456616,0.7341281831555901,0.6857142857142857,1.8695652173913044,144.0,66.0,-14.388489208633093
0,expgrad_dp_floor,0.10864851842929414,5337,0.7507963275248267,0.018643255735302428,0.10268960593753995,0.8996815286624202,945,0.06686432557353021,-0.6194024817912064,0.15548780487804878,0.1258426966292135,51.0,277.0,69.96402877697842
1,baseline,0.09989560748414036,5337,0.7461120479670227,0.08732047235217857,0.08188194963597548,0.3878899890945299,542,,,,,,,
1,expgrad_dp,0.09989560748414036,5337,0.7397414277684092,0.029759314582041604,0.045161268596905974,0.7018792067579166,458,0.05756115777013697,0.7441104395106701,0.6919431279620853,1.9333333333333333,146.0,65.0,-15.498154981549815
1,expgrad_dp_floor,0.09989560748414036,5337,0.7521079258010118,0.03345625951186515,0.06840866385145372,0.8059262153572504,836,0.053864212840313425,-0.5520272497527738,0.19852941176470587,0.17415730337078653,54.0,218.0,54.24354243542435
2,baseline,0.09965470167831045,5337,0.7448004496908376,0.07590595231384928,0.07967625051354063,0.43865362490412513,531,,,,,,,
2,expgrad_dp,0.09965470167831045,5337,0.7373056023983511,0.014760864663773188,0.05906222428760971,0.8345260211303204,439,0.06114508765007609,0.7525984651194949,0.695852534562212,2.057471264367816,151.0,66.0,-17.325800376647834
2,expgrad_dp_floor,0.09965470167831045,5337,0.7513584410717632,0.015536610112169558,0.08190888947258534,0.9006992679482375,796,0.06036934220167972,-0.3518166221215906,0.23404255319148937,0.22514619883040934,66.0,216.0,49.90583804143126
3,baseline,0.10503493134184534,5337,0.7470489038785835,0.0713516712699397,0.03316462260656389,0.4897000725630895,567,,,,,,,
3,expgrad_dp,0.10503493134184534,5337,0.7352445193929174,0.010472352178569413,0.08251840327588411,0.8896104667744082,480,0.06087931909137029,0.7384404570116476,0.6651785714285714,1.8969072164948453,149.0,75.0,-15.343915343915343
3,expgrad_dp_floor,0.10503493134184534,5337,0.7453625632377741,0.01650245194746633,0.07990692286451284,0.8785952428343948,684,0.05484921932247337,0.07099107987010322,0.34545454545454546,0.44019138755980863,76.0,144.0,20.634920634920636
4,baseline,0.10278647715409941,5337,0.744050964961589,0.07210148807846231,0.05635308696852753,0.46114628618609516,533,,,,,,,
4,expgrad_dp,0.10278647715409941,5337,0.7339329211167323,0.004498759934614738,0.10504010668175298,0.9491640127388534,461,0.06760272814384757,0.6702352960795104,0.6359649122807017,1.72,145.0,83.0,-13.50844277673546
4,expgrad_dp_floor,0.10278647715409941,5337,0.7474236462432078,0.003897046389718717,0.1210053273526896,0.97177139474114,727,0.0682044416887436,-0.06228021966669842,0.2595419847328244,0.291970802919708,68.0,194.0,36.39774859287054
