seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.02955111218180358,5337,0.7090125538692149,0.03451834733104109,0.038097980185750176,0.2933744115203545,174,,,,,,,
0,expgrad_dp,0.02955111218180358,5337,0.7095746674161514,0.022089369257651766,0.00660999418191221,0.554268084622384,209,0.012428978073389323,-0.056960805433044874,0.4507042253521127,0.5205479452054794,32.0,39.0,20.114942528735632
0,expgrad_dp_floor,0.02955111218180358,5337,0.7084504403222784,0.020452905698664113,0.0058007292961071485,0.5902166056827935,215,0.014065441632376975,-0.07550043080129053,0.4358974358974359,0.49382716049382713,34.0,44.0,23.563218390804597
1,baseline,0.026178430900184693,5337,0.7069514708637812,0.028233752325122596,0.038832090733369705,0.26825366680301527,135,,,,,,,
1,expgrad_dp,0.026178430900184693,5337,0.7084504403222784,0.017417563835184034,0.09809804753534171,1.6228432637265175,193,0.045651316160306626,0.23262131127299662,0.4012345679012346,0.5606060606060606,65.0,97.0,42.96296296296296
1,expgrad_dp_floor,0.026178430900184693,5337,0.7090125538692149,0.0161791894481709,0.09896685726601068,1.5859770537318307,188,0.044412941773293496,0.24707778609774972,0.41139240506329117,0.5826771653543307,65.0,93.0,39.25925925925926
2,baseline,0.027061752188227737,5337,0.7071388420460933,0.03212755763485711,0.049658537570969635,0.24366374734607218,146,,,,,,,
2,expgrad_dp,0.027061752188227737,5337,0.7093872962338392,0.0303610281269376,0.03555890058526795,0.3959865883197273,192,0.0017665295079195113,-4.408423739629858,0.3673469387755102,0.352112676056338,18.0,31.0,31.506849315068493
2,expgrad_dp_floor,0.027061752188227737,5337,0.7105115233277122,0.028680457696860385,0.02760659756598577,0.4373451875442321,200,0.0034470999379967275,-2.4645572725042957,0.3392857142857143,0.325,19.0,37.0,36.986301369863014
3,baseline,0.02995262185818678,5337,0.712572606333146,0.0250071867425737,0.02045575468584783,0.44808357384554137,179,,,,,,,
3,expgrad_dp,0.02995262185818678,5337,0.7144463181562676,0.015984583732596806,0.008145933094915792,0.6630115742941345,213,0.009022603009976895,-0.23539701380645908,0.3333333333333333,0.40350877192982454,17.0,34.0,18.99441340782123
3,expgrad_dp_floor,0.02995262185818678,5337,0.7148210605208919,0.016915337354151405,0.012823362226308102,0.6792897447954516,239,0.008091849388422296,-0.9186562875502854,0.352112676056338,0.34782608695652173,25.0,46.0,33.5195530726257
4,baseline,0.02802537541154742,5337,0.7060146149522204,0.02301448621836424,0.015108197118784472,0.4089461493920093,150,,,,,,,
4,expgrad_dp,0.02802537541154742,5337,0.7058272437699082,0.00978707513668902,0.023318112325648746,0.705867156796314,153,0.01322741108167522,0.42818029765519305,0.4666666666666667,0.896551724137931,21.0,24.0,2.0
4,expgrad_dp_floor,0.02802537541154742,5337,0.7073262132284055,0.014123076489487626,0.016367634480296878,0.6163683549730524,161,0.008891409728876615,0.23887031079132157,0.475,0.6764705882352942,19.0,21.0,7.333333333333333
