seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.2568345323741007,5958,0.7995971802618328,0.09465690979292879,0.03412241654231825,0.6908407370754712,1553,,,,,,,
0,expgrad_dp,0.2568345323741007,5958,0.7886874790198053,0.024170775759483926,0.11103569206403074,0.9061979806473227,1466,0.07048613403344486,0.6880304318381576,0.5844155844155844,1.5506329113924051,180.0,128.0,-5.602060528010303
0,expgrad_dp_floor,0.2568345323741007,5958,0.7871769050016784,0.01945653333062497,0.11729816650909475,0.9275823615022587,1545,0.07520037646230382,0.49872145789814865,0.5047021943573667,1.0394088669950738,161.0,158.0,-0.51513200257566
1,baseline,0.25618705035971223,5958,0.8027861698556562,0.11357109365346171,0.04290125223164121,0.6333242247701909,1520,,,,,,,
1,expgrad_dp,0.25618705035971223,5958,0.7920443101711984,0.04617824745287025,0.06972490902577444,0.82935565188563,1480,0.06739284620059147,0.5804858690082689,0.5264900662251656,1.2209944751381216,159.0,143.0,-2.6315789473684212
1,expgrad_dp_floor,0.25618705035971223,5958,0.7945619335347432,0.049609403432510135,0.06581658626457543,0.8256342217991434,1553,0.06396169022095158,0.39427092430569916,0.4511784511784512,0.8493150684931506,134.0,163.0,2.1710526315789473
2,baseline,0.257841726618705,5958,0.7990936555891238,0.11434974769916192,0.04935271354078696,0.6398332284791163,1564,,,,,,,
2,expgrad_dp,0.257841726618705,5958,0.7861698556562605,0.03458273453144495,0.11893987755178992,0.8726614310645724,1519,0.07976701316771698,0.5755526978104294,0.5434173669467787,1.2093023255813953,194.0,163.0,-2.877237851662404
2,expgrad_dp_floor,0.257841726618705,5958,0.7871769050016784,0.033318606615512475,0.1086923145297487,0.8804472734782134,1565,0.08103114108364945,0.47879474077818773,0.4915254237288136,0.9957264957264957,174.0,180.0,0.0639386189258312
3,baseline,0.2568345323741007,5958,0.7969117153407184,0.0994148245573944,0.029492793375032522,0.6770062475251881,1549,,,,,,,
3,expgrad_dp,0.2568345323741007,5958,0.7829808660624371,0.014886511172839179,0.1105643230197787,0.940817507638057,1456,0.08452831338455521,0.6655292152786957,0.5796703296703297,1.4894736842105263,211.0,153.0,-6.003873466752744
3,expgrad_dp_floor,0.2568345323741007,5958,0.7846592816381336,0.014220931236384127,0.11972369693394636,0.9470693859035667,1560,0.08519389332101027,0.4591948244962188,0.4808743169398907,0.9551020408163265,176.0,190.0,0.7101355713363461
4,baseline,0.2541726618705036,5958,0.7972473984558577,0.10339069982378718,0.03596309887897979,0.6470337366942894,1449,,,,,,,
4,expgrad_dp,0.2541726618705036,5958,0.7853306478684122,0.009427130676768869,0.11220603406247392,0.9609140547141473,1410,0.09396356914701831,0.5505294522448125,0.5274151436031331,1.1748878923766817,202.0,181.0,-2.691511387163561
4,expgrad_dp_floor,0.2541726618705036,5958,0.7918764686136287,0.008357666272261477,0.1194085530586464,0.9666017289662729,1467,0.0950330335515257,0.44907555840547164,0.4755784061696658,0.9299610894941635,185.0,204.0,1.2422360248447204
