seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,,6576,0.7950121654501217,0.09670962384048998,0.0255257394593576,0.7560247668752397,2303,,,,,,,
0,expgrad_eo,,6576,0.7931873479318735,0.08925835848231167,0.02262022560854937,0.7736592474204997,2313,0.007451265358178305,0.27341028958105357,0.4,0.6428571428571429,14.0,21.0,0.4342162396873643
1,baseline,,6576,0.7957725060827251,0.10692925413197096,0.04949315038371038,0.7410789871758617,2380,,,,,,,
1,expgrad_eo,,6576,0.7939476885644768,0.09881361084952878,0.04314708533984213,0.759714390036107,2394,0.008115643282442186,0.21516674280493436,0.3235294117647059,0.5,11.0,23.0,0.5882352941176471
2,baseline,,6576,0.7945559610705596,0.0966714369397092,0.027834144166710706,0.7584268674001158,2328,,,,,,,
2,expgrad_eo,,6576,0.7947080291970803,0.08723778946041538,0.01964338651818115,0.7794341099440859,2327,0.009433647479293816,0.4936136765572813,0.53125,1.0625,17.0,15.0,-0.0429553264604811
3,baseline,,6576,0.7916666666666666,0.10385910145851718,0.044490621632913285,0.7414058894119818,2315,,,,,,,
3,expgrad_eo,,6576,0.7893856447688564,0.09932894863676472,0.045383380609978596,0.75106180341654,2312,0.004530152821752453,0.5781978885342508,0.5757575757575758,1.125,19.0,14.0,-0.12958963282937366
4,baseline,,6576,0.7966849148418491,0.0788251781437459,0.011351284272743373,0.7962051827675614,2296,,,,,,,
4,expgrad_eo,,6576,0.7966849148418491,0.0721754669553547,0.010079820568639097,0.8115540239676301,2292,0.006649711188391194,0.5689674397859064,0.5833333333333334,1.173913043478261,21.0,15.0,-0.17421602787456447
5,baseline,,6576,0.7906021897810219,0.09597962376634067,0.052094465334124984,0.7605040034414332,2334,,,,,,,
5,expgrad_eo,,6576,0.7887773722627737,0.0892201715815309,0.04585394814961408,0.7759060602674414,2338,0.006759452184809778,0.3875054848617823,0.45161290322580644,0.8181818181818182,14.0,17.0,0.1713796058269066
6,baseline,,6576,0.7913625304136253,0.11188650704789305,0.0559535589418827,0.7185636616277009,2263,,,,,,,
6,expgrad_eo,,6576,0.7901459854014599,0.11238627347752905,0.057710491017437415,0.718337537805405,2271,-0.000499766429636006,,0.25,0.5294117647058824,3.0,9.0,0.3535130357931949
7,baseline,,6576,0.7875608272506083,0.10154156440239354,0.03877784374518989,0.7434582240539528,2284,,,,,,,
7,expgrad_eo,,6576,0.787712895377129,0.09759348375759103,0.033507047518525845,0.7521572725860438,2283,0.00394808064480251,0.5160108930416011,0.6086956521739131,1.0625,14.0,9.0,-0.043782837127845885
8,baseline,,6576,0.7912104622871047,0.09639115250291036,0.029246993558528223,0.7568281938325991,2304,,,,,,,
8,expgrad_eo,,6576,0.7901459854014599,0.0868751992763026,0.021730257911657863,0.7787226206720713,2309,0.009515953226607754,0.3975922390618312,0.4444444444444444,0.782608695652174,16.0,20.0,0.2170138888888889
9,baseline,,6576,0.7915145985401459,0.09401392524265367,0.029292954826967338,0.7657492043990152,2344,,,,,,,
9,expgrad_eo,,6576,0.7915145985401459,0.09401392524265367,0.029292954826967338,0.7657492043990152,2344,0.0,,,,0.0,0.0,0.0
10,baseline,,6576,0.789081508515815,0.1105744347967938,0.051843161767578444,0.724486034835545,2292,,,,,,,
10,expgrad_eo,,6576,0.7895377128953771,0.09371695720842632,0.03941385594359634,0.7623531623851271,2299,0.016857477588367475,0.41434823726055203,0.5066666666666667,0.8627450980392157,38.0,37.0,0.3054101221640489
11,baseline,,6576,0.7974452554744526,0.09225102511437533,0.028256041515491326,0.767272744278272,2317,,,,,,,
11,expgrad_eo,,6576,0.7957725060827251,0.08750139029978571,0.02366690854717768,0.7790927427846703,2330,0.0047496348145896206,0.06127546639606608,0.46153846153846156,0.6578947368421053,18.0,21.0,0.561070349589987
