seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.3496056833735254,6576,0.7950121654501217,0.09670962384048998,0.0255257394593576,0.7560247668752397,2303,,,,,,,
0,expgrad_dp,0.3496056833735254,6576,0.7763077858880778,0.0007793093732157419,0.07376256129472047,1.0022964897138673,2234,0.09748893321370572,0.5851235772172212,0.5701149425287356,1.288702928870293,248.0,187.0,-2.9960920538428137
0,expgrad_dp_floor,0.3496056833735254,6576,0.7712895377128953,0.006306770574583065,0.06281089925519764,0.9835083229115165,2495,0.09040285326590691,0.15452755905511795,0.35148514851485146,0.4606741573033708,142.0,262.0,8.336951801997394
1,baseline,0.3447174607312781,6576,0.7957725060827251,0.10692925413197096,0.04949315038371038,0.7410789871758617,2380,,,,,,,
1,expgrad_dp,0.3447174607312781,6576,0.7750912408759124,0.00895130614030537,0.0748664159905007,0.9744969420413854,2280,0.09797794799166559,0.6327003995883029,0.5888888888888889,1.4219409282700421,265.0,185.0,-4.201680672268908
1,expgrad_dp_floor,0.3447174607312781,6576,0.7744829683698297,0.0058822657066801565,0.07109308001847092,0.9835008449239567,2326,0.1010469884252908,0.558759860576041,0.5521064301552107,1.2101167315175096,249.0,202.0,-2.26890756302521
2,baseline,0.3463468682786939,6576,0.7945559610705596,0.0966714369397092,0.027834144166710706,0.7584268674001158,2328,,,,,,,
2,expgrad_dp,0.3463468682786939,6576,0.7744829683698297,0.01171855883377948,0.08968049783407006,0.9663898429441851,2256,0.08495287810592972,0.6063760146635245,0.5728900255754475,1.3364485981308412,224.0,167.0,-3.0927835051546393
2,expgrad_dp_floor,0.3463468682786939,6576,0.7750912408759124,0.011011174302811011,0.08019438397431666,0.9696596672779001,2352,0.08566026263689819,0.43488798864305267,0.4791666666666667,0.90625,184.0,200.0,1.0309278350515463
3,baseline,0.34947533076973214,6576,0.7916666666666666,0.10385910145851718,0.044490621632913285,0.7414058894119818,2315,,,,,,,
3,expgrad_dp,0.34947533076973214,6576,0.7737226277372263,0.020234979201115222,0.06691734283264072,0.9421087522605895,2235,0.08362412225740196,0.6229716788735392,0.5800970873786407,1.3433476394849786,239.0,173.0,-3.4557235421166306
3,expgrad_dp_floor,0.34947533076973214,6576,0.7741788321167883,0.015073815649955913,0.07407920487279274,0.9573714974705774,2278,0.08878528580856127,0.5408661374578769,0.5430622009569378,1.1462450592885376,227.0,191.0,-1.5982721382289418
4,baseline,0.34347911099524214,6576,0.7966849148418491,0.0788251781437459,0.011351284272743373,0.7962051827675614,2296,,,,,,,
4,expgrad_dp,0.34347911099524214,6576,0.7788929440389294,0.004997293549750481,0.08519691272511387,0.9853990640842324,2235,0.07382788459399542,0.6031396102102617,0.5768194070080862,1.2798165137614679,214.0,157.0,-2.656794425087108
4,expgrad_dp_floor,0.34347911099524214,6576,0.7785888077858881,0.0036588982893751565,0.08140378652945446,0.9899263024661114,2377,0.07516627985437074,0.3136236516180586,0.453804347826087,0.7177700348432056,167.0,201.0,3.5278745644599305
