seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.3496056833735254,6576,0.7950121654501217,0.09670962384048998,0.0255257394593576,0.7560247668752397,2303,,,,,,,
0,expgrad_dp,0.3496056833735254,6576,0.7945559610705596,0.08746802310492874,0.018923851617301035,0.7755488219652463,2288,0.00924160073556124,0.7243149997994134,0.6829268292682927,1.8333333333333333,28.0,13.0,-0.6513243595310465
0,expgrad_dp_floor,0.3496056833735254,6576,0.7950121654501217,0.09670962384048998,0.0255257394593576,0.7560247668752397,2303,0.0,,,,0.0,0.0,0.0
1,baseline,0.3447174607312781,6576,0.7957725060827251,0.10692925413197096,0.04949315038371038,0.7410789871758617,2380,,,,,,,
1,expgrad_dp,0.3447174607312781,6576,0.7957725060827251,0.10692925413197096,0.04949315038371038,0.7410789871758617,2380,0.0,,,,0.0,0.0,0.0
1,expgrad_dp_floor,0.3447174607312781,6576,0.7957725060827251,0.10692925413197096,0.04949315038371038,0.7410789871758617,2380,0.0,,,,0.0,0.0,0.0
2,baseline,0.3463468682786939,6576,0.7945559610705596,0.0966714369397092,0.027834144166710706,0.7584268674001158,2328,,,,,,,
2,expgrad_dp,0.3463468682786939,6576,0.7940997566909975,0.08729265995862467,0.01964338651818115,0.7789700960811832,2323,0.009378776981084525,0.558564256631222,0.5806451612903226,1.3846153846153846,18.0,13.0,-0.21477663230240548
2,expgrad_dp_floor,0.3463468682786939,6576,0.7945559610705596,0.0966714369397092,0.027834144166710706,0.7584268674001158,2328,0.0,,,,0.0,0.0,0.0
3,baseline,0.34947533076973214,6576,0.7916666666666666,0.10385910145851718,0.044490621632913285,0.7414058894119818,2315,,,,,,,
3,expgrad_dp,0.34947533076973214,6576,0.7916666666666666,0.10385910145851718,0.044490621632913285,0.7414058894119818,2315,0.0,,,,0.0,0.0,0.0
3,expgrad_dp_floor,0.34947533076973214,6576,0.7916666666666666,0.10385910145851718,0.044490621632913285,0.7414058894119818,2315,0.0,,,,0.0,0.0,0.0
4,baseline,0.34347911099524214,6576,0.7966849148418491,0.0788251781437459,0.011351284272743373,0.7962051827675614,2296,,,,,,,
4,expgrad_dp,0.34347911099524214,6576,0.7960766423357665,0.07466836715778236,0.007454458128135444,0.8053410397920029,2288,0.004156810985963544,0.7701569746699971,0.6086956521739131,1.6666666666666667,14.0,9.0,-0.34843205574912894
4,expgrad_dp_floor,0.34347911099524214,6576,0.7968369829683698,0.0733562949066831,0.01351672273896698,0.8106294295271501,2317,0.005468883237062794,-0.10643346213816055,0.17391304347826086,0.16,4.0,19.0,0.9146341463414634
