seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.34673792609007364,6576,0.7927311435523114,0.08998835855646103,0.02016068059446305,0.7692537313432836,2282,,,,,,,
0,expgrad_dp,0.34673792609007364,6576,0.7866484184914841,0.025548890355397702,0.06560239241814536,0.922655517831589,2092,0.06443946820106333,0.9258673263908866,0.7205882352941176,2.4074074074074074,245.0,95.0,-8.326029798422436
0,expgrad_dp_floor,0.34673792609007364,6576,0.7892335766423357,0.0370327665853496,0.050748730127317176,0.8991722773476536,2299,0.05295559197111144,0.42867644484895184,0.5457317073170732,0.932,179.0,149.0,0.7449605609114811
1,baseline,0.3498663885811119,6576,0.7872566909975669,0.09462343266870826,0.02968063812625099,0.764401366195883,2344,,,,,,,
1,expgrad_dp,0.3498663885811119,6576,0.7779805352798054,0.01825741678592352,0.07341733183807198,0.9457800483349756,2157,0.07636601588278474,0.8498681904465989,0.7245179063360881,2.335714285714286,263.0,100.0,-7.977815699658703
1,expgrad_dp_floor,0.3498663885811119,6576,0.7788929440389294,0.018643734753045704,0.07552828902522146,0.9491184490774702,2351,0.07597969791566256,0.46348389993022254,0.5474254742547425,0.9717741935483871,202.0,167.0,0.2986348122866894
2,baseline,0.344391579221795,6576,0.7936435523114356,0.09649496155357662,0.03694872331086593,0.7516429304134163,2252,,,,,,,
2,expgrad_dp,0.344391579221795,6576,0.7852798053527981,0.0376244781741471,0.07824614640367655,0.8917272135625046,2167,0.05887048337942952,0.6970571009326845,0.6546052631578947,1.521472392638037,199.0,105.0,-3.774422735346359
2,expgrad_dp_floor,0.344391579221795,6576,0.7855839416058394,0.038663310174028465,0.07442443432944124,0.8936372027558352,2269,0.057831651379548155,0.4327924762961019,0.5253164556962026,0.9260869565217391,166.0,150.0,0.7548845470692718
3,baseline,0.34628169197679726,6576,0.7883211678832117,0.09681936483690856,0.035446489434219575,0.7550284701181017,2295,,,,,,,
3,expgrad_dp,0.34628169197679726,6576,0.7737226277372263,0.03604287313792515,0.041763968599511814,0.8952256242792632,2149,0.060776491698983415,0.8427987555664004,0.6873065015479877,1.9931972789115646,222.0,101.0,-6.3616557734204795
3,expgrad_dp_floor,0.34628169197679726,6576,0.7755474452554745,0.03676434604005546,0.054339556259207944,0.9024538278041463,2363,0.0600550187968531,0.30530793164757025,0.47720364741641336,0.7443609022556391,157.0,172.0,2.962962962962963
4,baseline,0.3451085185426579,6576,0.7985097323600974,0.08837931827113443,0.018932825308112855,0.7715038844397156,2266,,,,,,,
4,expgrad_dp,0.3451085185426579,6576,0.7912104622871047,0.029788007088675184,0.05996657651120352,0.9104535499941487,2094,0.05859131118245925,0.9239034144119062,0.6956521739130435,2.264705882352941,224.0,98.0,-7.590467784642542
4,expgrad_dp_floor,0.3451085185426579,6576,0.7878649635036497,0.021625649733433228,0.08311234250280353,0.9418577993082343,2378,0.0667536685377012,0.22235243151978315,0.444141689373297,0.6455696202531646,163.0,204.0,4.942630185348632
