seed,arm,floor_target,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.34758521801472986,0.7950121654501217,0.0868526301118096,0.045276076372529284,0.7600891374354389,2303,,,,,,,
0,expgrad_dp,0.34758521801472986,0.7846715328467153,0.009804894297073763,0.05019939195325146,0.9712383018089968,2233,0.07704773581473584,0.27410700597884424,0.7569721115537849,1.534351145038168,190.0,61.0,-3.0395136778115504
0,expgrad_dp_floor,0.34758521801472986,0.7871046228710462,0.0050447781644141765,0.058764691172793204,0.9857956246133789,2331,0.08180785194739543,0.08390124169794978,0.6507177033492823,0.8352941176470589,136.0,73.0,1.21580547112462
1,baseline,0.3477807469204197,0.7839111922141119,0.10243817164293695,0.10796257656323616,0.7204353067842614,2318,,,,,,,
1,expgrad_dp,0.3477807469204197,0.7822384428223844,0.009077293419228027,0.06427659546465564,0.9738319730045389,2273,0.09336087822370892,0.2092458344403537,0.7193675889328063,1.3169014084507042,182.0,71.0,-1.9413287316652286
1,expgrad_dp_floor,0.3477807469204197,0.777676399026764,0.008326069136257441,0.06464774088258907,0.97684350228477,2357,0.09411210250667951,0.07293196279980427,0.6491228070175439,0.7936507936507936,148.0,80.0,1.6824849007765315
2,baseline,0.34680310239197026,0.7901459854014599,0.1195450604641054,0.12920396670480805,0.6798986646762267,2349,,,,,,,
2,expgrad_dp,0.34680310239197026,0.7822384428223844,0.0316754427616705,0.04100893644463749,0.9093300424323366,2269,0.0878696177024349,0.27439778470803317,0.75,1.6504065040650406,195.0,65.0,-3.4057045551298426
2,expgrad_dp_floor,0.34680310239197026,0.7880170316301703,0.030560418039777104,0.053671312564983364,0.9162756531812857,2373,0.0889846424243283,0.09493469257725365,0.6680327868852459,0.8775510204081632,163.0,81.0,1.0217113665389528
3,baseline,0.34993156488300853,0.7872566909975669,0.10482413556054798,0.07222745731529467,0.7068844792052,2258,,,,,,,
3,expgrad_dp,0.34993156488300853,0.774787104622871,0.0035316990661667935,0.0693163716317785,1.010600694185927,2194,0.10835583462671478,0.2257674195517574,0.7181208053691275,1.4025157232704402,214.0,84.0,-2.83436669619132
3,expgrad_dp_floor,0.34993156488300853,0.7775243309002433,0.013470065602196046,0.0916122590922348,1.0388512247470447,2292,0.11829420116274403,0.09224163754368458,0.6313868613138686,0.839622641509434,173.0,101.0,1.5057573073516386
4,baseline,0.34810662842990286,0.7872566909975669,0.10091682435289584,0.08695115658163377,0.7225885844348553,2302,,,,,,,
4,expgrad_dp,0.34810662842990286,0.7884732360097324,0.020575985863754365,0.03977704952553929,0.9397667430819926,2228,0.08034083848914148,0.2760151724543502,0.7458333333333333,1.6491228070175439,179.0,61.0,-3.214596003475239
4,expgrad_dp_floor,0.34810662842990286,0.7846715328467153,0.0221126883671266,0.0390163330306261,0.9379840595745245,2325,0.07880413598576924,0.09156586776983393,0.6826086956521739,0.8783068783068783,157.0,73.0,0.9991311902693311
