seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.8768167894153686,6576,0.4767335766423358,0.060780659045756136,0.05784472433897947,0.9319362032522691,5818,,,,,,,
0,expgrad_dp,0.8768167894153686,6576,0.3819951338199513,0.004357337075280743,0.0022926784327660377,0.9955677785066693,6461,0.05642332197047539,-1.5970189872092813,0.0,0.0,0.0,131.0,11.051907872121003
0,expgrad_dp_floor,0.8768167894153686,6576,0.3819951338199513,0.004357337075280743,0.0022926784327660377,0.9955677785066693,6461,0.05642332197047539,-1.5970189872092813,0.0,0.0,0.0,131.0,11.051907872121003
1,baseline,0.8781854917551978,6576,0.4741484184914842,0.05424524401796327,0.050240191626854114,0.9392667041359474,5825,,,,,,,
1,expgrad_dp,0.8781854917551978,6576,0.38275547445255476,0.004419939098861625,0.002428238638607083,0.9954992663154603,6454,0.04982530491910164,-1.7837754545670057,0.008,0.0015873015873015873,1.0,124.0,10.798283261802576
1,expgrad_dp_floor,0.8781854917551978,6576,0.38275547445255476,0.004419939098861625,0.002428238638607083,0.9954992663154603,6454,0.04982530491910164,-1.7837754545670057,0.008,0.0015873015873015873,1.0,124.0,10.798283261802576
2,baseline,0.8759043211888158,6576,0.47855839416058393,0.06820785761701265,0.06375146418183486,0.923392558414733,5794,,,,,,,
2,expgrad_dp,0.8759043211888158,6576,0.38579683698296835,0.024202178550420617,0.029769284426369724,0.9753465796838491,6434,0.04400567906659203,-2.0756656645909386,0.0,0.0,0.0,121.0,11.045909561615463
2,expgrad_dp_floor,0.8759043211888158,6576,0.38579683698296835,0.024202178550420617,0.029769284426369724,0.9753465796838491,6434,0.04400567906659203,-2.0756656645909386,0.0,0.0,0.0,121.0,11.045909561615463
3,baseline,0.8734276217167438,6576,0.47764598540145986,0.037842332669515644,0.022999170845342976,0.9573288084484644,5798,,,,,,,
3,expgrad_dp,0.8734276217167438,6576,0.3813868613138686,0.007889036141447536,0.00756657916582526,0.9919768205914257,6459,0.029953296528068107,-3.219843053748179,0.0,0.0,0.0,113.0,11.400482925146603
3,expgrad_dp_floor,0.8734276217167438,6576,0.3813868613138686,0.007889036141447536,0.00756657916582526,0.9919768205914257,6459,0.029953296528068107,-3.219843053748179,0.0,0.0,0.0,113.0,11.400482925146603
4,baseline,0.8811184253405462,6576,0.4812956204379562,0.05409287305490784,0.04455719192956131,0.9389682873911862,5780,,,,,,,
4,expgrad_dp,0.8811184253405462,6576,0.38777372262773724,0.0017918352787208436,0.0019754938734682925,0.9981642250173653,6417,0.052301037776187,-1.7161634183247194,0.0,0.0,0.0,127.0,11.020761245674741
4,expgrad_dp_floor,0.8811184253405462,6576,0.38777372262773724,0.0017918352787208436,0.0019754938734682925,0.9981642250173653,6417,0.052301037776187,-1.7161634183247194,0.0,0.0,0.0,127.0,11.020761245674741
