seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,,6576,0.896441605839416,0.03394852554073393,0.08834841628959275,0.4225389417922684,280,,,,,,,
0,expgrad_eo,,6576,0.8938564476885644,0.026008245404595773,0.0647058823529412,0.49795319544836475,259,0.007940280136138157,0.8796750245132372,0.7567567567567568,2.6153846153846154,28.0,9.0,-7.5
1,baseline,,6576,0.9025243309002433,0.04170751058481571,0.11900452488687782,0.35155200737815945,292,,,,,,,
1,expgrad_eo,,6576,0.8991788321167883,0.03151049583651557,0.06696832579185522,0.45318149649359846,280,0.010197014748300141,0.6564499709133216,0.6545454545454545,1.375,36.0,19.0,-4.109589041095891
2,baseline,,6576,0.8991788321167883,0.03771531109348006,0.09796380090497739,0.36475583864118893,272,,,,,,,
2,expgrad_eo,,6576,0.9000912408759124,0.03347619436020258,0.07601809954751132,0.4131418172364487,270,0.0042391167332774815,0.5492391114220737,0.6904761904761905,1.0588235294117647,29.0,13.0,-0.7352941176470589
3,baseline,,6576,0.896441605839416,0.042262147512661,0.07794117647058824,0.35172884440400365,296,,,,,,,
3,expgrad_eo,,6576,0.8962895377128953,0.03207588441603702,0.017533936651583704,0.4168638155899302,261,0.010186263096623974,1.0,0.8032786885245902,2.3461538461538463,49.0,12.0,-11.824324324324325
4,baseline,,6576,0.899787104622871,0.04253650000370747,0.11855203619909505,0.3170307756414072,276,,,,,,,
4,expgrad_eo,,6576,0.8987226277372263,0.028309098863290895,0.06640271493212668,0.47983923158145714,269,0.014227401140416575,0.5523127035830616,0.6585365853658537,1.1272727272727272,54.0,28.0,-2.536231884057971
