seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.7900671315909535,6576,0.847323600973236,0.07553456412855508,0.024400871459694995,0.9077098126875778,5145,,,,,,,
0,expgrad_dp,0.7900671315909535,6576,0.847323600973236,0.07553456412855508,0.024400871459694995,0.9077098126875778,5145,0.0,,,,0.0,0.0,0.0
0,expgrad_dp_floor,0.7900671315909535,6576,0.847323600973236,0.07553456412855508,0.024400871459694995,0.9077098126875778,5145,0.0,,,,0.0,0.0,0.0
1,baseline,0.7888287818549176,6576,0.8482360097323601,0.058329779474772914,0.02774911134044261,0.9281435655717583,5155,,,,,,,
1,expgrad_dp,0.7888287818549176,6576,0.8482360097323601,0.058329779474772914,0.02774911134044261,0.9281435655717583,5155,0.0,,,,0.0,0.0,0.0
1,expgrad_dp_floor,0.7888287818549176,6576,0.8482360097323601,0.058329779474772914,0.02774911134044261,0.9281435655717583,5155,0.0,,,,0.0,0.0,0.0
2,baseline,0.7888939581568142,6576,0.8447384428223844,0.051834954266683275,0.031865611741772715,0.9365086465379222,5206,,,,,,,
2,expgrad_dp,0.7888939581568142,6576,0.8442822384428224,0.047083983741201374,0.044226579520697196,0.9423074323998185,5219,0.004750970525481901,0.06124041594319019,0.22727272727272727,0.38095238095238093,5.0,17.0,0.24971187091817135
2,expgrad_dp_floor,0.7888939581568142,6576,0.8447384428223844,0.051834954266683275,0.031865611741772715,0.9365086465379222,5206,0.0,,,,0.0,0.0,0.0
3,baseline,0.7877859610245714,6576,0.8453467153284672,0.07297495176222113,0.033998394679509214,0.9119329672729094,5220,,,,,,,
3,expgrad_dp,0.7877859610245714,6576,0.8453467153284672,0.07297495176222113,0.033998394679509214,0.9119329672729094,5220,0.0,,,,0.0,0.0,0.0
3,expgrad_dp_floor,0.7877859610245714,6576,0.8453467153284672,0.07297495176222113,0.033998394679509214,0.9119329672729094,5220,0.0,,,,0.0,0.0,0.0
4,baseline,0.7891546633644007,6576,0.8448905109489051,0.06722405010481758,0.012085769980506866,0.9178930134291905,5173,,,,,,,
4,expgrad_dp,0.7891546633644007,6576,0.8441301703163017,0.06443975910817412,0.008489115002366265,0.9212097289025989,5176,0.002784290996643457,0.31349245980226076,0.36363636363636365,0.625,4.0,7.0,0.05799342741156002
4,expgrad_dp_floor,0.7891546633644007,6576,0.8448905109489051,0.06722405010481758,0.012085769980506866,0.9178930134291905,5173,0.0,,,,0.0,0.0,0.0
