seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.6410741054552564,6576,0.8032238442822385,0.08974366579417636,0.01815718021837892,0.8673153030685069,4166,,,,,,,
0,expgrad_dp,0.6410741054552564,6576,0.8032238442822385,0.08974366579417636,0.01815718021837892,0.8673153030685069,4166,0.0,,,,0.0,0.0,0.0
0,expgrad_dp_floor,0.6410741054552564,6576,0.8032238442822385,0.08974366579417636,0.01815718021837892,0.8673153030685069,4166,0.0,,,,0.0,0.0,0.0
1,baseline,0.642377631493189,6576,0.8044403892944039,0.08672949585876033,0.016779497587227077,0.8727028843354547,4208,,,,,,,
1,expgrad_dp,0.642377631493189,6576,0.8044403892944039,0.08672949585876033,0.016779497587227077,0.8727028843354547,4208,0.0,,,,0.0,0.0,0.0
1,expgrad_dp_floor,0.642377631493189,6576,0.8044403892944039,0.08672949585876033,0.016779497587227077,0.8727028843354547,4208,0.0,,,,0.0,0.0,0.0
2,baseline,0.642051749983706,6576,0.8058090024330901,0.08114493967952663,0.014380514963398094,0.8800283938300975,4193,,,,,,,
2,expgrad_dp,0.642051749983706,6576,0.806265206812652,0.07176616269844216,0.016993535864051723,0.8930665502897454,4188,0.009378776981084469,0.5585642566312252,0.5365853658536586,1.2173913043478262,22.0,19.0,-0.11924636298592893
2,expgrad_dp_floor,0.642051749983706,6576,0.8058090024330901,0.08114493967952663,0.014380514963398094,0.8800283938300975,4193,0.0,,,,0.0,0.0,0.0
3,baseline,0.64061787134198,6576,0.7974452554744526,0.08553791625575591,0.014699541700585461,0.8742907270082219,4206,,,,,,,
3,expgrad_dp,0.64061787134198,6576,0.7974452554744526,0.08553791625575591,0.014699541700585461,0.8742907270082219,4206,0.0,,,,0.0,0.0,0.0
3,expgrad_dp_floor,0.64061787134198,6576,0.7974452554744526,0.08553791625575591,0.014699541700585461,0.8742907270082219,4206,0.0,,,,0.0,0.0,0.0
4,baseline,0.6415955158704295,6576,0.7957725060827251,0.08322037919963221,0.012356715537509888,0.8766414051208213,4175,,,,,,,
4,expgrad_dp,0.6415955158704295,6576,0.7957725060827251,0.08322037919963221,0.012356715537509888,0.8766414051208213,4175,0.0,,,,0.0,0.0,0.0
4,expgrad_dp_floor,0.6415955158704295,6576,0.7957725060827251,0.08322037919963221,0.012356715537509888,0.8766414051208213,4175,0.0,,,,0.0,0.0,0.0
