seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.6468096200221599,6576,0.809154501216545,0.10326368240362438,0.04334672328958983,0.8521608280254778,4269,,,,,,,
0,expgrad_dp,0.6468096200221599,6576,0.7977493917274939,0.020941992985474167,0.058890836619782394,0.9684123406944296,4294,0.08232168941815021,0.4313128538166035,0.4696969696969697,0.9087591240875912,186.0,210.0,0.5856172405715624
0,expgrad_dp_floor,0.6468096200221599,6576,0.7960766423357665,0.019069351860777295,0.06372631439928039,0.9710718353229003,4275,0.08419433054284708,0.46665697904832376,0.48984771573604063,0.9768339768339769,193.0,201.0,0.14054813773717498
1,baseline,0.6408785765495666,6576,0.8144768856447688,0.10870513039158258,0.04331842292617988,0.844305615662577,4250,,,,,,,
1,expgrad_dp,0.6408785765495666,6576,0.805352798053528,0.040363924871906987,0.05324963084673018,0.9400387177432459,4300,0.0683412055196756,0.3662373734633879,0.4622093023255814,0.8062015503875969,159.0,185.0,1.1764705882352942
1,expgrad_dp_floor,0.6408785765495666,6576,0.8048965936739659,0.04201115205801442,0.0422574367528496,0.9375377245905073,4291,0.06669397833356816,0.3840103173588462,0.4652567975830816,0.831275720164609,154.0,177.0,0.9647058823529412
2,baseline,0.6459623280975038,6576,0.8128041362530414,0.1022582175986001,0.033527864381156625,0.8515592582725856,4209,,,,,,,
2,expgrad_dp,0.6459623280975038,6576,0.79911800486618,0.023522018641139453,0.06926486199133564,0.9639510900753991,4217,0.07873619895746065,0.4620430188537097,0.49612403100775193,0.9694656488549618,192.0,195.0,0.19006889997624138
2,expgrad_dp_floor,0.6459623280975038,6576,0.8021593673965937,0.033301572707117644,0.06494489475316811,0.94930252378305,4215,0.06895664489148245,0.4642622880307967,0.4943820224719101,0.975609756097561,176.0,180.0,0.14255167498218105
3,baseline,0.6492863194942319,6576,0.809610705596107,0.1128285741826891,0.057478038085630234,0.8376553681357958,4216,,,,,,,
3,expgrad_dp,0.6492863194942319,6576,0.7947080291970803,0.031193878231983496,0.04421571091900156,0.9533787883405415,4302,0.0816346959507056,0.31729415504791325,0.40700808625336926,0.6950354609929078,151.0,220.0,2.0398481973434537
3,expgrad_dp_floor,0.6492863194942319,6576,0.7962287104622872,0.027174243491543293,0.04839528615829225,0.959101751801602,4284,0.08565433069114581,0.3567687593060695,0.4114583333333333,0.7562724014336918,158.0,226.0,1.6129032258064515
4,baseline,0.6413999869647397,6576,0.8090024330900243,0.10634940643467816,0.05283011957735906,0.8472338793856379,4244,,,,,,,
4,expgrad_dp,0.6413999869647397,6576,0.7912104622871047,0.029732765843856424,0.0625549013177426,0.9550146264026902,4253,0.07661664059082174,0.4596307856088647,0.48753462603878117,0.9625,176.0,185.0,0.21206409048067862
4,expgrad_dp_floor,0.6413999869647397,6576,0.7896897810218978,0.02765732632375084,0.05537659737516909,0.9582650095527414,4271,0.07869208011092732,0.4253178989225119,0.47956403269754766,0.8928571428571429,176.0,191.0,0.6361922714420358
