seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.35269869895658895,19962,0.7944594729986976,0.1055637290628535,0.060329095413951817,0.7087936536817016,7012,,,,,,,
0,expgrad_dp,0.35269869895658895,19962,0.7752229235547541,0.005207734088757965,0.048894930782234725,0.9851470494177845,6988,0.10035599497409553,0.11843245380477097,0.7619047619047619,1.0347322720694645,688.0,215.0,-0.34227039361095263
0,expgrad_dp_floor,0.35269869895658895,19962,0.7809838693517683,0.000591895893862382,0.06965402802988407,0.9983145518743897,7009,0.10497183316899111,0.1078839342286256,0.753393665158371,1.0043988269794721,666.0,218.0,-0.04278379920136908
1,baseline,0.35433037056120914,19962,0.7931569982967639,0.11693599226986864,0.0723637965641882,0.6770727211460524,6980,,,,,,,
1,expgrad_dp,0.35433037056120914,19962,0.7799819657348963,0.026672989720640194,0.04598053956358139,0.9231643866849065,6873,0.09026300254922845,0.165836328057066,0.792147806004619,1.1786310517529215,686.0,180.0,-1.5329512893982808
1,expgrad_dp_floor,0.35433037056120914,19962,0.7835387235747922,0.02576075507289871,0.04928795680998421,0.9276614313231589,7054,0.09117523719696993,0.0657938141227454,0.7542997542997543,0.8953323903818954,614.0,200.0,1.0601719197707737
2,baseline,0.3526342908669329,19962,0.7962128043282236,0.12071259675031085,0.07127014793982689,0.667518439123642,6991,,,,,,,
2,expgrad_dp,0.3526342908669329,19962,0.7812343452559863,0.016196023467412446,0.03423883829452412,0.953201284531308,6874,0.1045165732828984,0.1625307928170666,0.7816455696202531,1.1813953488372093,741.0,207.0,-1.6735803175511372
2,expgrad_dp_floor,0.3526342908669329,19962,0.7830878669471997,0.007234479551757933,0.049635356636009376,0.9792637937064589,6949,0.11347811719855291,0.12499325774568765,0.7523910733262487,1.061046511627907,708.0,233.0,-0.6007724216850236
3,baseline,0.35366482030142987,19962,0.795411281434726,0.12500395410729184,0.07853236524543672,0.6557518095705165,6983,,,,,,,
3,expgrad_dp,0.35366482030142987,19962,0.7814848211602043,0.021409904725471496,0.03599825347540753,0.9390538668068569,6967,0.10359404938182035,0.11418941116846937,0.7465909090909091,1.0239162929745889,657.0,223.0,-0.22912788199914078
3,expgrad_dp_floor,0.35366482030142987,19962,0.7843402464682897,0.021815960874454643,0.0326371306373332,0.9385452788822414,7040,0.1031879932328372,0.07878018991107291,0.7387173396674585,0.9182209469153515,622.0,220.0,0.816268079621939
4,baseline,0.3517969857014041,19962,0.7913034766055506,0.11557182195634319,0.06345230674538768,0.6841650699808038,7059,,,,,,,
4,expgrad_dp,0.3517969857014041,19962,0.7770263500651238,0.03226741505594782,0.029891012207567624,0.9082782657604874,6954,0.08330440690039537,0.1695941047759027,0.8045714285714286,1.1685393258426966,704.0,171.0,-1.4874628134296644
4,expgrad_dp_floor,0.3517969857014041,19962,0.7808335838092375,0.019553063856029562,0.03729457264052566,0.9450066225165564,7056,0.09601875810031363,0.10801742786496571,0.7594339622641509,1.004524886877828,644.0,204.0,-0.042498937526561836
