seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.01653140967838894,19962,0.7094980462879471,0.0025212364252759443,0.016612263658530885,0.8393882352941178,308,,,,,,,
0,expgrad_dp,0.01653140967838894,19962,0.7102995691814448,0.002599170923625379,0.03998776906117806,1.1649872304793805,320,0.005120407348901323,-0.010948980327903155,0.3684210526315789,0.4,7.0,12.0,3.896103896103896
0,expgrad_dp_floor,0.01653140967838894,19962,0.7094980462879471,0.0025212364252759443,0.016612263658530885,0.8393882352941178,308,0.0,,,,0.0,0.0,0.0
1,baseline,0.01730430675426167,19962,0.7104999499048191,0.003193995297283569,0.006686116715876066,0.8048928283642225,320,,,,,,,
1,expgrad_dp,0.01730430675426167,19962,0.7108506161707244,0.000100122349775255,0.019550415618207737,1.006116035455278,327,0.003294117647058824,0.0,0.5,0.5,7.0,7.0,2.1875
1,expgrad_dp_floor,0.01730430675426167,19962,0.7104999499048191,0.003193995297283569,0.006686116715876066,0.8048928283642225,320,0.0,,,,0.0,0.0,0.0
2,baseline,0.01616643050367126,19962,0.7114517583408476,0.005839151268513237,0.001424475900376275,0.6683027351067815,339,,,,,,,
2,expgrad_dp,0.01616643050367126,19962,0.7117523294259093,0.0051222277552608764,0.002206632752428661,0.7126881243063262,345,0.0007169235132523603,-0.31279899904320324,0.5,0.25,2.0,2.0,1.7699115044247788
2,expgrad_dp_floor,0.01616643050367126,19962,0.7114517583408476,0.005839151268513237,0.001424475900376275,0.6683027351067815,339,0.0,,,,0.0,0.0,0.0
3,baseline,0.01601614496114045,19962,0.7095481414687907,0.0023870276259856417,0.011189361420346981,0.8511279308926367,315,,,,,,,
3,expgrad_dp,0.01601614496114045,19962,0.7098988077346959,0.003876726830217425,0.038709752810389284,1.2514515508021389,316,0.0062637544562030665,0.09845463084251883,0.6363636363636364,0.9545454545454546,21.0,12.0,0.31746031746031744
3,expgrad_dp_floor,0.01601614496114045,19962,0.7095481414687907,0.0023870276259856417,0.011189361420346981,0.8511279308926367,315,0.0,,,,0.0,0.0,0.0
4,baseline,0.017411653570355103,19962,0.7098487125538523,5.6168770137421387e-05,0.011010182061809086,0.9963961066440965,311,,,,,,,
4,expgrad_dp,0.017411653570355103,19962,0.7100490932772268,0.001826184171039049,0.019705834235722128,1.1171713922979263,315,0.0018823529411764704,0.0,0.5,0.5,4.0,4.0,1.2861736334405145
4,expgrad_dp_floor,0.017411653570355103,19962,0.7098487125538523,5.6168770137421387e-05,0.011010182061809086,0.9963961066440965,311,0.0,,,,0.0,0.0,0.0
