seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.3304152076038019,1714,0.7800466744457409,0.1751640484617868,0.11209555044299768,0.4907139772085451,548,,,,,,,
0,expgrad_dp,0.3304152076038019,1714,0.7677946324387398,0.04853320535125083,0.06189730285378625,0.8515868647954503,549,0.12663084311053596,0.1336657116430168,0.6582278481012658,0.9814814814814815,52.0,27.0,0.18248175182481752
0,expgrad_dp_floor,0.3304152076038019,1714,0.7631271878646441,0.056549225965507655,0.03573174991267902,0.8412106335531278,597,0.11861482249627914,-0.10274319019291411,0.4666666666666667,0.3717948717948718,28.0,32.0,8.941605839416058
1,baseline,0.33466733366683343,1714,0.7730455075845974,0.20068618964773502,0.2210093494542072,0.4375455367937294,564,,,,,,,
1,expgrad_dp,0.33466733366683343,1714,0.7532088681446908,0.06660781776265612,0.09939301972685888,0.7996339168320915,554,0.1340783718850789,0.18178719052286188,0.6853932584269663,1.1886792452830188,61.0,28.0,-1.7730496453900708
1,expgrad_dp_floor,0.33466733366683343,1714,0.7613768961493582,0.0361777922519419,0.08880894166957737,0.9031981899345685,632,0.16450839739579312,-0.10288959122008834,0.36231884057971014,0.2765957446808511,25.0,44.0,12.056737588652481
2,baseline,0.331415707853927,1714,0.780630105017503,0.17437844416067466,0.19234911155710027,0.5212695873135382,583,,,,,,,
2,expgrad_dp,0.331415707853927,1714,0.7596266044340724,0.04873889084099653,0.08264058679706603,0.8565989207726058,571,0.12563955331967813,0.19399727148703988,0.7254901960784313,1.1818181818181819,74.0,28.0,-2.058319039451115
2,expgrad_dp_floor,0.331415707853927,1714,0.764294049008168,0.01654339820996492,0.09571777855396438,0.9532799251317052,603,0.15783504595070974,0.064343891402715,0.625,0.7530864197530864,60.0,36.0,3.4305317324185247
3,baseline,0.3319159579789895,1714,0.778879813302217,0.14547106262266138,0.1917861863037838,0.5819829581835197,562,,,,,,,
3,expgrad_dp,0.3319159579789895,1714,0.7625437572928822,0.030144351219400733,0.0867062521830248,0.9085765775132343,558,0.11532671140326065,0.15850879365865705,0.7204301075268817,1.0606060606060606,67.0,26.0,-0.7117437722419929
3,expgrad_dp_floor,0.3319159579789895,1714,0.7736289381563594,0.0684218495124968,0.047984631505413905,0.8182390796223781,629,0.07704921311016458,-0.36906306773942404,0.5185185185185185,0.3020833333333333,28.0,26.0,11.921708185053381
4,baseline,0.32591295647823915,1714,0.780630105017503,0.1713560101585778,0.12935043320769501,0.5364600238017959,593,,,,,,,
4,expgrad_dp,0.32591295647823915,1714,0.7689614935822637,0.0715528397452928,0.02959133775759691,0.7955830864530029,583,0.09980317041328499,0.1967311655598809,0.7349397590361446,1.1851851851851851,61.0,22.0,-1.6863406408094435
4,expgrad_dp_floor,0.32591295647823915,1714,0.7829638273045507,0.09654362674939793,0.043369719516373806,0.7662378086739988,685,0.07481238340917987,-0.5791965785856119,0.2926829268292683,0.12380952380952381,12.0,29.0,15.51433389544688
