seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.2600631639391329,7464,0.8045284030010718,0.09969321628826175,0.0329497856645381,0.6772975787555325,1939,,,,,,,
0,expgrad_dp,0.2600631639391329,7464,0.7960878885316184,0.03234729754573032,0.08195265981970312,0.8752271417807915,1816,0.06734591874253143,0.7377265941565364,0.6281690140845071,1.7365269461077844,223.0,132.0,-6.343476018566271
0,expgrad_dp_floor,0.2600631639391329,7464,0.795150053590568,0.030757077856420595,0.09493050037766204,0.8849952741020795,1883,0.06893613843184115,0.6018684423258024,0.5694444444444444,1.2758620689655173,205.0,155.0,-2.888086642599278
1,baseline,0.2597760551248923,7464,0.8085476956055734,0.0932685678830775,0.025769302453331755,0.6946987362720024,1937,,,,,,,
1,expgrad_dp,0.2597760551248923,7464,0.7991693461950696,0.024095160400772114,0.09042798426571708,0.9048266315693928,1801,0.06917340748230538,0.756440708934771,0.6481994459833795,1.834355828220859,234.0,127.0,-7.021166752710377
1,expgrad_dp_floor,0.2597760551248923,7464,0.7987674169346195,0.02283930048717714,0.0870976918474049,0.9150207344705228,1922,0.07042926739590036,0.5215674758548682,0.5268817204301075,1.0643776824034334,196.0,176.0,-0.7743933918430562
2,baseline,0.2566752799310939,7464,0.8057341907824223,0.08875356190826361,0.024072275683470257,0.705916393817102,1926,,,,,,,
2,expgrad_dp,0.2566752799310939,7464,0.8003751339764201,0.02339943928669913,0.0898492294713712,0.9060048001476969,1772,0.06535412262156448,0.8087343307723411,0.6504065040650406,1.9112426035502958,240.0,129.0,-7.995846313603323
2,expgrad_dp_floor,0.2566752799310939,7464,0.7938102893890675,0.021704660354812,0.08705845423422898,0.9167878067045505,1867,0.06704890155345161,0.6109264146416696,0.5580808080808081,1.2448132780082988,221.0,175.0,-3.063343717549325
3,baseline,0.2628194085558427,7464,0.8078778135048231,0.08756204614394708,0.02006022973622512,0.7133782157364223,1958,,,,,,,
3,expgrad_dp,0.2628194085558427,7464,0.7955519828510182,0.013639236143027866,0.11253347458874075,0.945036347640876,1802,0.07392281000091921,0.7757649234882221,0.6552631578947369,1.9570552147239264,249.0,131.0,-7.967313585291113
3,expgrad_dp_floor,0.2628194085558427,7464,0.7959539121114684,0.01550981248276495,0.1025769302453331,0.9422351078397809,1947,0.07205223366118213,0.5134870073435023,0.5153846153846153,1.044,201.0,189.0,-0.5617977528089888
4,baseline,0.2617283950617284,7464,0.8057341907824223,0.09625022980053313,0.024763838615697087,0.6852110029686972,1928,,,,,,,
4,expgrad_dp,0.2617283950617284,7464,0.7946141479099679,0.022843896497839855,0.08746063976928287,0.9117945874001775,1849,0.07340633330269328,0.637218839513516,0.5817694369973191,1.403061224489796,217.0,156.0,-4.097510373443983
4,expgrad_dp_floor,0.2617283950617284,7464,0.7958199356913184,0.02388891442228147,0.09637738736352663,0.9115502424912788,1928,0.07236131537825166,0.49303322615219713,0.5,1.0,182.0,182.0,0.0
