seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.32724662647143266,7464,0.7905948553054662,0.10802520911848518,0.03921799436940254,0.7153430422671672,2435,,,,,,,
0,expgrad_dp,0.32724662647143266,7464,0.7810825294748124,0.030814527989704965,0.06401616589662851,0.9073850882342783,2370,0.07721068112878021,0.605821601833388,0.5422885572139303,1.288888888888889,218.0,184.0,-2.6694045174537986
0,expgrad_dp_floor,0.32724662647143266,7464,0.779876741693462,0.029366210129607495,0.06646851672012799,0.9125714090240482,2399,0.07865899898887768,0.5543504458905761,0.5289855072463768,1.144578313253012,219.0,195.0,-1.4784394250513346
1,baseline,0.3270743611828883,7464,0.7909967845659164,0.10619025186138437,0.042072530727955915,0.7184135157368756,2424,,,,,,,
1,expgrad_dp,0.3270743611828883,7464,0.7770632368703109,0.019670351135214648,0.05853270945528388,0.9391393224074798,2340,0.08651990072616972,0.6231075697211153,0.5691964285714286,1.3442622950819672,255.0,193.0,-3.4653465346534653
1,expgrad_dp_floor,0.3270743611828883,7464,0.7794748124330118,0.01946870116738675,0.06548757639072822,0.9410643478260868,2394,0.08672155069399762,0.5393803287159409,0.5189309576837416,1.1102941176470589,233.0,216.0,-1.2376237623762376
2,baseline,0.32839506172839505,7464,0.789924973204716,0.08367784263259492,0.00932874253259175,0.7713812588290692,2424,,,,,,,
2,expgrad_dp,0.32839506172839505,7464,0.7738478027867095,0.0019446870116738846,0.08023601424325355,0.9938420956885573,2350,0.08173315562092104,0.614333511401018,0.5480093676814989,1.3122362869198312,234.0,193.0,-3.052805280528053
2,expgrad_dp_floor,0.32839506172839505,7464,0.7759914255091104,0.007624207188160703,0.07338414604239629,0.9766396761133602,2408,0.07605363544443422,0.5212188968288741,0.49754901960784315,1.062015503875969,203.0,205.0,-0.6600660066006601
3,baseline,0.3252368647717485,7464,0.7934083601286174,0.10936149921867822,0.04307799456559058,0.7124225760642958,2436,,,,,,,
3,expgrad_dp,0.3252368647717485,7464,0.7830921757770632,0.02235327235959189,0.07088274820242679,0.9330816593285635,2411,0.08700822685908632,0.5315285572796301,0.5104895104895105,1.0984251968503937,219.0,210.0,-1.026272577996716
3,expgrad_dp_floor,0.3252368647717485,7464,0.7833601286173634,0.021787388546741393,0.07679291368706043,0.934930167118493,2419,0.08757411067193682,0.5190409026798305,0.5077605321507761,1.060931899641577,229.0,222.0,-0.6978653530377669
4,baseline,0.33040482342807925,7464,0.7909967845659164,0.1062873425866348,0.02933502055069992,0.7155648484103069,2398,,,,,,,
4,expgrad_dp,0.33040482342807925,7464,0.7765273311897106,0.02112901001930323,0.07418851711250407,0.9358329262335126,2380,0.08515833256733157,0.5213519530459421,0.48598130841121495,1.0692307692307692,208.0,220.0,-0.7506255212677231
4,expgrad_dp_floor,0.33040482342807925,7464,0.7770632368703109,0.020890017464840538,0.08065291388324858,0.9381472409335238,2444,0.08539732512179427,0.42086568087940507,0.44651162790697674,0.8435374149659864,192.0,238.0,1.9182652210175146
