seed,arm,floor_target,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.758196956646569,0.8344051446945338,0.06043007169776626,0.02196452115545966,0.9239296768781279,5707,,,,,,,
0,expgrad_dp,0.758196956646569,0.82489281886388,0.02095493611545185,0.0778122378041472,0.9730569220996025,5728,0.03947513558231441,0.4217603911980439,0.4594594594594595,0.8278688524590164,85.0,100.0,0.36796916067986685
0,expgrad_dp_floor,0.758196956646569,0.8317256162915327,0.027621449581763047,0.07086030204962246,0.9646893360752056,5737,0.03280862211600322,0.3705260208727325,0.4012738853503185,0.7297297297297297,63.0,94.0,0.525670229542667
1,baseline,0.7642836635084697,0.8394962486602358,0.0737705671477158,0.020125565842050497,0.9081448416956378,5723,,,,,,,
1,expgrad_dp,0.7642836635084697,0.8348070739549839,0.03734718264546377,0.0613088816972312,0.9529554796503212,5788,0.03642338450225202,0.2539432176656144,0.3067484662576687,0.4921875,50.0,113.0,1.1357679538703478
1,expgrad_dp_floor,0.7642836635084697,0.8345391211146839,0.03417593528816987,0.06670262495505214,0.9567774936061381,5776,0.039594631859545926,0.3136970400464306,0.36416184971098264,0.5793650793650794,63.0,110.0,0.9260877162327451
2,baseline,0.7641688199827734,0.8429796355841372,0.07066653644636456,0.017886569664053664,0.9113975566888524,5693,,,,,,,
2,expgrad_dp,0.7641688199827734,0.8353429796355841,0.027878251677543875,0.0782542250988853,0.9643851099433403,5740,0.042788284768820684,0.34586930544180094,0.4083769633507853,0.6518518518518519,78.0,113.0,0.8255752678728263
2,expgrad_dp_floor,0.7641688199827734,0.8362808145766345,0.02651955602537004,0.08673438810979262,0.9661208642808912,5745,0.04414698042099452,0.3352246109000044,0.41,0.6388888888888888,82.0,118.0,0.9134024240295099
3,baseline,0.7611254665518231,0.8329314040728831,0.04627435885651254,0.032295037756202793,0.9411025314789628,5694,,,,,,,
3,expgrad_dp,0.7611254665518231,0.8255627009646302,0.0019337714863497668,0.11297644732110756,1.0025102543068087,5757,0.04820813034286231,0.3179483512685765,0.3684210526315789,0.5827814569536424,77.0,132.0,1.106427818756586
3,expgrad_dp_floor,0.7611254665518231,0.8271704180064309,0.0035308851916536765,0.10494576291501861,0.9954102131345869,5729,0.042743473664858866,0.3833281810728358,0.44,0.7463768115942029,88.0,112.0,0.6146821215314366
4,baseline,0.7621016365202412,0.8364147909967846,0.06455843827557672,0.01609133405249913,0.9185431375675951,5678,,,,,,,
4,expgrad_dp,0.7621016365202412,0.8318595927116827,0.024178463094034375,0.08473420831835071,0.9689649578195977,5726,0.04037997518154235,0.33377438217593397,0.38095238095238093,0.6521739130434783,72.0,117.0,0.8453680873547024
4,expgrad_dp_floor,0.7621016365202412,0.8317256162915327,0.02610304255905871,0.0782542250988853,0.9664604709529786,5713,0.038455395716518015,0.3710952089277981,0.40540540540540543,0.732824427480916,75.0,110.0,0.6164142303628038
