seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.7649727246626471,7464,0.8498124330117899,0.07144441125103418,0.014955907191332662,0.9105704094694299,5700,,,,,,,
0,expgrad_dp,0.7649727246626471,7464,0.8413719185423365,0.01841966173361531,0.10600203763634186,0.9764128595600675,5761,0.05302474951741887,0.33890592326944513,0.43703703703703706,0.698019801980198,118.0,152.0,1.0701754385964912
0,expgrad_dp_floor,0.7649727246626471,7464,0.8397642015005359,0.021590909090909105,0.10045846817691478,0.972463768115942,5773,0.049853502160125074,0.2968528527144297,0.4031620553359684,0.6294416243654822,102.0,151.0,1.280701754385965
1,baseline,0.7633074935400517,7464,0.8522240085744909,0.10129664950822681,0.04467817331895002,0.8763926082750305,5744,,,,,,,
1,expgrad_dp,0.7633074935400517,7464,0.8467309753483387,0.038549039433771415,0.07085281073954214,0.9517786561264823,5825,0.0627476100744554,0.32008496534549213,0.3935483870967742,0.6538461538461539,122.0,188.0,1.41016713091922
1,expgrad_dp_floor,0.7633074935400517,7464,0.8482047159699893,0.04307151392591235,0.06638049862159895,0.9463520050376392,5834,0.05822513558231446,0.2859426338691052,0.3843537414965986,0.6103896103896104,113.0,181.0,1.5668523676880224
2,baseline,0.7660063163939133,7464,0.854903536977492,0.09333118852835742,0.03504021677593949,0.8851868604059479,5724,,,,,,,
2,expgrad_dp,0.7660063163939133,7464,0.842443729903537,0.03074041731776822,0.08518368692316913,0.9609527562502737,5763,0.0625907712105892,0.4095531813342143,0.44039735099337746,0.8097560975609757,133.0,169.0,0.6813417190775681
2,expgrad_dp_floor,0.7660063163939133,7464,0.8415058949624866,0.0343103686000551,0.08271155459666785,0.95634484371802,5740,0.059020819928302326,0.45671345416317843,0.47297297297297297,0.9175257731958762,140.0,156.0,0.27952480782669464
3,baseline,0.7603215618719494,7464,0.8459271168274384,0.07161159113889148,0.010899856166846467,0.9107743625717598,5727,,,,,,,
3,expgrad_dp,0.7603215618719494,7464,0.837620578778135,0.012329373104145502,0.10541022413999757,0.984291465378422,5813,0.05928221803474598,0.29867524639254217,0.3838383838383838,0.6260869565217392,114.0,183.0,1.5016588091496421
3,expgrad_dp_floor,0.7603215618719494,7464,0.8360128617363344,0.013468609247173413,0.09569399496583963,0.9827994541372581,5795,0.05814298189171807,0.33634369503784406,0.39792387543252594,0.6837209302325581,115.0,174.0,1.1873581281648333
4,baseline,0.7670399081251794,7464,0.8486066452304395,0.08729030701351226,0.02565640026967786,0.8916317185895242,5691,,,,,,,
4,expgrad_dp,0.7670399081251794,7464,0.8385584137191854,0.028815837852743775,0.07363208677933597,0.9634342285597645,5776,0.05847446916076848,0.29828163838755034,0.38047138047138046,0.6320346320346321,113.0,184.0,1.4935863644350729
4,expgrad_dp_floor,0.7670399081251794,7464,0.8390943193997856,0.031004687930876074,0.07486066163250626,0.9606302888824043,5764,0.056285619082636185,0.31927163606299713,0.3923611111111111,0.6681818181818182,113.0,175.0,1.2827271129854156
