seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,,7464,0.8510182207931404,0.0808541685816711,0.0975973100087254,0.4183418746900314,740,,,,,,,
0,expgrad_eo,,7464,0.8508842443729904,0.05257548947513559,0.0224680244312499,0.5956389183457051,777,0.028278679106535518,0.31773764297178125,0.46285714285714286,0.7375886524822695,81.0,94.0,5.0
1,baseline,,7464,0.8516881028938906,0.07770073076569538,0.11656983549341332,0.46346794668359254,795,,,,,,,
1,expgrad_eo,,7464,0.8510182207931404,0.05167064987590772,0.009762146684302468,0.6120600414078674,804,0.026030080889787657,0.4467103665938333,0.5337423312883436,0.9243697478991597,87.0,76.0,1.1320754716981132
2,baseline,,7464,0.8539657020364416,0.07367692343046237,0.10186426610483307,0.4846700956361006,796,,,,,,,
2,expgrad_eo,,7464,0.8506162915326902,0.045517740601158194,0.0076188044010300215,0.6492074736562472,801,0.028159182829304172,0.4692441089462412,0.5384615384615384,0.957983193277311,91.0,78.0,0.628140703517588
3,baseline,,7464,0.8542336548767417,0.07005928853754939,0.07610823809827832,0.4862318840579711,760,,,,,,,
3,expgrad_eo,,7464,0.8512861736334405,0.03636535986763488,0.03142224776011404,0.6893757974285996,740,0.03369392866991451,0.5725587819059148,0.558974358974359,1.1639344262295082,109.0,86.0,-2.6315789473684212
4,baseline,,7464,0.8534297963558414,0.07667064987590771,0.10264104364851351,0.42436162870945476,712,,,,,,,
4,expgrad_eo,,7464,0.8491425509110396,0.048232259398841806,0.010670268207783315,0.5988772097467749,720,0.02843839047706591,0.45534433647805117,0.5120481927710844,0.9316239316239316,85.0,81.0,1.1235955056179776
