seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.34686011028427643,8006,0.775043717212091,0.11845507474099493,0.042224504691688924,0.7021117455405029,2719,,,,,,,
0,expgrad_dp,0.34686011028427643,8006,0.766674993754684,0.01936525718703752,0.08930981929022419,0.9440285135514075,2694,0.0990898175539574,0.521395997646119,0.5057915057915058,1.0814332247557004,262.0,256.0,-0.9194556822361162
0,expgrad_dp_floor,0.34686011028427643,8006,0.762178366225331,0.023398483953249005,0.09340458800942153,0.9349050351055389,2786,0.09505659078774592,0.4018432065909872,0.4602587800369686,0.825974025974026,249.0,292.0,2.4641412283927915
1,baseline,0.34273783393115265,8006,0.785910567074694,0.11710941718056461,0.04605697919002519,0.7067597426330927,2738,,,,,,,
1,expgrad_dp,0.34273783393115265,8006,0.783287534349238,0.034736494852363464,0.09694040338063858,0.9008638399880836,2669,0.08237292232820115,0.5945108549011524,0.554140127388535,1.2546125461254614,261.0,210.0,-2.5200876552227904
1,expgrad_dp_floor,0.34273783393115265,8006,0.7767924056957282,0.029772782780378038,0.09879935870791523,0.917171631556496,2761,0.08733663440018657,0.45698865545317424,0.48249027237354086,0.9344729344729344,248.0,266.0,0.8400292184075968
2,baseline,0.3475560790192194,8006,0.7809143142643018,0.1052955502025042,0.023258928791632244,0.7293725443505179,2702,,,,,,,
2,expgrad_dp,0.3475560790192194,8006,0.7706719960029977,0.01773004039095366,0.08745086396294754,0.9472618463534925,2622,0.08756550981155053,0.6039972165501192,0.5372549019607843,1.272108843537415,274.0,236.0,-2.9607698001480385
2,expgrad_dp_floor,0.3475560790192194,8006,0.75643267549338,0.012837126113972752,0.0786897056786019,0.962632342801522,2700,0.09245842408853144,0.4925844796711296,0.457089552238806,1.0057142857142858,245.0,291.0,-0.07401924500370097
3,baseline,0.34514695647518606,8006,0.7856607544341744,0.11797759543218123,0.04296565380924719,0.7072779466919634,2764,,,,,,,
3,expgrad_dp,0.34514695647518606,8006,0.7824131901074194,0.022404692682629568,0.10300100944124457,0.9353351484693575,2686,0.09557290274955166,0.5918224967566696,0.5433526011560693,1.2708333333333333,282.0,237.0,-2.821997105643994
3,expgrad_dp_floor,0.34514695647518606,8006,0.7765425930552086,0.024254425548938863,0.10001147992003645,0.9321075572708251,2765,0.09372316988324236,0.48854987256912086,0.491362763915547,0.9970059880239521,256.0,265.0,0.0361794500723589
4,baseline,0.3441297714010386,8006,0.7819135648263802,0.11243901025931219,0.03468691698535445,0.7198286040884496,2772,,,,,,,
4,expgrad_dp,0.3441297714010386,8006,0.7760429677741694,0.029525802112795985,0.08537814460740645,0.9163776866652852,2711,0.0829132081465162,0.5817773018949471,0.540948275862069,1.2284644194756553,251.0,213.0,-2.2005772005772006
4,expgrad_dp_floor,0.3441297714010386,8006,0.7704221833624781,0.032344852937871205,0.09469825623973249,0.9114041721004252,2796,0.08009415732144098,0.45245474330113555,0.49272349272349275,0.9279279279279279,237.0,244.0,0.8658008658008658
