seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.17099403411478026,10201,0.7819821586119008,0.09547734167231542,0.0767609648341469,0.5697826767916963,1795,,,,,,,
0,expgrad_dp,0.17099403411478026,10201,0.7727673757474758,0.02362171414890149,0.06024779990736456,0.8702400126192223,1741,0.07185562752341393,0.5550933145341826,0.5478927203065134,1.1736334405144695,286.0,236.0,-3.0083565459610027
0,expgrad_dp_floor,0.17099403411478026,10201,0.7717870796980688,0.027024360651737023,0.048499572451633555,0.8542723059656586,1759,0.0684529810205784,0.5329779858104663,0.5389221556886228,1.1168831168831168,270.0,231.0,-2.0055710306406684
1,baseline,0.1717082598101,10201,0.7807077737476718,0.0873767426929015,0.05991644992339756,0.6004987304706578,1802,,,,,,,
1,expgrad_dp,0.1717082598101,10201,0.7743358494265268,0.013672674167285431,0.09168418427334596,0.9258169781077539,1813,0.07370406852561606,0.46679291320324284,0.5157116451016636,0.9693593314763231,279.0,262.0,0.6104328523862376
1,expgrad_dp_floor,0.1717082598101,10201,0.7788452112537987,0.017392574595281818,0.09719644065984961,0.9127898392331366,1949,0.06998416809761968,0.2755146491013854,0.43189964157706096,0.6776315789473685,241.0,317.0,8.157602663706992
2,baseline,0.16742290563818166,10201,0.7823742770316635,0.08990838436456258,0.06552134178928992,0.5816927411710325,1751,,,,,,,
2,expgrad_dp,0.16742290563818166,10201,0.7714929908832467,0.02507626296277904,0.052182278120212366,0.8619631310373558,1730,0.06483212140178354,0.5131765032779468,0.5270833333333333,1.069078947368421,253.0,227.0,-1.1993146773272416
2,expgrad_dp_floor,0.16742290563818166,10201,0.7783550632290952,0.030271690533846485,0.07001638935404564,0.8969515811299563,2848,0.0596366938307161,-1.3218032766781134,0.12974296205630356,0.11102106969205834,106.0,711.0,62.64991433466591
3,baseline,0.1654902949331989,10201,0.7861974316243505,0.08932791976963102,0.058790127195638975,0.5731303562950786,1696,,,,,,,
3,expgrad_dp,0.1654902949331989,10201,0.7733555533771199,0.01709360453501435,0.06999456657284353,0.9004128105834517,1667,0.07223431523461667,0.5207794567697029,0.5190839694656488,1.0892307692307692,272.0,252.0,-1.7099056603773586
3,expgrad_dp_floor,0.1654902949331989,10201,0.7850210763650622,0.023168659223016613,0.07636147432928353,0.9087399796800015,2476,0.0661592605466144,-0.6743194528160938,0.18207282913165265,0.17894736842105263,130.0,584.0,45.990566037735846
4,baseline,0.16977564910511722,10201,0.7837466915008332,0.09646690293269343,0.07150612819325186,0.5608348394888569,1767,,,,,,,
4,expgrad_dp,0.16977564910511722,10201,0.7715910204881874,0.035008866712164605,0.032464281896889546,0.8133095716659771,1741,0.061458036220528825,0.5228950977997406,0.5362637362637362,1.0912280701754387,244.0,211.0,-1.4714204867006224
4,expgrad_dp_floor,0.16977564910511722,10201,0.7768846191549849,0.03270263622537886,0.06225549577795986,0.8531435096500389,2111,0.06376426670731457,-0.047433693279502503,0.313543599257885,0.3801801801801802,169.0,370.0,19.46802490096208
