seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.042013276195277706,10201,0.7243407509067739,0.04478199666733258,0.07596955499340864,0.3231521075137447,455,,,,,,,
0,expgrad_dp,0.042013276195277706,10201,0.7228703068326635,0.02760644192524863,0.02518170805572381,0.5334246716148074,468,0.017175554742083952,0.40722579430622974,0.4957983193277311,0.8414634146341463,59.0,60.0,2.857142857142857
0,expgrad_dp_floor,0.042013276195277706,10201,0.7232624252524262,0.028260465395572386,0.02919799052267788,0.5385868458562411,486,0.016521531271760197,0.2974865801834037,0.4336283185840708,0.6436781609195402,49.0,64.0,6.813186813186813
1,baseline,0.0426014620620116,10201,0.7238506028820704,0.04226617535034771,0.07770023515160153,0.34431651729225976,450,,,,,,,
1,expgrad_dp,0.0426014620620116,10201,0.7218900107832565,0.017629456499606032,0.014163430363059809,0.6880942311608164,490,0.02463671885074168,0.3222632264757625,0.38461538461538464,0.6491228070175439,60.0,96.0,8.88888888888889
1,expgrad_dp_floor,0.0426014620620116,10201,0.7221840995980786,0.018196564250078623,0.015639808315815712,0.6812588580035897,493,0.02406961110026909,0.30629496776793547,0.38064516129032255,0.6293103448275862,59.0,96.0,9.555555555555555
2,baseline,0.040206705318880764,10201,0.7250269581413586,0.03822409397675601,0.06152287383760288,0.3498216812313849,412,,,,,,,
2,expgrad_dp,0.040206705318880764,10201,0.7228703068326635,0.020509376928226013,0.016386236505504678,0.6346983031975906,472,0.017714717048529997,0.14939571590607842,0.31092436974789917,0.42857142857142855,37.0,82.0,14.563106796116505
2,expgrad_dp_floor,0.040206705318880764,10201,0.7230663660425448,0.02136764079249584,0.01721193928813196,0.615527823835704,462,0.01685645318426017,0.19064571596900784,0.3504273504273504,0.5,41.0,76.0,12.135922330097088
3,baseline,0.03798000168053105,10201,0.7207136555239683,0.0337455863712456,0.05539601667438629,0.36920794380251154,380,,,,,,,
3,expgrad_dp,0.03798000168053105,10201,0.7206156259190275,0.018285327602592688,0.01502208999893112,0.6390694663518085,427,0.01546025876865291,0.18340823363915892,0.297029702970297,0.45348837209302323,30.0,71.0,12.368421052631579
3,expgrad_dp_floor,0.03798000168053105,10201,0.7207136555239683,0.01889620115176801,0.015927067374496742,0.6270115518923404,424,0.014849385219477589,0.19095327587324215,0.30927835051546393,0.4634146341463415,30.0,67.0,11.578947368421053
4,baseline,0.04016469204268549,10201,0.7255171061660621,0.041728244799010286,0.05920431467559767,0.34302852682510593,443,,,,,,,
4,expgrad_dp,0.04016469204268549,10201,0.7237525732771297,0.02338868147929169,0.01941826700395484,0.5995918283965921,481,0.018339563319718595,0.2783037777549236,0.375,0.5913978494623656,45.0,75.0,8.577878103837472
4,expgrad_dp_floor,0.04016469204268549,10201,0.7244387805117145,0.02404332082716975,0.016131934300067707,0.584349126876706,472,0.017684923971840537,0.3206729932091241,0.4166666666666667,0.6777777777777778,50.0,70.0,6.54627539503386
