seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.24152415241524153,4286,0.8156789547363509,0.12442166100496485,0.13457825030100645,0.504862980181062,1027,,,,,,,
0,expgrad_dp,0.24152415241524153,4286,0.7897806812879141,0.0006340593633275549,0.06246098458451277,0.9972667185714048,994,0.1237876016416373,0.1559929221121905,0.7743589743589744,1.275,151.0,44.0,-3.2132424537487827
0,expgrad_dp_floor,0.24152415241524153,4286,0.7928138124125058,0.006389268897530859,0.0629910267381864,0.9742038249500937,1059,0.11803239210743399,0.030538493260694917,0.6866666666666666,0.7647058823529411,103.0,47.0,3.11587147030185
1,baseline,0.24272427242724273,4286,0.8138124125058329,0.11944653662685539,0.11756287057861375,0.5246615284234566,1029,,,,,,,
1,expgrad_dp,0.24272427242724273,4286,0.7867475501633224,0.015816899027007086,0.0404897725699213,0.9318926432140848,989,0.1036296375998483,0.18385206793404366,0.8082901554404145,1.3361344537815125,156.0,37.0,-3.8872691933916426
1,expgrad_dp_floor,0.24272427242724273,4286,0.7876808212785814,0.025952882344200734,0.04042961789295191,0.9000981218782204,1103,0.09349365428265466,-0.09087670744906791,0.6796875,0.5403726708074534,87.0,41.0,7.191448007774539
2,baseline,0.24082408240824082,4286,0.8212785814279048,0.11790558023476846,0.06897021740612008,0.5415963226908501,1055,,,,,,,
2,expgrad_dp,0.24082408240824082,4286,0.8016798880074661,0.023366688698628374,0.09159681046820689,0.9004866020773327,997,0.09453889153614009,0.23693516699410594,0.8379888268156425,1.6304347826086956,150.0,29.0,-5.497630331753554
2,expgrad_dp_floor,0.24082408240824082,4286,0.8026131591227251,0.01891802573128179,0.06300688339126281,0.926595792267434,1097,0.09898755450348667,-0.005201997981314245,0.6923076923076923,0.6818181818181818,90.0,40.0,3.981042654028436
3,baseline,0.24002400240024002,4286,0.8175454969668688,0.11910196699304712,0.1773325155046685,0.5206300105689171,1017,,,,,,,
3,expgrad_dp,0.24002400240024002,4286,0.7860475968268782,0.0020046523305204123,0.059048057911929006,0.9912220184309568,978,0.11709731466252671,0.1715017064846416,0.7939698492462312,1.322314049586777,158.0,41.0,-3.8348082595870205
3,expgrad_dp_floor,0.24002400240024002,4286,0.7869808679421372,0.002356907532369057,0.06949567680821554,0.9904244468036387,1054,0.11674505946067806,0.019848366816251614,0.7044025157232704,0.7533333333333333,112.0,47.0,3.6381514257620453
4,baseline,0.24042404240424042,4286,0.824778348110126,0.1528147112019716,0.17690088370930734,0.39435475682810445,1020,,,,,,,
4,expgrad_dp,0.24042404240424042,4286,0.8079794680354643,0.07269010252547767,0.03125922896930866,0.6931213497728748,986,0.08012460867649393,0.1927995907405036,0.8238993710691824,1.3434343434343434,131.0,28.0,-3.3333333333333335
4,expgrad_dp_floor,0.24042404240424042,4286,0.8058796080261316,0.0777561727920644,0.04452622731093392,0.6850834461685317,1027,0.0750585384099072,0.0720344044916972,0.7794117647058824,0.9391304347826087,106.0,30.0,0.6862745098039216
