seed,method,accuracy,dp_diff,eo_diff,baseline_accuracy,baseline_dp_diff,baseline_eo_diff,n_priv,n_unpriv,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,dp_verdict,tpr_closure,tpr_share_levelling_down,tpr_verdict,priv_lost,priv_gained,unpriv_lost,unpriv_gained,pct_churn_priv,pct_churn_unpriv,people_share_levelling_down,lost_per_gained,net_favourable_change,total_churn,arbitrariness_floor,churn_that_is_noise,positives_delta,positives_pct_change
0,expgrad_dp,0.7904936760505916,0.004232274969514949,0.08862255262284457,0.8119135046919624,0.12539741203600221,0.11572364295171067,4387,515,0.12116513706648727,0.01048552541600184,0.11067961165048543,0.08653912891006008,levelling up,0.08787424801988242,0.39575761580651553,mixed,169,123,7,64,6.656029177114201,13.78640776699029,0.7253218884120172,0.9411764705882353,11.0,0.0740514075887393,0.03916768665850673,0.5289256198347106,11,0.7232084155161078
0,expgrad_eo,0.8059975520195839,0.06213857801403527,0.07408310686827857,0.8119135046919624,0.12539741203600221,0.11572364295171067,4387,515,0.06325883402196694,0.008889901983131998,0.054368932038834944,0.14053218211459503,levelling up,0.0416405360834321,0.3624320178496721,mixed,123,84,5,33,4.718486437200821,7.378640776699029,0.7884615384615384,1.0940170940170941,-11.0,0.0499796001631987,0.002039983680130559,0.04081632653061225,-11,-0.7232084155161078
0,gridsearch_dp,0.7949816401468788,0.00946131664383515,0.0906331076020526,0.8119135046919624,0.12539741203600221,0.11572364295171067,4387,515,0.13485872867983736,0.016412126738089783,0.11844660194174758,0.12169866124908493,levelling up,0.1449086010266415,0.26716088960128226,mixed,184,112,5,66,6.747207658992478,13.78640776699029,0.736,1.0617977528089888,-11.0,0.07486740106079151,0.0,0.0,-11,-0.7232084155161078
0,prejudice_remover,0.8057935536515708,0.03140833132312815,0.08261329059531275,0.8119135046919624,0.12539741203600221,0.11572364295171067,4387,515,0.09398908071287407,0.00661043993617505,0.08737864077669902,0.07033199905815858,levelling up,0.03311035235639792,0.19817607856892175,levelling up,38,9,7,52,1.0713471620697514,11.45631067961165,0.4222222222222222,0.7377049180327869,16.0,0.021623827009383926,0.0,0.0,16,1.051939513477975
0,adversarial_debiasing,0.8110975112199102,0.0848822978747889,0.08718904605950806,0.8119135046919624,0.12539741203600221,0.11572364295171067,4387,515,0.04051511416121331,0.015272395714611364,0.025242718446601947,0.3769555147701452,mixed,0.028534596892202613,0.6898656898656892,mixed,114,47,9,22,3.6699338956006384,6.019417475728155,0.8382352941176471,1.7826086956521738,-54.0,0.03916768665850673,0.0,0.0,-54,-3.5502958579881656
1,expgrad_dp,0.7968176254589964,0.01016728595740729,0.08997711408031445,0.8219094247246022,0.13919236225299375,0.19606066940747446,4387,515,0.12902507629558646,0.020287212217916573,0.10873786407766989,0.15723464616630134,levelling up,0.1462383573734698,0.39485387547649314,mixed,189,100,4,60,6.587645315705494,12.427184466019417,0.7590361445783133,1.20625,-33.0,0.07201142390860873,0.06344349245206038,0.8810198300283285,-33,-2.099236641221374
1,expgrad_eo,0.8182374541003672,0.08735606746322433,0.14622674378092115,0.8219094247246022,0.13919236225299375,0.19606066940747446,4387,515,0.05183629478976942,0.009117848187827682,0.04271844660194174,0.17589698925832967,levelling up,0.04983392562655331,0.2896760661850395,mixed,92,52,2,24,3.2824253476179623,5.048543689320389,0.7931034482758621,1.236842105263158,-18.0,0.0346797225622195,0.005915952672378621,0.17058823529411765,-18,-1.1450381679389312
1,gridsearch_dp,0.8039575683394533,0.00856635115666099,0.1165140069822039,0.8219094247246022,0.13919236225299375,0.19606066940747446,4387,515,0.14775871340965474,0.01960337360382952,0.12815533980582522,0.13267152340099228,levelling up,0.14950177687965993,0.2896760661850387,mixed,179,93,5,71,6.200136767722817,14.757281553398059,0.716,1.1219512195121952,-20.0,0.07099143206854346,0.0,0.0,-20,-1.272264631043257
1,prejudice_remover,0.8125254997960016,0.04257769535321704,0.08099900123104087,0.8219094247246022,0.13919236225299375,0.19606066940747446,4387,515,0.09661466689977671,0.0072942785502621565,0.08932038834951456,0.07549866686213265,levelling up,0.1150616681764336,0.15397426192278563,levelling up,42,10,15,61,1.1853202644175975,14.757281553398059,0.4077669902912621,0.8028169014084507,14.0,0.026111791105671155,0.0,0.0,14,0.8905852417302799
1,adversarial_debiasing,0.8166054671562627,0.09364561225686663,0.1275346665737579,0.8219094247246022,0.13919236225299375,0.19606066940747446,4387,515,0.04554674999612712,0.012537041258263049,0.033009708737864074,0.27525654979398273,mixed,0.06852600283371657,0.3542920091517673,mixed,109,54,4,21,3.7155231365397765,4.854368932038835,0.8384615384615385,1.5066666666666666,-38.0,0.03835169318645451,0.0,0.0,-38,-2.4173027989821882
