seed,arm,floor_target,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.314997813729777,0.8119135046919624,0.12539741203600221,0.11572364295171067,0.6123196288922187,1521,,,,,,,
0,expgrad_dp,0.314997813729777,0.7904936760505916,0.004232274969514949,0.08862255262284457,0.9864770646094231,1532,0.12116513706648727,0.08653912891006008,0.7253218884120172,0.9411764705882353,169.0,64.0,0.7232084155161078
0,expgrad_dp_floor,0.314997813729777,0.7915136678906569,0.00014916091452904512,0.08992585101040379,1.000449429211565,1627,0.12554657295053126,-0.0671783337093861,0.5978260869565217,0.5203619909502263,110.0,74.0,6.969099276791584
1,baseline,0.31219938784433754,0.8219094247246022,0.13919236225299375,0.19606066940747446,0.5848831453406638,1572,,,,,,,
1,expgrad_dp,0.31219938784433754,0.7968176254589964,0.01016728595740729,0.08997711408031445,0.9677251204810812,1539,0.12902507629558646,0.15723464616630134,0.7590361445783133,1.20625,189.0,60.0,-2.099236641221374
1,expgrad_dp_floor,0.31219938784433754,0.8000815993472052,0.007195575630558948,0.09172353391964382,0.9772243937292481,1545,0.1319967866224348,0.14678711425419425,0.74,1.1636363636363636,185.0,65.0,-1.717557251908397
2,baseline,0.31377350240489726,0.8180334557323541,0.13064858440980745,0.09836132209137571,0.5977857264520524,1525,,,,,,,
2,expgrad_dp,0.31377350240489726,0.8035495716034272,0.013366942488951261,0.06456576777460343,0.9574758689637207,1534,0.11728164192085619,0.08940466081705835,0.7521739130434782,0.9510869565217391,173.0,57.0,0.5901639344262295
2,expgrad_dp_floor,0.31377350240489726,0.8047735618115055,0.003430258420177912,0.08029637888184327,0.9890794312849633,1538,0.12721832598962954,0.08421327302774644,0.7248908296943232,0.9285714285714286,166.0,63.0,0.8524590163934426
3,baseline,0.31219938784433754,0.8190534475724194,0.15107920356038693,0.19309920330755115,0.5444780302272045,1548,,,,,,,
3,expgrad_dp,0.31219938784433754,0.8084455324357405,0.053898875981773176,0.02708949141821454,0.8325393987733435,1550,0.09718032757861375,0.1008608125341591,0.7623762376237624,0.9874213836477987,154.0,48.0,0.12919896640826872
3,expgrad_dp_floor,0.31219938784433754,0.8106895144838842,0.048875649812663624,0.03520817150711687,0.8476066270588803,1547,0.1022035537477233,0.10705516025793711,0.7644230769230769,1.00625,159.0,49.0,-0.06459948320413436
4,baseline,0.3135111499781373,0.8110975112199102,0.12641896512423068,0.214061737857989,0.612709497206704,1535,,,,,,,
4,expgrad_dp,0.3135111499781373,0.7962056303549572,0.025836263806790105,0.06785318951870059,0.9154151572235909,1484,0.10058270131744057,0.20849560170211293,0.7927927927927928,1.3923076923076922,176.0,46.0,-3.3224755700325734
4,expgrad_dp_floor,0.3135111499781373,0.7978376172990616,0.030311091242660904,0.06378081649037382,0.9130883939336253,1694,0.09610787388156977,-0.23243390117759738,0.5367647058823529,0.32051282051282054,73.0,63.0,10.35830618892508
