seed,arm,floor_target,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.5759510275470048,0.8314973480212158,0.12242791477910248,0.11754068081101776,0.7912587399394005,2812,,,,,,,
0,expgrad_dp,0.5759510275470048,0.8241534067727458,0.006142596949061718,0.12089986570528413,0.9895995473502378,2892,0.11628531783004076,-0.035284176550295795,0.5263157894736842,0.47019867549668876,70.0,63.0,2.844950213371266
0,expgrad_dp_floor,0.5759510275470048,0.8235414116687066,0.012879624486291097,0.10766354527116784,0.9782262379108443,2893,0.10954829029281138,-0.04577722290234801,0.5238095238095238,0.4527027027027027,66.0,60.0,2.880512091038407
1,baseline,0.5741145605596851,0.8215014279885761,0.12185384443446101,0.09485985574728384,0.7927208935502208,2819,,,,,,,
1,expgrad_dp,0.5741145605596851,0.8137494900040799,0.03468633053084913,0.08874384330703924,0.9417869426018228,2903,0.08716751390361188,-0.09152626715006817,0.5504587155963303,0.4166666666666667,60.0,49.0,2.97978006385243
1,expgrad_dp_floor,0.5741145605596851,0.8123215014279885,0.04530685321370953,0.07499549010282566,0.9240790049470803,2902,0.07654699122075148,-0.11613653053318172,0.5268817204301075,0.3712121212121212,49.0,44.0,2.9443064916637107
2,baseline,0.5772627896808046,0.8225214198286414,0.10404881147078415,0.0775200331486281,0.8211355266762029,2798,,,,,,,
2,expgrad_dp,0.5772627896808046,0.8141574867401061,0.004766510055083328,0.12130985635749728,0.9919636127549383,2905,0.09928230141570082,-0.11479699878292933,0.46788990825688076,0.3270440251572327,51.0,58.0,3.8241601143674053
2,expgrad_dp_floor,0.5772627896808046,0.8131374949000408,0.006090368498277043,0.13144846964155885,1.0102212879119898,2924,0.1101391799690612,-0.12831641469550528,0.42342342342342343,0.27167630057803466,47.0,64.0,4.503216583273767
3,baseline,0.5751639702667249,0.831905344757242,0.12149931062871105,0.10151416190857443,0.7952295521597559,2846,,,,,,,
3,expgrad_dp,0.5751639702667249,0.8255813953488372,0.03217051261339221,0.09747391092816415,0.9461328096049803,2911,0.08932879801531884,-0.043380024873526254,0.5535714285714286,0.49612403100775193,62.0,50.0,2.2839072382290935
3,expgrad_dp_floor,0.5751639702667249,0.8257853937168502,0.024285344386880126,0.11068472083280945,0.9594597390314904,2924,0.09721396624183093,-0.058619716257808624,0.5045045045045045,0.4264705882352941,56.0,55.0,2.740688685874912
4,baseline,0.5742894621775252,0.8274173806609547,0.09752291080664183,0.062150166094291026,0.8343658498998305,2836,,,,,,,
4,expgrad_dp,0.5742894621775252,0.8212974296205631,0.018542870484507423,0.15489993494814985,1.0310605470849692,2936,0.11606578129114925,-0.07070183199353272,0.5,0.40476190476190477,66.0,66.0,3.5260930888575457
4,expgrad_dp_floor,0.5742894621775252,0.8215014279885761,0.016145230502300545,0.1589706865794571,1.027023703248223,2937,0.11366814130894237,-0.07620390092324726,0.48,0.3803680981595092,60.0,65.0,3.5613540197461213
