seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.26925696594427245,13844,0.7598959838197052,0.08403758894489538,0.056998677359007655,0.7113626608944736,3726,,,,,,,
0,expgrad_dp,0.26925696594427245,13844,0.7533227390927477,0.02258902640582028,0.04515382486856345,0.9156379123484387,3625,0.0614485625390751,0.3806451272852176,0.6347826086956522,1.4570135746606334,292.0,168.0,-2.7106816961889426
0,expgrad_dp_floor,0.26925696594427245,13844,0.7571511123952614,0.011891347769210359,0.05792738218769573,0.9642209094505915,4558,0.07214624117568502,-0.5710872815044378,0.13900414937759337,0.07862679955703211,67.0,415.0,22.32957595276436
1,baseline,0.2678328173374613,13844,0.7578734469806414,0.06729426467703456,0.020320876147050138,0.7637881152628172,3700,,,,,,,
1,expgrad_dp,0.2678328173374613,13844,0.7486997977463161,0.007731778178888371,0.06414709515468547,0.9705211531970592,3603,0.05956248649814619,0.37955372849052327,0.6086956521739131,1.4235807860262009,280.0,180.0,-2.6216216216216215
1,expgrad_dp_floor,0.2678328173374613,13844,0.7676971973418087,0.02342534512654465,0.09458872030737302,1.0657402297454088,5018,0.09071960980357921,-0.7875094757711829,0.0544,0.02730627306273063,34.0,591.0,35.62162162162162
2,baseline,0.2668111455108359,13844,0.7596792834440913,0.0844908625715605,0.05761266610795346,0.7035275982980065,3639,,,,,,,
2,expgrad_dp,0.2668111455108359,13844,0.7455215255706443,0.020915417316725943,0.042108043484305024,0.9171009565002693,3417,0.06357544525483455,0.5141515601783061,0.6928982725527831,2.1871657754010694,361.0,160.0,-6.100577081615828
2,expgrad_dp_floor,0.2668111455108359,13844,0.7502167003756139,0.019253629940652883,0.04197819969898384,0.9307276088966229,3778,0.06523723263090761,0.10801176631210475,0.3952254641909814,0.5442622950819672,149.0,228.0,3.819730695245947
3,baseline,0.26705882352941174,13844,0.7609072522392372,0.08409081364370352,0.0453153485933534,0.7090281294238528,3696,,,,,,,
3,expgrad_dp,0.26705882352941174,13844,0.7486997977463161,0.015382315818520814,0.0651178924596224,0.9403957136770399,3517,0.06870849782518271,0.45010178019092734,0.6679389312977099,1.8605769230769231,350.0,174.0,-4.843073593073593
3,expgrad_dp_floor,0.26705882352941174,13844,0.764229991331985,0.019666796111725227,0.05020940254835421,0.9409822840911576,4542,0.0644240175319783,-0.6866330950924606,0.14099783080260303,0.07338444687842278,65.0,396.0,22.88961038961039
4,baseline,0.2643653250773994,13844,0.7648078590002889,0.08359246636236825,0.0580429547190745,0.7085814325176804,3668,,,,,,,
4,expgrad_dp,0.2643653250773994,13844,0.7557786766830396,0.02762399654438913,0.02855660016390682,0.8949136274420819,3539,0.05596846981797912,0.4284071915426747,0.6465116279069767,1.6972972972972973,278.0,152.0,-3.5169029443838604
4,expgrad_dp_floor,0.2643653250773994,13844,0.7463160936145623,0.021886363216788496,0.036096231688962435,0.9188847082520331,3656,0.061706103145579755,0.2759657778710901,0.6096033402922756,1.039344262295082,292.0,187.0,-0.3271537622682661
