seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.43338290884303154,13833,0.7974409021904142,0.11373083805647738,0.04963786718725016,0.7689062013143833,6045,,,,,,,
0,expgrad_dp,0.43338290884303154,13833,0.7829827224752404,0.01468508172204247,0.09129287598944591,0.9680372961663791,6257,0.09904575633443491,0.3301218196540156,0.4004282655246253,0.6975748930099858,374.0,560.0,3.507030603804797
0,expgrad_dp_floor,0.43338290884303154,13833,0.7828381406780887,0.0160971603136974,0.08926463475535668,0.9650598950973477,6265,0.09763367774277998,0.3219604689956436,0.3982777179763186,0.6879432624113475,370.0,559.0,3.6393713813068653
1,baseline,0.4331660159881019,13833,0.7963565387117761,0.1220802608992469,0.07276321159426835,0.7507323956538586,5956,,,,,,,
1,expgrad_dp,0.4331660159881019,13833,0.7878262126798236,0.032077067616865185,0.07750413866595363,0.9310255932897461,6218,0.09000319328238171,0.2744156852534626,0.37176470588235294,0.6112759643916914,316.0,534.0,4.398925453324379
1,expgrad_dp_floor,0.4331660159881019,13833,0.7875370490855201,0.03153327644204984,0.07541062251041056,0.9320719081239277,6210,0.09054698445719706,0.2820665448134191,0.3830034924330617,0.6248153618906942,329.0,530.0,4.264607118871726
2,baseline,0.434560327198364,13833,0.794838429841683,0.11187127728491575,0.04096304195324152,0.7687279599848246,5941,,,,,,,
2,expgrad_dp,0.434560327198364,13833,0.7771994505891708,0.0059670149120135685,0.07886940690262631,0.9867700845479127,6199,0.10590426237290218,0.3087426754836465,0.3821656050955414,0.6361071932299013,360.0,582.0,4.342703248611345
2,expgrad_dp_floor,0.434560327198364,13833,0.7779223595749295,0.005344322755273356,0.0815590482444585,0.9881617519570787,6209,0.10652695452964239,0.30298596170216247,0.37671957671957673,0.6251748251748251,356.0,589.0,4.51102507995287
3,baseline,0.4335068476172771,13833,0.7982361020747488,0.1248518174279401,0.0687168405393156,0.7468144419489182,5984,,,,,,,
3,expgrad_dp,0.4335068476172771,13833,0.7857297766211234,0.03223480681143748,0.07216889689314968,0.9299465589087211,6149,0.09261701061650263,0.35606663887975826,0.41561423650975887,0.7405660377358491,362.0,509.0,2.7573529411764706
3,expgrad_dp_floor,0.4335068476172771,13833,0.785368322128244,0.030129839087609245,0.06720407063847525,0.9342202103742943,6134,0.09472197834033086,0.3703765061904288,0.42393736017897093,0.7670807453416149,379.0,515.0,2.5066844919786098
4,baseline,0.43477722005329367,13833,0.7994650473505386,0.12146627274899852,0.0698763049852269,0.7509154936375932,5931,,,,,,,
4,expgrad_dp,0.43477722005329367,13833,0.7863803947083062,0.020912066058722478,0.08730324133239484,0.954302550526079,6190,0.10055420669027604,0.29865357053086455,0.3782894736842105,0.6289398280802292,345.0,567.0,4.366885853987523
4,expgrad_dp_floor,0.43477722005329367,13833,0.785368322128244,0.021771586699792678,0.08491874058723836,0.9524825951538368,6192,0.09969468604920584,0.2955979832169802,0.37209302325581395,0.6233766233766234,336.0,567.0,4.400606980273142
