seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.6807346619773349,1097,0.577939835916135,0.26261120222652956,0.24313725490196075,0.6158767083454492,740,,,,,,,
0,expgrad_dp,0.6807346619773349,1097,0.5378304466727438,0.08205357586601059,0.1428571428571429,0.8758646616541355,722,0.18055762636051897,0.1255161023947154,0.9393939393939394,1.24,93.0,6.0,-2.4324324324324325
0,expgrad_dp_floor,0.6807346619773349,1097,0.5195989061075661,0.10660503951095868,0.13265306122448983,0.8444976076555024,748,0.15600616271557088,-0.012105766167569022,0.9354838709677419,0.9157894736842105,87.0,6.0,1.0810810810810811
1,baseline,0.6858147713950762,1097,0.5615314494074749,0.2909398141245465,0.2745098039215686,0.5913723300293173,770,,,,,,,
1,expgrad_dp,0.6858147713950762,1097,0.5223336371923427,0.13103225485810843,0.09661319073083785,0.8083381797034022,745,0.15990755926643807,0.1771561771561768,0.9423076923076923,1.337837837837838,98.0,6.0,-3.2467532467532467
1,expgrad_dp_floor,0.6858147713950762,1097,0.5068368277119416,0.15652800556632374,0.12537136066547827,0.7792767538019483,772,0.13441180855822277,0.021075984470326777,0.9333333333333333,0.9770114942528736,84.0,6.0,0.2597402597402597
2,baseline,0.6623681125439624,1097,0.5578851412944393,0.3049798717757567,0.29958407605466425,0.5641380779884935,756,,,,,,,
2,expgrad_dp,0.6623681125439624,1097,0.5095715587967183,0.051140599373788564,0.15306122448979587,0.9250928150251146,747,0.25383927240196813,0.06696035242290779,0.912621359223301,1.1058823529411765,94.0,9.0,-1.1904761904761905
2,expgrad_dp_floor,0.6623681125439624,1097,0.4968094804010939,0.0662491923860643,0.1496598639455783,0.9050637418987252,763,0.2387306793896924,0.00791089830332079,0.9108910891089109,0.9292929292929293,92.0,9.0,0.9259259259259259
3,baseline,0.6776084407971864,1097,0.5824977210574294,0.20336961383629043,0.17338086749851456,0.699625633120458,735,,,,,,,
3,expgrad_dp,0.6776084407971864,1097,0.5487693710118505,0.10416977287411155,0.16326530612244894,1.1646504320502749,698,0.307539386710402,0.14431157078215884,0.9166666666666666,1.5068493150684932,110.0,10.0,-5.034013605442177
3,expgrad_dp_floor,0.6776084407971864,1097,0.5241567912488605,0.08515978331096863,0.12585034013605445,1.1256047500366515,747,0.28852939714725906,-0.003272758590991616,0.8877551020408163,0.8787878787878788,87.0,11.0,1.6326530612244898
4,baseline,0.6658851113716295,1097,0.5897903372835005,0.2662641021818001,0.24991087344028523,0.5971804511278196,715,,,,,,,
4,expgrad_dp,0.6658851113716295,1097,0.5250683682771194,0.11391083942149993,0.20748299319727892,0.8220773171867722,698,0.15235326276030015,0.13635622247594195,0.9553571428571429,1.1888888888888889,107.0,5.0,-2.3776223776223775
4,expgrad_dp_floor,0.6658851113716295,1097,0.5150410209662717,0.12807514537050846,0.20068027210884354,0.8042834358623832,713,0.13818895681129162,0.04783312353893164,0.9532710280373832,1.02,102.0,5.0,-0.27972027972027974
