seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.028996958084778573,10849,0.6584016960088488,0.0040461118284774375,0.02833316438921757,1.137317849313964,328,,,,,,,
0,expgrad_dp,0.028996958084778573,10849,0.6584016960088488,0.010040494822530568,0.04598279736842756,1.3544415642170429,328,0.005994382994053131,0.1897870771499676,0.5238095238095238,1.0,11.0,10.0,0.0
0,expgrad_dp_floor,0.028996958084778573,10849,0.6584016960088488,0.0040461118284774375,0.02833316438921757,1.137317849313964,328,0.0,,,,0.0,0.0,0.0
1,baseline,0.0289574526922925,10849,0.6556364641902479,0.00041677233776516234,0.020668375886647564,0.9851683042552398,304,,,,,,,
1,expgrad_dp,0.0289574526922925,10849,0.655912987372108,0.0004408073327178165,0.023698986088070154,1.015623776026571,307,0.0008575796704829788,-0.1326589781586257,0.5,0.4,2.0,2.0,0.9868421052631579
1,expgrad_dp_floor,0.0289574526922925,10849,0.6556364641902479,0.00041677233776516234,0.020668375886647564,0.9851683042552398,304,0.0,,,,0.0,0.0,0.0
2,baseline,0.027021688460474855,10849,0.6570190800995483,0.0009636651654464055,0.018112951915208175,0.9645580886850464,293,,,,,,,
2,expgrad_dp,0.027021688460474855,10849,0.6570190800995483,0.0003642268660410952,0.020074022246231504,0.9865480917962133,293,0.0005994382994053103,0.18978707714996498,0.6666666666666666,1.0,2.0,1.0,0.0
2,expgrad_dp_floor,0.027021688460474855,10849,0.6570190800995483,0.0009636651654464055,0.018112951915208175,0.9645580886850464,293,0.0,,,,0.0,0.0,0.0
3,baseline,0.027930312487654565,10849,0.6588625679786155,0.0011014658031749391,0.02138041352574832,1.0379681741565008,317,,,,,,,
3,expgrad_dp,0.027930312487654565,10849,0.6591390911604756,0.0011320758887008453,0.02215277657593956,1.0384206450257931,322,3.061008552590616e-05,-14.866425992779167,0.0,0.0,0.0,1.0,1.5772870662460567
3,expgrad_dp_floor,0.027930312487654565,10849,0.6588625679786155,0.0011014658031749391,0.02138041352574832,1.0379681741565008,317,0.0,,,,0.0,0.0,0.0
4,baseline,0.030853711531624067,10849,0.6588625679786155,0.010920009879211719,0.05305471564232965,1.4050079613429156,315,,,,,,,
4,expgrad_dp,0.030853711531624067,10849,0.6588625679786155,0.00986550900870288,0.05049929167089026,1.3583381164731336,319,-0.0010545008705088385,,1.0,0.3333333333333333,1.0,0.0,1.2698412698412698
4,expgrad_dp_floor,0.030853711531624067,10849,0.6588625679786155,0.010920009879211719,0.05305471564232965,1.4050079613429156,315,0.0,,,,0.0,0.0,0.0
