seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.8124371804396276,9807,0.8581625369633935,0.07901649240886788,0.021502019616442047,0.9071209650632606,7976,,,,,,,
0,expgrad_dp,0.8124371804396276,9807,0.8488834505965127,0.03229208752046375,0.1098121405957227,0.9613468957034634,8043,0.046724404888404125,0.32773119744092716,0.38321167883211676,0.6564102564102564,105.0,169.0,0.8400200601805417
0,expgrad_dp_floor,0.8124371804396276,9807,0.8479657387580299,0.03334650873312983,0.10516546057590836,0.9600940295629281,8040,0.045669983675738046,0.3310535264564143,0.38686131386861317,0.673469387755102,106.0,168.0,0.802407221664995
1,baseline,0.8137481973517459,9807,0.8605078005506271,0.06398865475470406,0.04692985290000212,0.9238834517224999,7947,,,,,,,
1,expgrad_dp,0.8137481973517459,9807,0.8478637707759763,0.011643005439085252,0.14865607029786132,0.9857965795553936,7985,0.0523456493156188,0.39992415539221776,0.44039735099337746,0.8041237113402062,133.0,169.0,0.4781678620863219
1,expgrad_dp_floor,0.8137481973517459,9807,0.8478637707759763,0.012226556935242439,0.14275484051603454,0.9851304084797464,8007,0.05176209781946162,0.3557510644897494,0.4098360655737705,0.7142857142857143,125.0,180.0,0.7550018875047187
2,baseline,0.8114320674736704,9807,0.8560212093402672,0.06971849405764163,0.008381305770187364,0.9177127177205735,7985,,,,,,,
2,expgrad_dp,0.8114320674736704,9807,0.8469460589374936,0.017933042501465435,0.10281654498072407,0.9783181236782141,8028,0.0517854515561762,0.3892781645480429,0.44816053511705684,0.7794871794871795,134.0,165.0,0.5385097056981841
2,expgrad_dp_floor,0.8114320674736704,9807,0.8477618027939227,0.017933042501465435,0.10511430940535421,0.9783181236782141,8028,0.0517854515561762,0.3892781645480429,0.4478114478114478,0.7772020725388601,133.0,164.0,0.5385097056981841
3,baseline,0.8134422934055849,9807,0.8604058325685735,0.07695027055303982,0.011049713273515227,0.9094671731395365,7978,,,,,,,
3,expgrad_dp,0.8134422934055849,9807,0.8506169062914245,0.029469788438499123,0.07452725549740474,0.9645689492998796,8020,0.0474804821145407,0.3837489547980911,0.4444444444444444,0.772972972972973,124.0,155.0,0.5264477312609677
3,expgrad_dp_floor,0.8134422934055849,9807,0.8507188742734781,0.03007260676744583,0.07452725549740474,0.9638610346346953,8021,0.04687766378559399,0.38041386697221874,0.4404332129963899,0.7675675675675676,122.0,155.0,0.5389822010528955
4,baseline,0.8117379714198313,9807,0.858876312837769,0.06107002150879148,0.015023637225129782,0.9279532950002618,8029,,,,,,,
4,expgrad_dp,0.8117379714198313,9807,0.8515346181299072,0.02336658126983615,0.0896572333139497,0.9721275854864544,8113,0.03770344023895533,0.24677134627891764,0.3418803418803419,0.5483870967741935,80.0,154.0,1.046207497820401
4,expgrad_dp_floor,0.8117379714198313,9807,0.8500050983991027,0.02034840272117744,0.09686416402834314,0.9755582282564483,8070,0.040721618787614045,0.3712821248073401,0.4214876033057851,0.75,102.0,140.0,0.5106488977456719
