seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.10243773651324474,9740,0.7023613963039015,0.05727410137219416,0.08551401529205499,0.47418304699619107,1021,,,,,,,
0,expgrad_dp,0.10243773651324474,9740,0.6882956878850103,0.018746397532211384,0.06782120954189311,0.8186912589478208,994,0.038527703839982774,0.1435107210950466,0.8285714285714286,1.3,116.0,24.0,-2.644466209598433
0,expgrad_dp_floor,0.10243773651324474,9740,0.6937371663244353,0.017325956283155988,0.01783791027441793,0.8433213773314204,1065,0.03994814508903817,-0.04152236766855189,0.7435897435897436,0.6666666666666666,87.0,30.0,4.3095004897159646
1,baseline,0.10195370940772683,9740,0.7032854209445585,0.06201202575737695,0.06786485955607938,0.4097107906063581,980,,,,,,,
1,expgrad_dp,0.10195370940772683,9740,0.6915811088295688,0.024040091569515393,0.05635944331681908,0.763186766815765,972,0.03797193418786156,0.09319116221546284,0.7565217391304347,1.0963855421686748,87.0,28.0,-0.8163265306122449
1,expgrad_dp_floor,0.10195370940772683,9740,0.6962012320328542,0.03144342564799997,0.0040594513193217,0.7035006275965967,1011,0.03056860010937698,-0.032557753291846875,0.7837837837837838,0.7416666666666667,87.0,24.0,3.163265306122449
2,baseline,0.10622194842911203,9740,0.7074948665297741,0.056840337675677075,0.04027077558800207,0.4960713984302473,1059,,,,,,,
2,expgrad_dp,0.10622194842911203,9740,0.6955852156057495,0.024578726445036794,0.025080570651185435,0.740949390160294,907,0.03226161123064028,0.5552856243606894,0.9422222222222222,3.4126984126984126,212.0,13.0,-14.353163361661945
2,expgrad_dp_floor,0.10622194842911203,9740,0.7004106776180699,0.025381363804466178,0.022370632270455465,0.769322941825339,1054,0.031458973871210896,0.08787855864034078,0.8396946564885496,1.0471698113207548,110.0,21.0,-0.4721435316336166
3,baseline,0.10353779811669453,9740,0.7073921971252567,0.06555924182421274,0.07172424831038068,0.4193416025305036,1054,,,,,,,
3,expgrad_dp,0.10353779811669453,9740,0.6950718685831622,0.02890858929860221,0.031107910110070802,0.7318765404848617,1030,0.03665065252561053,0.1387917301565314,0.8142857142857143,1.2553191489361701,114.0,26.0,-2.2770398481973433
3,expgrad_dp_floor,0.10353779811669453,9740,0.6993839835728953,0.02229932519124711,0.009731273254880941,0.8046000022243724,1096,0.043259916632965634,-0.02811865065684751,0.7518796992481203,0.7083333333333334,100.0,33.0,3.984819734345351
4,baseline,0.1021737217284168,9740,0.7029774127310061,0.03717659497402098,0.011600101250241959,0.6396699374597302,979,,,,,,,
4,expgrad_dp,0.1021737217284168,9740,0.6895277207392198,0.0015211873892486544,0.03831016245080279,0.984647212543554,964,0.03565540758477233,0.1147529312301154,0.7786259541984732,1.1595744680851063,102.0,29.0,-1.5321756894790604
4,expgrad_dp_floor,0.1021737217284168,9740,0.6946611909650924,0.01434022146064133,0.05238001702350553,0.8667228955101958,1038,0.02283637351337965,-0.19369585304681894,0.7767857142857143,0.6118421052631579,87.0,25.0,6.026557711950971
