seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.01474082548622723,9740,0.6460985626283368,0.009189793194352314,0.01066515346617488,0.38442000106275576,139,,,,,,,
0,expgrad_dp,0.01474082548622723,9740,0.6459958932238193,0.009079210423148068,0.010370515870417658,0.387288807040836,138,0.00011058277120424599,1.0,1.0,,1.0,0.0,-0.7194244604316546
0,expgrad_dp_floor,0.01474082548622723,9740,0.6460985626283368,0.009189793194352314,0.01066515346617488,0.38442000106275576,139,0.0,,,,0.0,0.0,0.0
1,baseline,0.014872832878641204,9740,0.6453798767967146,0.010842823170216079,0.020653731712462806,0.2092608876752904,126,,,,,,,
1,expgrad_dp,0.014872832878641204,9740,0.6453798767967146,0.010842823170216079,0.020653731712462806,0.2092608876752904,126,0.0,,,,0.0,0.0,0.0
1,expgrad_dp_floor,0.014872832878641204,9740,0.6453798767967146,0.010842823170216079,0.020653731712462806,0.2092608876752904,126,0.0,,,,0.0,0.0,0.0
2,baseline,0.01474082548622723,9740,0.6466119096509241,0.008418569592022555,0.005965501938788129,0.4600771289314896,146,,,,,,,
2,expgrad_dp,0.01474082548622723,9740,0.6466119096509241,0.008418569592022555,0.005965501938788129,0.4600771289314896,146,0.0,,,,0.0,0.0,0.0
2,expgrad_dp_floor,0.01474082548622723,9740,0.6466119096509241,0.008418569592022555,0.005965501938788129,0.4600771289314896,146,0.0,,,,0.0,0.0,0.0
3,baseline,0.01531285752002112,9740,0.6474332648870637,0.009082066219248034,0.00802796510908866,0.4412984706077553,152,,,,,,,
3,expgrad_dp,0.01531285752002112,9740,0.6474332648870637,0.009082066219248034,0.00802796510908866,0.4412984706077553,152,0.0,,,,0.0,0.0,0.0
3,expgrad_dp_floor,0.01531285752002112,9740,0.6474332648870637,0.009082066219248034,0.00802796510908866,0.4412984706077553,152,0.0,,,,0.0,0.0,0.0
4,baseline,0.014344803308985302,9740,0.6448665297741273,0.003890387564848387,0.011389016201430263,0.720787501992667,133,,,,,,,
4,expgrad_dp,0.014344803308985302,9740,0.6448665297741273,0.003890387564848387,0.011389016201430263,0.720787501992667,133,0.0,,,,0.0,0.0,0.0
4,expgrad_dp_floor,0.014344803308985302,9740,0.6448665297741273,0.003890387564848387,0.011389016201430263,0.720787501992667,133,0.0,,,,0.0,0.0,0.0
