seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.23236953455571227,2431,0.8017276840806252,0.24218829585662188,0.31447014024333614,0.28401345178938914,545,,,,,,,
0,expgrad_dp,0.23236953455571227,2431,0.7877416700946113,0.019667633296433895,0.1315965449986068,0.9090195092834029,503,0.222520662560188,0.5486411011582305,0.5772058823529411,1.3652173913043477,157.0,115.0,-7.706422018348624
0,expgrad_dp_floor,0.23236953455571227,2431,0.7811600164541341,0.015239699280800295,0.13426209714869503,0.9359534206695779,561,0.2269485965758216,0.4419989526445725,0.4708029197080292,0.8896551724137931,129.0,145.0,2.9357798165137616
1,baseline,0.22619887165021157,2431,0.8029617441382148,0.21946932704910793,0.22834587164484071,0.3374705291428337,554,,,,,,,
1,expgrad_dp,0.22619887165021157,2431,0.7778691896338955,0.005479907909838544,0.18092319123246964,1.0263938635657393,511,0.22494923495894648,0.5496315260347009,0.5781818181818181,1.3706896551724137,159.0,116.0,-7.76173285198556
1,expgrad_dp_floor,0.22619887165021157,2431,0.7811600164541341,0.006410317357908812,0.15472276400111445,0.973147660839509,573,0.21305900969119912,0.43431625988531286,0.46303501945525294,0.8623188405797102,119.0,138.0,3.4296028880866425
2,baseline,0.231311706629055,2431,0.800082270670506,0.2589125754684306,0.27561066220860037,0.27774062461518056,575,,,,,,,
2,expgrad_dp,0.231311706629055,2431,0.7914438502673797,0.024632080789421862,0.12449150181108948,0.8907694624303568,520,0.23428049467900874,0.5675694478666323,0.5958188153310104,1.4741379310344827,171.0,116.0,-9.565217391304348
2,expgrad_dp_floor,0.231311706629055,2431,0.7856849033319622,0.03345806705739335,0.12065570725364538,0.8811406789066082,646,0.22545450841103726,0.341456434972513,0.3680297397769517,0.5823529411764706,99.0,170.0,12.347826086956522
3,baseline,0.2290197461212976,2431,0.7889757301522008,0.23064306912874286,0.22780718863193083,0.3212654762023723,562,,,,,,,
3,expgrad_dp,0.2290197461212976,2431,0.7708761826408885,0.011305493490529533,0.14993034271384786,0.9451363598912416,488,0.21933757563821332,0.609781774045726,0.6370370370370371,1.7551020408163265,172.0,98.0,-13.167259786476869
3,expgrad_dp_floor,0.2290197461212976,2431,0.7737556561085973,0.005598076701053334,0.17435683105786198,0.9741966787184423,521,0.22504499242768952,0.545942324638171,0.5745454545454546,1.3504273504273505,158.0,117.0,-7.295373665480427
4,baseline,0.23078279266572638,2431,0.8029617441382148,0.25454576324135636,0.2814154360546113,0.28992223095795167,580,,,,,,,
4,expgrad_dp,0.23078279266572638,2431,0.7902097902097902,0.03620039797075661,0.11005851212036782,0.8478636869595,537,0.21834536527059975,0.5520097540644527,0.5805243445692884,1.3839285714285714,155.0,112.0,-7.413793103448276
4,expgrad_dp_floor,0.23078279266572638,2431,0.7877416700946113,0.04088911828424349,0.10783876660165326,0.8406563451104936,577,0.21365664495711287,0.4767754916513829,0.5057915057915058,1.0234375,131.0,128.0,-0.5172413793103449
