seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.5168995042812078,952,0.7069327731092437,0.17849350649350648,0.11598173515981736,0.6626742587865698,490,,,,,,,
0,expgrad_dp,0.5168995042812078,952,0.634453781512605,0.06992207792207789,0.07214611872146126,0.8758989489212613,531,0.1085714285714286,-0.3157894736842102,0.8,0.5684210526315789,52.0,13.0,8.36734693877551
0,expgrad_dp_floor,0.5168995042812078,952,0.6313025210084033,0.0542337662337663,0.12853881278538815,0.9054690329590727,542,0.12425974025974018,-0.35869565217391347,0.7619047619047619,0.49019607843137253,48.0,15.0,10.612244897959183
1,baseline,0.5272645335736819,952,0.7142857142857143,0.2827012987012987,0.22716894977168955,0.4910213243546577,507,,,,,,,
1,expgrad_dp,0.5272645335736819,952,0.6596638655462185,0.1542857142857143,0.10554418192884418,0.7352941176470588,543,0.12841558441558437,-0.21359223300970911,0.7450980392156863,0.52,38.0,13.0,7.100591715976331
1,expgrad_dp_floor,0.5272645335736819,952,0.6428571428571429,0.1557402597402598,0.10587616887069107,0.7448076268300987,569,0.12696103896103889,-0.4320785597381351,0.6666666666666666,0.3111111111111111,28.0,14.0,12.22879684418146
2,baseline,0.5241099594411898,952,0.726890756302521,0.1746493506493506,0.1199856138991866,0.6755452615325227,499,,,,,,,
2,expgrad_dp,0.5241099594411898,952,0.6638655462184874,0.038129870129870125,0.0396171083937365,0.9360849878091257,565,0.13651948051948049,-0.4269406392694064,0.6052631578947368,0.25842696629213485,23.0,15.0,13.226452905811623
2,expgrad_dp_floor,0.5241099594411898,952,0.6722689075630253,0.05225974025974034,0.04771689497716891,0.9125673561620024,565,0.12238961038961027,-0.48556876061120646,0.6111111111111112,0.25,22.0,14.0,13.226452905811623
3,baseline,0.5214060387561965,952,0.7373949579831933,0.23199999999999998,0.18004758479499808,0.5518763796909493,475,,,,,,,
3,expgrad_dp,0.5214060387561965,952,0.6680672268907563,0.08259740259740261,0.030404470757483537,0.8462282398452611,505,0.14940259740259737,-0.13004172461752458,0.7758620689655172,0.6,45.0,13.0,6.315789473684211
3,expgrad_dp_floor,0.5214060387561965,952,0.667016806722689,0.10514285714285715,0.0626625352736126,0.8029978586723768,500,0.12685714285714284,-0.12612612612612625,0.8103448275862069,0.6527777777777778,47.0,11.0,5.2631578947368425
4,baseline,0.5250112663361874,952,0.7300420168067226,0.1543896103896104,0.1055718475073314,0.7161955691367455,506,,,,,,,
4,expgrad_dp,0.5250112663361874,952,0.6418067226890757,0.06877922077922077,0.061872146118721494,0.8776792313377679,530,0.08561038961038964,-0.21359223300970812,0.8387096774193549,0.6923076923076923,52.0,10.0,4.743083003952569
4,expgrad_dp_floor,0.5250112663361874,952,0.6397058823529411,0.08103896103896108,0.04515022409118574,0.8522727272727272,516,0.07335064935064933,-0.062322946175637245,0.8888888888888888,0.868421052631579,64.0,8.0,1.976284584980237
