seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.09508787742226228,952,0.7321428571428571,0.05818181818181818,0.09954337899543378,0.40106951871657753,88,,,,,,,
0,expgrad_dp,0.09508787742226228,952,0.7279411764705882,0.04633766233766233,0.09611872146118722,0.5285412262156449,90,0.011844155844155851,-0.09649122807017513,0.8,0.6666666666666666,4.0,1.0,2.272727272727273
0,expgrad_dp_floor,0.09508787742226228,952,0.7352941176470589,0.052051948051948044,0.11666666666666667,0.4995004995004996,95,0.006129870129870138,-1.118644067796608,0.5,0.125,1.0,1.0,7.954545454545454
1,baseline,0.08337088778729157,952,0.7342436974789915,0.06774025974025974,0.16621004566210046,0.27716186252771624,84,,,,,,,
1,expgrad_dp,0.08337088778729157,952,0.7300420168067226,0.034909090909090904,0.15251141552511416,0.5980861244019139,80,0.032831168831168836,0.20886075949367075,0.75,3.0,6.0,2.0,-4.761904761904762
1,expgrad_dp_floor,0.08337088778729157,952,0.7310924369747899,0.05475324675324675,0.09269406392694063,0.4157427937915743,85,0.012987012987012991,0.0,0.9,0.9,9.0,1.0,1.1904761904761905
2,baseline,0.08922938260477693,952,0.7352941176470589,0.04748051948051947,0.030874785591766724,0.5224660397074191,91,,,,,,,
2,expgrad_dp,0.08922938260477693,952,0.726890756302521,0.05475324675324675,0.032590051457975985,0.4157427937915743,85,-0.007272727272727278,,1.0,4.0,7.0,0.0,-6.593406593406593
2,expgrad_dp_floor,0.08922938260477693,952,0.7342436974789915,0.03179220779220779,0.1534246575342466,0.7102272727272727,102,0.015688311688311682,-0.655629139072848,0.6666666666666666,0.26666666666666666,4.0,2.0,12.087912087912088
3,baseline,0.0896800360522758,952,0.7132352941176471,0.03761038961038961,0.037899543378995426,0.508819538670285,70,,,,,,,
3,expgrad_dp,0.0896800360522758,952,0.7142857142857143,0.01090909090909091,0.020776255707762564,0.8264462809917356,59,0.026701298701298698,0.5136186770428013,0.9333333333333333,4.666666666666667,14.0,1.0,-15.714285714285714
3,expgrad_dp_floor,0.0896800360522758,952,0.717436974789916,0.018909090909090903,0.037899543378995426,0.7331378299120236,66,0.018701298701298705,0.30555555555555547,0.9090909090909091,1.6666666666666667,10.0,1.0,-5.714285714285714
4,baseline,0.09058134294727355,952,0.7226890756302521,0.0215064935064935,0.022602739726027388,0.7836990595611285,93,,,,,,,
4,expgrad_dp,0.09058134294727355,952,0.7048319327731093,0.02202597402597402,0.050462015160737006,1.2322015334063525,92,0.04353246753246752,0.10501193317422411,0.75,1.0833333333333333,12.0,4.0,-1.075268817204301
4,expgrad_dp_floor,0.09058134294727355,952,0.7163865546218487,0.014233766233766237,0.022602739726027388,0.8646245059288538,99,0.007272727272727264,-0.7857142857142885,0.9090909090909091,0.625,10.0,1.0,6.451612903225806
