seed,arm,floor_target,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.33488805970149255,0.7695652173913043,0.12678571428571428,0.13838612368024128,0.5965909090909091,279,,,,,,,
0,expgrad_dp,0.33488805970149255,0.7293478260869565,0.0,0.06313131313131312,1.0,276,0.12678571428571428,0.11267605633802821,0.803921568627451,1.0769230769230769,41.0,10.0,-1.075268817204301
0,expgrad_dp_floor,0.33488805970149255,0.7304347826086957,0.009523809523809545,0.0861613876319759,1.030188679245283,291,0.13630952380952382,-0.00873362445414844,0.7272727272727273,0.7333333333333333,32.0,12.0,4.301075268817204
1,baseline,0.3255597014925373,0.7858695652173913,0.13452380952380952,0.16610105580693812,0.6258278145695364,320,,,,,,,
1,expgrad_dp,0.3255597014925373,0.7728260869565218,0.05357142857142855,0.11161387631975872,0.8369565217391305,298,0.08095238095238097,0.3823529411764705,0.86,1.9166666666666667,43.0,7.0,-6.875
1,expgrad_dp_floor,0.3255597014925373,0.7652173913043478,0.04821428571428571,0.12330316742081449,0.875,351,0.08630952380952381,-0.3034482758620692,0.6428571428571429,0.38,18.0,10.0,9.6875
2,baseline,0.3269589552238806,0.7489130434782608,0.14999999999999997,0.09558823529411764,0.5714285714285715,310,,,,,,,
2,expgrad_dp,0.3269589552238806,0.716304347826087,0.05238095238095242,0.010101010101010083,0.8513513513513512,320,0.09761904761904755,-0.024390243902439525,0.7619047619047619,0.7727272727272727,32.0,10.0,3.225806451612903
2,expgrad_dp_floor,0.3269589552238806,0.717391304347826,0.0488095238095238,0.013888888888888867,0.8600682593856656,317,0.10119047619047616,0.011764705882352903,0.782608695652174,0.8444444444444444,36.0,10.0,2.2580645161290325
3,baseline,0.3283582089552239,0.7641304347826087,0.03452380952380951,0.07315233785822017,0.8884615384615385,282,,,,,,,
3,expgrad_dp,0.3283582089552239,0.7521739130434782,0.05714285714285716,0.13419913419913418,1.1797752808988764,297,0.09166666666666667,-0.09090909090909058,0.7692307692307693,0.7457627118644068,40.0,12.0,5.319148936170213
3,expgrad_dp_floor,0.3283582089552239,0.7532608695652174,0.0851190476190476,0.16026334776334775,1.26,308,0.1196428571428571,-0.14925373134328357,0.723404255319149,0.5806451612903226,34.0,13.0,9.21985815602837
4,baseline,0.32882462686567165,0.7641304347826087,0.17083333333333334,0.10434704184704185,0.5232558139534884,316,,,,,,,
4,expgrad_dp,0.32882462686567165,0.7402173913043478,0.013095238095238104,0.05817099567099565,0.9612676056338028,310,0.15773809523809523,0.12830188679245272,0.7450980392156863,1.1764705882352942,38.0,13.0,-1.8987341772151898
4,expgrad_dp_floor,0.32882462686567165,0.7315217391304348,0.06607142857142861,0.03808446455505288,0.813131313131313,320,0.10476190476190472,0.04545454545454531,0.7674418604651163,0.8974358974358975,33.0,10.0,1.2658227848101267
