seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.3434526506570005,947,0.747624076029567,0.11436950146627567,0.008803885853066129,0.7045454545454545,315,,,,,,,
0,expgrad_dp,0.3434526506570005,947,0.7180570221752904,0.0009477147557399035,0.11414693381906499,1.0031761251273446,283,0.11531721622201557,0.7692665529539463,0.6144578313253012,1.8205128205128205,51.0,32.0,-10.158730158730158
0,expgrad_dp_floor,0.3434526506570005,947,0.7043294614572334,0.030769437093197904,0.1407515387107224,1.0872093759898638,348,0.14513893855947357,0.236147472818554,0.3409090909090909,0.5352112676056338,30.0,58.0,10.476190476190476
1,baseline,0.3520616221114635,947,0.7497360084477297,0.1651705886560332,0.09304796599878573,0.5984087648363114,315,,,,,,,
1,expgrad_dp,0.3520616221114635,947,0.7254487856388595,0.034734639868392814,0.06940395205701329,0.8909596115523871,286,0.1304359487876404,0.7110151483994791,0.654320987654321,1.8285714285714285,53.0,28.0,-9.206349206349206
1,expgrad_dp_floor,0.3520616221114635,947,0.720168954593453,0.02829286174093415,0.09807256235827663,0.9216019026619925,329,0.13687772691509906,0.36823540938632887,0.48863636363636365,0.7777777777777778,43.0,45.0,4.444444444444445
2,baseline,0.3393747168101495,947,0.7602956705385427,0.1861365424504685,0.07756527018822101,0.5603632140217506,317,,,,,,,
2,expgrad_dp,0.3393747168101495,947,0.7243928194297783,0.006110972033473994,0.19338190649666065,0.980693999180872,297,0.18002557041699452,0.5935536738596012,0.6018518518518519,1.3636363636363635,65.0,43.0,-6.309148264984227
2,expgrad_dp_floor,0.3393747168101495,947,0.7170010559662091,0.030769437093197904,0.2100789313904068,1.0872093759898638,348,0.21690597954366642,0.3253230559963727,0.448,0.6555555555555556,56.0,69.0,9.779179810725552
3,baseline,0.3348436792025374,947,0.7634635691657867,0.18089281882554897,0.07452944748026724,0.5580155756774764,306,,,,,,,
3,expgrad_dp,0.3348436792025374,947,0.7518479408658922,0.04401062155782848,0.13600485731633272,0.8692858186066891,299,0.1368821972677205,0.5302416721097325,0.5443037974683544,1.1627906976744187,43.0,36.0,-2.287581699346405
3,expgrad_dp_floor,0.3348436792025374,947,0.7539598732840549,0.039987304198555174,0.11672738312082576,0.8939374177407307,339,0.1409055146269938,0.22893401015228443,0.40217391304347827,0.5657894736842105,37.0,55.0,10.784313725490197
4,baseline,0.3371091980063435,947,0.7676874340021119,0.15408411415492457,0.04462659380692158,0.6253641146037129,320,,,,,,,
4,expgrad_dp,0.3371091980063435,947,0.7317845828933475,0.0034913453973249298,0.15543412264723744,0.9891087590121185,302,0.15059276875759964,0.6024579214533797,0.5876288659793815,1.3461538461538463,57.0,40.0,-5.625
4,expgrad_dp_floor,0.3371091980063435,947,0.7360084477296727,0.009544202846720584,0.1648451730418944,0.9726362739192288,326,0.14453991130820398,0.43240651965484184,0.5157894736842106,0.90625,49.0,46.0,1.875
