seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.689170820117807,947,0.6272439281942978,0.08017130391245264,0.020084224165856868,0.8901520255785179,655,,,,,,,
0,expgrad_dp,0.689170820117807,947,0.6092925026399155,0.06780183820899788,0.20408163265306128,1.1067609896878188,632,0.14797314212145052,0.6403734026162351,0.6,1.605263157894737,51.0,34.0,-3.5114503816793894
0,expgrad_dp_floor,0.689170820117807,947,0.5860612460401268,0.04864637722623566,0.1551668286362164,1.0731169791036754,652,0.1288176811386883,0.5008328706274293,0.5476190476190477,1.0576923076923077,46.0,38.0,-0.4580152671755725
1,baseline,0.6950611690077028,947,0.6367476240760296,0.11846881482011296,0.029143897996357082,0.8363216374630195,632,,,,,,,
1,expgrad_dp,0.6950611690077028,947,0.6282998944033791,0.01444370931979122,0.10341755749919018,0.9779566774688725,614,0.10402510550032174,0.6589600343790291,0.59375,1.6,38.0,26.0,-2.848101265822785
1,expgrad_dp_floor,0.6950611690077028,947,0.6124604012671595,0.002083184321579279,0.11564625850340138,1.0031310891621312,631,0.12055199914169223,0.4850001854117999,0.5263157894736842,1.0212765957446808,40.0,36.0,-0.15822784810126583
2,baseline,0.704123244222927,947,0.6135163674762407,0.14730705958085966,0.07993197278911568,0.8136114756323817,682,,,,,,,
2,expgrad_dp,0.704123244222927,947,0.600844772967265,0.009816894356626915,0.07758341431810822,0.9860081045951524,660,0.13749016522423274,0.6452074391988556,0.5925925925925926,1.5945945945945945,48.0,33.0,-3.225806451612903
2,expgrad_dp_floor,0.704123244222927,947,0.6103484688489969,0.010223696445175512,0.09612892776158077,0.9857956486363948,677,0.13708336313568414,0.5147562367519973,0.5121951219512195,1.1063829787234043,42.0,40.0,-0.7331378299120235
3,baseline,0.7140915269596738,947,0.6578669482576558,0.1426623632072097,0.045108519598315466,0.8092708028280969,644,,,,,,,
3,expgrad_dp,0.7140915269596738,947,0.6346356916578669,0.053156963021243064,0.05766115970197605,0.9253091964347406,650,0.08950540018596664,0.4054540005993405,0.43103448275862066,0.85,25.0,33.0,0.9316770186335404
3,expgrad_dp_floor,0.7140915269596738,947,0.6198521647307286,0.05174880194549747,0.050291545189504405,0.9287016506528701,664,0.09091356126171224,0.24393961744603374,0.38461538461538464,0.6296296296296297,25.0,40.0,3.1055900621118013
4,baseline,0.7054825555052107,947,0.6219640971488912,0.13037336385094056,0.050291545189504294,0.8333371431183852,682,,,,,,,
4,expgrad_dp,0.7054825555052107,947,0.6219640971488912,0.020621736642586375,0.15646258503401367,1.0296474822455735,668,0.15099510049352693,0.5741480889362582,0.5476190476190477,1.3414634146341464,46.0,38.0,-2.0527859237536656
4,expgrad_dp_floor,0.7054825555052107,947,0.6114044350580782,0.024738931406909415,0.09904437965662449,0.9661035635971628,680,0.10563443244403115,0.4962336013542105,0.5384615384615384,1.0512820512820513,35.0,30.0,-0.2932551319648094
