seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.016311735387403714,947,0.6451953537486801,0.03165456691223804,0.05115361262902246,0.1736492006068386,22,,,,,,,
0,expgrad_dp,0.016311735387403714,947,0.6451953537486801,0.03165456691223804,0.05115361262902246,0.1736492006068386,22,0.0,,,,0.0,0.0,0.0
0,expgrad_dp_floor,0.016311735387403714,947,0.6451953537486801,0.03165456691223804,0.05115361262902246,0.1736492006068386,22,0.0,,,,0.0,0.0,0.0
1,baseline,0.014046216583597644,947,0.6462513199577613,0.021573921750947713,0.029599271402550094,0.2356667722521381,17,,,,,,,
1,expgrad_dp,0.014046216583597644,947,0.6462513199577613,0.021573921750947713,0.029599271402550094,0.2356667722521381,17,0.0,,,,0.0,0.0,0.0
1,expgrad_dp_floor,0.014046216583597644,947,0.6462513199577613,0.021573921750947713,0.029599271402550094,0.2356667722521381,17,0.0,,,,0.0,0.0,0.0
2,baseline,0.01676483914816493,947,0.6314677930306231,0.005847221228810528,0.01639344262295082,0.2749445676274945,5,,,,,,,
2,expgrad_dp,0.01676483914816493,947,0.6325237592397043,0.0006034976038909951,0.006223436551305403,1.099778270509978,6,0.0064507188327015234,0.3125433125433125,0.3333333333333333,0.5,1.0,2.0,20.0
2,expgrad_dp_floor,0.01676483914816493,947,0.6441393875395988,0.003433230813246549,0.013524457402008423,0.893569844789357,29,0.0024139904155639795,-10.022222222222222,0.0,0.0,0.0,12.0,480.0
3,baseline,0.007702763932940644,947,0.6325237592397043,0.003629926328588799,0.007134183363691562,0.549889135254989,6,,,,,,,
3,expgrad_dp,0.007702763932940644,947,0.6325237592397043,0.003629926328588799,0.007134183363691562,0.549889135254989,6,0.0,,,,0.0,0.0,0.0
3,expgrad_dp_floor,0.007702763932940644,947,0.6325237592397043,0.003629926328588799,0.007134183363691562,0.549889135254989,6,0.0,,,,0.0,0.0,0.0
4,baseline,0.009968282736746714,947,0.6441393875395988,0.02177508761891138,0.03476017000607164,0.16919665700153505,15,,,,,,,
4,expgrad_dp,0.009968282736746714,947,0.6441393875395988,0.02177508761891138,0.03476017000607164,0.16919665700153505,15,0.0,,,,0.0,0.0,0.0
4,expgrad_dp_floor,0.009968282736746714,947,0.6441393875395988,0.02177508761891138,0.03476017000607164,0.16919665700153505,15,0.0,,,,0.0,0.0,0.0
