seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,,13567,0.8451389400751824,0.18669779513018375,0.08975549948321382,0.3001316382307725,2796,,,,,,,
0,postprocess_dp,,13567,0.8281860396550453,0.010130834351760487,0.30060842675236527,0.94414317820986,2416,0.17656696077842327,0.48361155863490574,0.660472972972973,1.945273631840796,782.0,402.0,-13.590844062947067
1,baseline,,13567,0.844696690499005,0.19755120794384573,0.14579227289655483,0.2536411046411967,2720,,,,,,,
1,postprocess_dp,,13567,0.8259747917741579,0.0017137462924389224,0.31707444649485095,1.0093810451561003,2486,0.19926495423628465,0.41153651356694054,0.5922712933753943,1.4526112185686655,751.0,517.0,-8.602941176470589
2,baseline,,13567,0.8497088523623498,0.18498382594200324,0.0816311700236312,0.31496891307041425,2848,,,,,,,
2,postprocess_dp,,13567,0.8299550379597553,0.0024194342103653343,0.3383798440854141,1.0131966518752387,2498,0.18740326015236858,0.46263951225455924,0.6413570274636511,1.7882882882882882,794.0,444.0,-12.289325842696629
3,baseline,,13567,0.84381219134665,0.18740348304811016,0.0874636980929875,0.295756627921792,2784,,,,,,,
3,postprocess_dp,,13567,0.8263433330876391,0.004059426778525971,0.33121179025596603,0.9745368284673008,2145,0.1833440562695842,0.5818715042029601,0.7429657794676806,2.8905325443786984,977.0,338.0,-22.95258620689655
4,baseline,,13567,0.8510356010908823,0.17409782081767966,0.06974729785711598,0.3334498983911746,2776,,,,,,,
4,postprocess_dp,,13567,0.8251640008844991,0.008423205309118997,0.3613527661657816,1.0537558984117852,2163,0.18252102612679866,0.5725301960103205,0.7355880092236741,2.7819767441860463,957.0,344.0,-22.082132564841498
