seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.5785056848944234,1584,0.672979797979798,0.27269960737881704,0.3027187979197261,0.636975839122292,930,,,,,,,
0,expgrad_dp,0.5785056848944234,1584,0.6704545454545454,0.011966548209590866,0.0710008259911894,0.9800768023212353,940,0.2607330591692262,0.5774284074239427,0.475,0.9047619047619048,95.0,105.0,1.075268817204301
0,expgrad_dp_floor,0.5785056848944234,1584,0.6622474747474747,0.0025226867195594638,0.07620915932452277,0.9957999595777255,949,0.2701769206592576,0.557244766693954,0.45454545454545453,0.8333333333333334,95.0,114.0,2.043010752688172
1,baseline,0.5912290200324851,1584,0.6786616161616161,0.29214441674718095,0.34091665111599717,0.6135364214518424,919,,,,,,,
1,expgrad_dp,0.5912290200324851,1584,0.6508838383838383,0.014396110040359678,0.10826220631424377,1.0247518949195284,935,0.3065405267875406,0.5686897838729277,0.4661016949152542,0.873015873015873,110.0,126.0,1.7410228509249184
1,expgrad_dp_floor,0.5912290200324851,1584,0.6534090909090909,0.00011141727766017517,0.08963151615271658,1.0001859902174697,949,0.2922558340248411,0.536837253763955,0.4342105263157895,0.7674418604651163,99.0,129.0,3.264417845484222
2,baseline,0.5717379534380076,1584,0.6748737373737373,0.24588795412934045,0.28664616682758226,0.6691784668323799,943,,,,,,,
2,expgrad_dp,0.5717379534380076,1584,0.6628787878787878,0.006255996993396407,0.07439656754772395,1.0100702400582477,990,0.25214395112273685,0.4839637262984337,0.38308457711442784,0.6209677419354839,77.0,124.0,4.984093319194061
2,expgrad_dp_floor,0.5717379534380076,1584,0.6534090909090909,0.031590955577765145,0.09863711453744495,1.0527351665861635,979,0.2774789097071056,0.5197351072755604,0.41743119266055045,0.7165354330708661,91.0,127.0,3.8176033934252387
3,baseline,0.5801299404439632,1584,0.6868686868686869,0.33426846242493885,0.3407949502243353,0.5704207743581743,914,,,,,,,
3,expgrad_dp,0.5801299404439632,1584,0.6717171717171717,0.06197128760125259,0.07071633144832173,0.9007515673188061,930,0.27229717482368626,0.5645458764901309,0.46190476190476193,0.8584070796460177,97.0,113.0,1.75054704595186
3,expgrad_dp_floor,0.5801299404439632,1584,0.6666666666666666,0.04987170383624662,0.05263969234014587,0.9195165086427836,934,0.28439675858869223,0.5572447666939538,0.45454545454545453,0.8333333333333334,100.0,120.0,2.1881838074398248
4,baseline,0.5820249052517596,1584,0.6742424242424242,0.26314765450001076,0.28443932399211375,0.6421418750226147,914,,,,,,,
4,expgrad_dp,0.5820249052517596,1584,0.6527777777777778,0.0008946641101668096,0.061995227606461145,0.9984905533328469,938,0.26225299038984395,0.5438669913255213,0.4411764705882353,0.7894736842105263,90.0,114.0,2.62582056892779
4,expgrad_dp_floor,0.5820249052517596,1584,0.6521464646464646,0.004844157161553397,0.07040427679882522,1.0081078598645627,951,0.26799181166156416,0.5144798485929695,0.41232227488151657,0.7016129032258065,87.0,124.0,4.048140043763676
