seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,,1584,0.6736111111111112,0.243210613576611,0.26439924383179314,0.6692545319680139,933,,,,,,,
0,expgrad_eo,,1584,0.5713383838383839,0.0331574492427783,0.04746334774812777,0.9577326253087007,1211,0.2100531643338327,-0.23388539670978703,0.19444444444444445,0.34894613583138173,77.0,319.0,29.79635584137192
1,baseline,,1584,0.6767676767676768,0.25680851028447993,0.29850794706822553,0.6477257174141156,910,,,,,,,
1,expgrad_eo,,1584,0.553030303030303,0.011830186765290351,0.027910071154454652,0.9854202190451207,1274,0.24497832351918958,-0.33639251676667836,0.15172413793103448,0.25256673511293637,66.0,369.0,40.0
2,baseline,,1584,0.6748737373737373,0.22066108693374664,0.2665655197033744,0.7005652777307654,957,,,,,,,
2,expgrad_eo,,1584,0.5555555555555556,0.05140161272352051,0.07960860993241548,0.9329867404368979,1166,0.16925947421022614,-0.17789807728206036,0.23116883116883116,0.48267326732673266,89.0,296.0,21.839080459770116
3,baseline,,1584,0.6736111111111112,0.2746901518767159,0.2944593640722741,0.6264450736331729,903,,,,,,,
3,expgrad_eo,,1584,0.5448232323232324,0.029711828357526393,0.027950638118341975,0.9636663494310094,1267,0.24497832351918952,-0.3363925167666784,0.14660831509846828,0.28487229862475444,67.0,390.0,40.310077519379846
4,baseline,,1584,0.6723484848484849,0.24522277635226486,0.2602289599441798,0.6606676055300896,911,,,,,,,
4,expgrad_eo,,1584,0.5744949494949495,0.06840688259445937,0.0937583669363018,0.9143556688152701,1200,0.1768158937578055,-0.43021998175439874,0.185378590078329,0.3294663573085847,71.0,312.0,31.72338090010977
