seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,,1584,0.5656565656565656,0.04233523962197949,0.0696940439583621,0.95663386980281,1506,,,,,,,
0,expgrad_eo,,1584,0.5328282828282829,0.008351306991184693,0.017995505180401272,0.9915954151332734,1566,0.0339839326307948,-0.5129673125856308,0.0,0.0,0.0,49.0,3.9840637450199203
1,baseline,,1584,0.5580808080808081,0.05604122771862308,0.0798763518940715,0.943147886349757,1508,,,,,,,
1,expgrad_eo,,1584,0.5359848484848485,0.015204301039506651,0.022003521212465404,0.9847715651493195,1567,0.040836926679116425,-0.3104613755751956,0.0,0.0,0.0,51.0,3.9124668435013263
2,baseline,,1584,0.5587121212121212,0.04655412967308181,0.06372258687415311,0.9524665763370314,1507,,,,,,,
2,expgrad_eo,,1584,0.5391414141414141,0.011520879098950165,0.019958946232546126,0.9884424885350754,1568,0.03503325057413165,-0.49760288603028174,0.0,0.0,0.0,50.0,4.04777704047777
3,baseline,,1584,0.5593434343434344,0.046618984506346606,0.07995748582184614,0.9528580461161783,1522,,,,,,,
3,expgrad_eo,,1584,0.5378787878787878,0.01361951498562386,0.026011537244529537,0.9863371797203042,1566,0.032999469520722746,-0.24012295908083064,0.0,0.0,0.0,39.0,2.890932982917214
4,baseline,,1584,0.5574494949494949,0.05186557422303073,0.06985631181391116,0.9475526004251084,1517,,,,,,,
4,expgrad_eo,,1584,0.5328282828282829,0.003126335552255499,0.0022026431718061845,0.9968637237941602,1576,0.04873923867077523,-0.1625780476986591,0.0,0.0,0.0,54.0,3.889255108767304
