seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.25771521386031404,1584,0.6085858585858586,0.23402284553075367,0.2655217511013216,0.3972717733473242,392,,,,,,,
0,expgrad_dp,0.25771521386031404,1584,0.4703282828282828,0.013418298708058468,0.06856874082232012,0.9322644281217208,301,0.2206045468226952,0.862059867781304,0.5674603174603174,1.6893939393939394,143.0,109.0,-23.214285714285715
0,expgrad_dp_floor,0.25771521386031404,1584,0.5435606060606061,0.010531427155550221,0.018802771659324535,0.9886598455031532,1461,0.22349141837520345,-2.4180438260351953,0.0,0.0,0.0,728.0,272.7040816326531
1,baseline,0.26285868976719,1584,0.6098484848484849,0.20826051022461392,0.18483931425604244,0.45244840853445256,404,,,,,,,
1,expgrad_dp,0.26285868976719,1584,0.4823232323232323,0.014371165873719328,0.01964023494860499,0.5227260175622687,34,0.19388934435089458,1.8063794020275488,0.9822222222222222,93.5,221.0,4.0,-91.58415841584159
1,expgrad_dp_floor,0.26285868976719,1584,0.5372474747474747,0.03070626913425456,0.03342969897209991,0.9681321450267851,1497,0.17755424109035936,-3.284637214224838,0.0,0.0,0.0,725.0,270.54455445544556
2,baseline,0.26448294531672983,1584,0.6199494949494949,0.20731928367005187,0.17981369309838474,0.4767261280167891,430,,,,,,,
2,expgrad_dp,0.26448294531672983,1584,0.494949494949495,0.011417776543503455,0.007238895007342136,0.8052806216499816,82,0.1959015071265484,1.723107874095956,0.9393939393939394,20.333333333333332,217.0,14.0,-80.93023255813954
2,expgrad_dp_floor,0.26448294531672983,1584,0.5290404040404041,0.006977714881523545,0.009992198972099908,0.9926248943212037,1492,0.20034156878852832,-2.744915915467238,0.0,0.0,0.0,715.0,246.97674418604652
3,baseline,0.24905251759610178,1584,0.6130050505050505,0.2424822439107132,0.24048962922173273,0.39041316371450185,399,,,,,,,
3,expgrad_dp,0.24905251759610178,1584,0.48484848484848486,0.002407943553013825,0.07481359480093788,1.012986430614972,296,0.24489018746372704,0.8671696216972355,0.5730337078651685,1.7744360902255638,153.0,114.0,-25.81453634085213
3,expgrad_dp_floor,0.24905251759610178,1584,0.5429292929292929,0.03648832696148452,0.05775112978994423,0.9621935397164257,1494,0.2059939169492287,-2.7542240843444485,0.0,0.0,0.0,737.0,274.43609022556393
4,baseline,0.25879805089334057,1584,0.6092171717171717,0.22676409303841566,0.2106506975036711,0.4344342185484574,419,,,,,,,
4,expgrad_dp,0.25879805089334057,1584,0.48737373737373735,0.03351830818684179,0.031869493392070486,0.5081383147465776,76,0.19324578485157387,1.7221854105174388,0.947136563876652,21.176470588235293,215.0,12.0,-81.86157517899761
4,expgrad_dp_floor,0.25879805089334057,1584,0.5284090909090909,0.026422524249887336,0.03282167767988253,0.9722123119972018,1481,0.20034156878852832,-2.744915915467238,0.0,0.0,0.0,715.0,253.46062052505965
