seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,,1852,0.6684665226781857,0.15713402891824002,0.1251651550778189,0.7945618066365232,1181,,,,,,,
0,expgrad_eo,,1852,0.6328293736501079,0.0425042568511208,0.021008120597604207,0.932414402394389,1101,0.11462977206711922,1.1862305460300722,0.2694063926940639,1.4678362573099415,59.0,160.0,-6.7739204064352245
1,baseline,,1852,0.6765658747300216,0.12765450810455314,0.09355615272645834,0.8218891645813943,1136,,,,,,,
1,expgrad_eo,,1852,0.6047516198704104,0.063696855505181,0.08025976934273882,0.8963825345929544,1043,0.06395765259937214,1.5945394911798618,0.26666666666666666,1.4558823529411764,64.0,176.0,-8.18661971830986
2,baseline,,1852,0.6949244060475162,0.17212986183423518,0.16200816546278435,0.779848401349692,1190,,,,,,,
2,expgrad_eo,,1852,0.6220302375809935,0.08823446036734595,0.058571492664543034,0.8502559398573407,959,0.08389540146688923,2.2961277678913334,0.40609137055837563,2.7906976744186047,80.0,117.0,-19.41176470588235
3,baseline,,1852,0.6906047516198704,0.10097005180035035,0.06217192337027233,0.859120836816112,1176,,,,,,,
3,expgrad_eo,,1852,0.607451403887689,0.03628481310486509,0.0765960787832563,1.0707654089835215,1004,0.13725486490521543,1.4860384424739768,0.3111888111888112,1.8037383177570094,89.0,197.0,-14.625850340136054
4,baseline,,1852,0.7003239740820735,0.16099118014464786,0.13643501278657633,0.7822609709154763,1128,,,,,,,
4,expgrad_eo,,1852,0.6301295896328294,0.016679675024142582,0.025988155592444717,0.972095140836387,1082,0.14431150512050528,0.9815091275765429,0.23943661971830985,1.1965811965811965,68.0,216.0,-4.078014184397163
