population,arm,n,base_rate_gap,baseline_eo,eo_expgrad,dp_expgrad,eo_gridsearch,dp_gridsearch,eo_cost,group_auc,group_auc_min,pressure_over_separability
Adult,SEX,45222,0.198901432678815,0.09487798767070063,0.28019725747666085,0.01784010955375228,0.30401377538424196,0.015049534120657201,0.1853192698059602,0.9021900020383398,0.8735465187262974,0.22046512622555356
VT,SEX,3767,0.1008099840304702,0.047869197085948965,0.0607751832950972,0.008619934419664034,0.08667945225660384,0.011776926735250631,0.012905986209148233,0.7920615101903904,0.7571841591078776,0.12727544860277099
NM,SEX,8711,0.11582613599320335,0.026988593385979198,0.029868606731495596,0.040173344900080434,0.0280282104386821,0.03882480285729913,0.0028800133455163996,0.8232617047716269,0.8148106173575902,0.14069175733776365
MS,SEX,13189,0.1769685968757625,0.031131330734190735,0.1131409418308888,0.014766231425965934,0.13801792378824249,0.0036596224916261,0.08200961109669808,0.8059660841809633,0.7865101844270583,0.21957325543741837
WV,SEX,8103,0.18307739608426093,0.041915450283928235,0.13709482678554838,0.013139373524304934,0.15791461564657436,0.010148707047794933,0.09517937650162013,0.7862066255212926,0.767693733348778,0.23286168055741308
WY,SEX,3064,0.23632976345548778,0.08854439592430853,0.17988355167394465,0.02770779262886353,0.12908296943231437,0.032259595082535036,0.0913391557496361,0.7686262909902405,0.7411488075243534,0.30747030933721803
ND,SEX,4455,0.24164941514802313,0.0508252825901751,0.16488173097885325,0.0218566119307906,0.1406420318290822,0.038013960214596035,0.11405644838867812,0.7728908707206824,0.7493281140453376,0.3126565784412708
UT,SEX,16337,0.278628099035948,0.11580893495787108,0.0967892052422018,0.03288817343172913,0.08744851815112425,0.041081851630675535,-0.01901972971566927,0.8403531858628844,0.8245482973832309,0.33156071009577887
AL,SEX,22268,0.19568066070706883,0.0821901106184496,0.08328323582291107,0.01868726474701,0.0979714730101142,0.0052972794499197,0.0010931252044614666,0.8167805052786306,0.8037355481341244,0.23957557684400874
OR,SEX,21919,0.1309124289034208,0.0342843446699262,0.05692254692848394,0.0233321963770641,0.06792517829525542,0.018800066240060868,0.022638202258557737,0.8334550984886935,0.8262162011519382,0.1570719636136424
VT,RAC1P,3767,0.11311525352729487,0.07625551287523114,0.10900261275848121,0.0228354423164614,0.16984126984126977,0.06649709302325575,0.032747099883250065,0.7890440002529204,0.7651515151515151,0.14335734571334027
NM,RAC1P,8711,0.15093885524715733,0.1221924639459474,0.044427649532313006,0.028825789634715663,0.0602904071378328,0.018551299932053036,-0.0777648144136344,0.8054011652324992,0.7852034063715726,0.18740829013276267
MS,RAC1P,13189,0.16194579227500455,0.17621909192728524,0.041733799745608896,0.024339817311944,0.021721805806840633,0.041126058476643405,-0.13448529218167635,0.8056622332523143,0.7928702147925386,0.2010095367400534
WV,RAC1P,8103,0.07158245201723462,0.0416438977701487,0.03992093077710187,0.0367018503613254,0.041654357459379565,0.033615370017733605,-0.001722966993046834,0.8213307239727764,0.7932038834951456,0.08715423632393822
WY,RAC1P,3064,0.15482672474537187,0.13335847159376563,0.06161539985069394,0.0353174603174603,0.06010996084525489,0.0402777777777777,-0.07174307174307169,0.7152677881078616,0.6274509803921569,0.21645980333455778
ND,RAC1P,4455,0.151358024691358,0.20891185847989302,0.10108188305421888,0.09894308394611973,0.07378383893422259,0.0959364950864647,-0.10782997542567417,0.786253695449045,0.7279635258358663,0.19250532692875225
UT,RAC1P,16337,0.12819444650372766,0.13671521148352025,0.08105514482592077,0.009255501138624432,0.10183614555854408,0.0495587507367678,-0.05566006665759946,0.840353601194455,0.7778474882226039,0.15254822056038753
AL,RAC1P,22268,0.15759025984602842,0.1706990842382167,0.04592115207314237,0.018331586029306065,0.052448600819655,0.0212314109696117,-0.12477793216507437,0.8207983798862961,0.8025088946141576,0.19199630957831465
OR,RAC1P,21919,0.099204703680213,0.09414753988019109,0.05182830795418147,0.016852543492657402,0.0800766179696294,0.03760727978852323,-0.042319231926009636,0.8297961753342497,0.8152454780361758,0.11955309825361923
