seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.39133210384451694,18126,0.814299900695134,0.15688155905392326,0.08660333738689263,0.66505268647694,7065,,,,,,,
0,expgrad_dp,0.39133210384451694,18126,0.7654750082754055,0.02282610908269933,0.21050126478903708,0.9433326021015831,7094,0.13405544997122393,0.48911351690864596,0.4704030226700252,0.9708542713567839,747.0,841.0,0.41047416843595186
0,expgrad_dp_floor,0.39133210384451694,18126,0.7675714443341057,0.023387289291404767,0.1998668881073662,0.9458210439673502,7612,0.1334942697625185,0.27498873678738506,0.3490269930947897,0.5662172878667724,556.0,1037.0,7.7423920736022644
1,baseline,0.3913793918759162,18126,0.8151826106145867,0.1624082357012393,0.0753179164824005,0.6569780280985501,7107,,,,,,,
1,expgrad_dp,0.3913793918759162,18126,0.7675714443341057,0.01951084331552483,0.2275671422073564,0.9512148004020994,7072,0.14289739238571447,0.5145609065155808,0.49727107337780474,1.035569105691057,820.0,829.0,-0.4924722104966934
1,expgrad_dp_floor,0.3913793918759162,18126,0.7680679686637979,0.01841115217282685,0.21400485118368817,0.9568402124802887,7565,0.14399708352841245,0.32557541798928197,0.3783946891973446,0.6285482562854826,627.0,1030.0,6.444350640213874
2,baseline,0.39152125597011395,18126,0.8140792232152709,0.16173741022504579,0.08095673042545481,0.6566307187616633,7069,,,,,,,
2,expgrad_dp,0.39152125597011395,18126,0.7644819596160212,0.025467773544123662,0.21148633800593197,0.9367397572279444,7066,0.13626963668092212,0.5022627814047916,0.4906716417910448,1.0030333670374114,789.0,819.0,-0.04243881737162258
2,expgrad_dp_floor,0.39152125597011395,18126,0.7652543307955423,0.025125421232135237,0.19295971580587123,0.9410240566770228,7494,0.13661198899291055,0.32941626677593794,0.3752321981424149,0.6481788079470199,606.0,1009.0,6.012165794313199
3,baseline,0.39114295171891994,18126,0.810272536687631,0.15720586847379336,0.0766239906702697,0.6633270484307394,7036,,,,,,,
3,expgrad_dp,0.39114295171891994,18126,0.762109676707492,0.026266749818183166,0.1974237470997776,0.9358302308601706,7181,0.1309391186556102,0.43995449197426395,0.43982356647763077,0.8639774859287055,698.0,889.0,2.060830017055145
3,expgrad_dp_floor,0.39114295171891994,18126,0.766137040714995,0.027318326581899033,0.1912014085969962,0.9355421482894091,7434,0.12988754189189433,0.3319988317174465,0.38259756877799106,0.6606990622335891,598.0,965.0,5.656623081296191
4,baseline,0.39241972856669977,18126,0.8093346573982125,0.16614589019928605,0.0643210157241696,0.6480151250966636,7047,,,,,,,
4,expgrad_dp,0.39241972856669977,18126,0.7616131523777998,0.03008952975596757,0.20186047308499655,0.9251362566401731,7012,0.13605636044331848,0.5152403362258915,0.48738965952080704,1.036764705882353,773.0,813.0,-0.49666524762310205
4,expgrad_dp_floor,0.39241972856669977,18126,0.7628268785170473,0.029785113781253536,0.18558728246027134,0.93143889818334,7604,0.13636077641803251,0.27569500519091017,0.3421717171717172,0.5522508038585209,542.0,1042.0,7.904072655030509
