seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.8225820364003795,34781,0.8423277076564791,0.17708277587236254,0.11958033379932265,0.7931428845846058,28677,,,,,,,
0,expgrad_dp,0.8225820364003795,34781,0.8214542422587044,0.013755517008150475,0.14272338090489023,0.9836278759420772,29137,0.16332725886421207,0.09725334879796252,0.5622416169039963,0.7330237957051654,1224.0,953.0,1.6040729504480944
0,expgrad_dp_floor,0.8225820364003795,34781,0.8209942209827205,0.014457137550508148,0.14046928462656255,0.982790641561425,29129,0.1626256383218544,0.09831834761048772,0.5640790078089113,0.7372093023255814,1228.0,949.0,1.576176029570736
1,baseline,0.8227052604339951,34781,0.84057387654179,0.1773140663232875,0.1224031257575956,0.7928896345054269,28678,,,,,,,
1,expgrad_dp,0.8227052604339951,34781,0.8196429084845174,0.011726499233676857,0.14443382298503166,0.9860573733892029,29180,0.16558756708961064,0.09106614028704361,0.5465493283927745,0.7094907407407407,1180.0,979.0,1.7504707441244158
1,expgrad_dp_floor,0.8227052604339951,34781,0.8194128978465254,0.011992776739391364,0.14309428517094253,0.985742552833987,29182,0.16532128958389614,0.09057792549098398,0.5468895078922934,0.7079953650057937,1178.0,976.0,1.7574447311528
2,baseline,0.822816162064249,34781,0.8445990627066502,0.1839705411594903,0.1258573985602237,0.784312481749844,28526,,,,,,,
2,expgrad_dp,0.822816162064249,34781,0.8209079669934735,0.010184726569704372,0.1482481124529474,0.987795578785205,28962,0.17378581458978593,0.10609713984831902,0.559106830122592,0.7518497438816164,1277.0,1007.0,1.5284302040243989
2,expgrad_dp_floor,0.822816162064249,34781,0.8215692475777004,0.012056418299289606,0.1444773733880907,0.9855599837483114,28965,0.1719141228602007,0.10481008143445047,0.5591872791519434,0.7489994282447112,1266.0,998.0,1.5389469256117227
3,baseline,0.8225820364003795,34781,0.8430177395704551,0.17166001378328544,0.10203714268708891,0.7988856159225338,28623,,,,,,,
3,expgrad_dp,0.8225820364003795,34781,0.8198729191225094,0.007477335821622688,0.16165401527457796,0.9910402376030848,28980,0.16418267796166275,0.11571239418605603,0.5802578923966207,0.7907385697538101,1305.0,944.0,1.247248716067498
3,expgrad_dp_floor,0.8225820364003795,34781,0.8201316810902505,0.007273283235904482,0.16256857373881656,0.9912876668434424,28991,0.16438673054738095,0.1138660903479025,0.5758389261744966,0.7835294117647059,1287.0,948.0,1.2856793487754603
4,baseline,0.8229763533079492,34781,0.8465541531295823,0.17630531147740536,0.11550764527325702,0.7939415901595911,28666,,,,,,,
4,expgrad_dp,0.8229763533079492,34781,0.8263132169862856,0.017387838156600943,0.146152249305734,0.9792389009026665,29022,0.15891747332080441,0.11382201685131617,0.580718508412915,0.7883472057074911,1277.0,922.0,1.2418893462638667
4,expgrad_dp_floor,0.8229763533079492,34781,0.8259969523590466,0.016048701438444835,0.14895217730240096,0.980833027556676,29023,0.16025661003896052,0.11418081070465076,0.5786848072562358,0.7877526753864447,1276.0,929.0,1.245377799483709
