seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.6432664226830801,34781,0.7964405853770737,0.19657243919282047,0.08621034098398617,0.7107329734330847,22417,,,,,,,
0,expgrad_dp,0.6432664226830801,34781,0.7835599896495213,0.017304211250516177,0.1395013769185767,0.9740223243887676,23061,0.1792682279423043,0.07494372646768925,0.5367871136264694,0.6633559853633038,1233.0,1064.0,2.8728197350225275
0,expgrad_dp_floor,0.6432664226830801,34781,0.7816048992265893,0.015922106884656673,0.14287834775577513,0.9759950596593915,22971,0.1806503323081638,0.09005784971084797,0.552776600254345,0.7074973600844773,1304.0,1055.0,2.4713387161529194
1,baseline,0.6419972151368403,34781,0.7971306172910497,0.19094585592135555,0.06975115013108124,0.7192873956411797,22475,,,,,,,
1,expgrad_dp,0.6419972151368403,34781,0.7840200109255053,0.01187393137518633,0.12807048487567088,0.9821931524966905,23119,0.17907192454616921,0.07483050186915757,0.5501700680272109,0.6729304215337735,1294.0,1058.0,2.8654060066740823
1,expgrad_dp_floor,0.6419972151368403,34781,0.7834449843305253,0.01186783022883564,0.12679336930596624,0.9821112581162018,23001,0.1790780256925199,0.09377915706924635,0.5676801332778009,0.7261842790213431,1363.0,1038.0,2.3403781979977754
2,baseline,0.6415289638091013,34781,0.7898852821943015,0.1881539465177688,0.07489846263495104,0.718497900996081,22081,,,,,,,
2,expgrad_dp,0.6415289638091013,34781,0.7776947183807251,0.004421457301643672,0.14743444575579545,0.9932647181902905,22805,0.18373248921612512,0.06493454551341328,0.5320866978325541,0.6401590457256461,1252.0,1101.0,3.278837009193424
2,expgrad_dp_floor,0.6415289638091013,34781,0.7781834909864581,0.006504950806530352,0.1449469919010767,0.9900882554668807,22786,0.18164899571123844,0.06664237756915307,0.5360341151385928,0.6473236618309155,1257.0,1088.0,3.192790181604094
3,baseline,0.6421081167670942,34781,0.7935079497426756,0.17993690455196204,0.0700917526282493,0.7326667737860392,22295,,,,,,,
3,expgrad_dp,0.6421081167670942,34781,0.7805123486961272,0.0009795698063083114,0.16140904425737126,0.9985127980344256,22903,0.17895733474565373,0.0805480624410001,0.5543844856661045,0.689795918367347,1315.0,1057.0,2.727068849517829
3,expgrad_dp_floor,0.6421081167670942,34781,0.7786435122624421,0.0009812178495408608,0.15525500938511183,0.998501860653014,22774,0.17895568670242118,0.10127252570193887,0.5766721044045677,0.7523267838676319,1414.0,1038.0,2.1484637811168423
4,baseline,0.6435128707503112,34781,0.7988556970759898,0.19890272152779837,0.08392801788395865,0.706987032949823,22377,,,,,,,
4,expgrad_dp,0.6435128707503112,34781,0.7873551651763894,0.015502262227179875,0.14483230917302142,0.9766132345098039,22959,0.1834004593006185,0.08699049634311395,0.5554171855541719,0.7019969278033794,1338.0,1071.0,2.600884837109532
4,expgrad_dp_floor,0.6435128707503112,34781,0.7878151864523735,0.016792792957942893,0.14245736052620497,0.9746663354626874,22951,0.18210992856985547,0.08760695866176263,0.5551378446115288,0.7038183694530443,1329.0,1065.0,2.5651338427850026
