seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.5319581531181842,34781,0.7304562836031167,0.17781362096217973,0.08063122944040879,0.6848205324439677,18520,,,,,,,
0,expgrad_dp,0.5319581531181842,34781,0.7239297317500935,0.020612855579296263,0.10334692105908772,0.9627116051792756,19099,0.15720076538288347,0.07233293539612513,0.549636803874092,0.6672413793103448,1135.0,930.0,3.126349892008639
0,expgrad_dp_floor,0.5319581531181842,34781,0.744515683850378,0.0,0.0,1.0,34781,0.17781362096217973,-2.451070616285011,0.0,0.0,0.0,3804.0,87.8023758099352
1,baseline,0.5324880164627309,34781,0.7291049711049136,0.17513933782232466,0.07148432597744303,0.6900413279481311,18567,,,,,,,
1,expgrad_dp,0.5324880164627309,34781,0.7228946838791294,0.011598397736247823,0.10222404650021702,0.9789333118900969,19077,0.16354094008607684,0.08856889703167643,0.5613874942948426,0.7129994372537986,1230.0,961.0,2.7468088544191307
1,expgrad_dp_floor,0.5324880164627309,34781,0.744515683850378,0.0,0.0,1.0,34781,0.17513933782232466,-2.4835029671469537,0.0,0.0,0.0,3782.0,87.32697797167016
2,baseline,0.5321183443618843,34781,0.7234984618038585,0.16723015258995244,0.0685987608977282,0.6987032134817183,18268,,,,,,,
2,expgrad_dp,0.5321183443618843,34781,0.7174894338863173,0.002597096019141487,0.11967977388630732,0.995214351207588,18859,0.16463305657081095,0.07501792530628128,0.5439252336448598,0.6692781197537773,1164.0,976.0,3.2351653164002627
2,expgrad_dp_floor,0.5321183443618843,34781,0.744515683850378,0.0,0.0,1.0,34781,0.16723015258995244,-2.6607962495065776,0.0,0.0,0.0,3795.0,90.3930370045982
3,baseline,0.5312927433366604,34781,0.7283861878611886,0.15727925626382572,0.058918820014382534,0.7178056683909186,18410,,,,,,,
3,expgrad_dp,0.5312927433366604,34781,0.7195307782984963,0.003218041458875387,0.12590457816353756,1.0059264214547408,18906,0.1604972977227011,0.08937653572568217,0.5583992554676593,0.7147786083956297,1200.0,949.0,2.69418794133623
3,expgrad_dp_floor,0.5312927433366604,34781,0.744515683850378,0.0,0.0,1.0,34781,0.15727925626382572,-2.814460264595282,0.0,0.0,0.0,3719.0,88.92449755567627
4,baseline,0.5303315958744593,34781,0.7302262729651247,0.18261977219098396,0.08634608241402164,0.6741391978547444,18360,,,,,,,
4,expgrad_dp,0.5303315958744593,34781,0.7236422184526035,0.02028976008994432,0.09923648885037098,0.9629063628699764,18899,0.16233001210103964,0.08276367915806603,0.5608077099586967,0.6997214484679666,1222.0,957.0,2.9357298474945535
4,expgrad_dp_floor,0.5303315958744593,34781,0.744515683850378,0.0,0.0,1.0,34781,0.18261977219098396,-2.4070633267378607,0.0,0.0,0.0,3857.0,89.43899782135077
