seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.9440520911595291,34226,0.9303745690410798,0.029112923305844696,0.004249777337885563,0.969274003449296,32401,,,,,,,
0,expgrad_dp,0.9440520911595291,34226,0.926225676386373,0.014102367217680545,0.04748310666324529,0.9852524438283929,32715,0.015010556088164151,-0.5829080840814024,0.5818181818181818,0.09248554913294797,32.0,23.0,0.9691058917934632
0,expgrad_dp_floor,0.9440520911595291,34226,0.9260211535090282,0.013550396623642103,0.05048042653893303,0.985836792768186,32732,0.015562526682202593,-0.5931467258530695,0.6190476190476191,0.10540540540540541,39.0,24.0,1.0215734082281411
1,baseline,0.944114700726271,34226,0.9308128323496757,0.04378838323371148,0.05560545148689877,0.9536441924628605,32288,,,,,,,
1,expgrad_dp,0.944114700726271,34226,0.9271606381113773,0.017534462596211164,0.033939925298662854,0.9816101303325411,32617,0.026253920637500316,-0.3378560645139905,0.4925373134328358,0.09116022099447514,33.0,34.0,1.018954410307235
1,expgrad_dp_floor,0.944114700726271,34226,0.9269268976801263,0.025397294579965535,0.002306574624664215,0.9733813430246914,32631,0.018391088653745946,-0.5166346325990816,0.4807692307692308,0.06793478260869565,25.0,27.0,1.0623141724479683
2,baseline,0.9452166291009266,34226,0.931514053643429,0.025193341911397438,0.029260399737690013,0.9733295083623231,32306,,,,,,,
2,expgrad_dp,0.9452166291009266,34226,0.9240051422894875,0.006197974364211878,0.1611246542924757,1.0064790894673883,32747,0.031391316275609316,-0.3821793699609353,0.6146788990825688,0.13188976377952755,67.0,42.0,1.3650715037454342
2,expgrad_dp_floor,0.9452166291009266,34226,0.9238882720738619,0.006840148818975544,0.16498802497647758,1.0071474698197025,32761,0.03203349073037298,-0.3867201666282017,0.5904761904761905,0.11992263056092843,62.0,43.0,1.4084071070389401
3,baseline,0.945542198847984,34226,0.9317770116285865,0.03479154210830526,0.014815527613833979,0.963180261330172,32307,,,,,,,
3,expgrad_dp,0.945542198847984,34226,0.9256413253082452,0.015706716186846714,0.04845964131953351,0.9835845023272533,32733,0.019084825921458548,-0.6238940645690473,0.5588235294117647,0.08189655172413793,38.0,30.0,1.318599684278949
3,expgrad_dp_floor,0.945542198847984,34226,0.925699760416058,0.0147638621963323,0.06109400393465059,0.984571358085605,32737,0.020027679911972962,-0.5990266236122831,0.581081081081081,0.09090909090909091,43.0,31.0,1.330980901971709
4,baseline,0.9447407963936889,34226,0.9309589201192077,0.03844051192057685,0.02480896986285752,0.9594308842238268,32393,,,,,,,
4,expgrad_dp,0.9447407963936889,34226,0.9256705428621516,0.019628471916779855,0.0049610811735523175,0.9794812598142931,32722,0.018812040003796993,-0.4826973564717771,0.6142857142857143,0.11559139784946236,43.0,27.0,1.0156515296514679
4,expgrad_dp_floor,0.9447407963936889,34226,0.9256413253082452,0.020079491220406087,0.0026516123513814494,0.9790196758087255,32737,0.01836102070017076,-0.5191182690193098,0.578125,0.09711286089238845,37.0,27.0,1.0619578303954558
