seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.8555751253217722,22143,0.8547170663415075,0.09764250354843473,0.10942286796993567,0.8867053031310925,18924,,,,,,,
0,expgrad_dp,0.8555751253217722,22143,0.8474009845097774,0.02328037129767757,0.05699410026849616,0.9727222847934303,18860,0.07436213225075716,0.11279650927084732,0.7890772128060264,1.1782729805013927,419.0,112.0,-0.33819488480236737
0,expgrad_dp_floor,0.8555751253217722,22143,0.846271959535745,0.02349593167034092,0.05556128267526339,0.9725356224800769,18905,0.07414657187809381,0.08550102532125675,0.7718253968253969,1.0508021390374331,389.0,115.0,-0.10040160642570281
1,baseline,0.8527106276733698,22143,0.8542202953529332,0.09449578683140603,0.06453031132981918,0.8900328809508647,18873,,,,,,,
1,expgrad_dp,0.8527106276733698,22143,0.8444203585783318,0.025362006477416377,0.06524510376164006,0.9702066163596528,18808,0.06913378035398965,0.1163892006954783,0.8111111111111111,1.1733333333333333,438.0,102.0,-0.3444073544216606
1,expgrad_dp_floor,0.8527106276733698,22143,0.845684866549248,0.014774316094799178,0.09139177988703406,0.9827145475072773,18902,0.07972147073660685,0.05750049698891943,0.746938775510204,0.9267676767676768,366.0,124.0,0.15365866581889473
2,baseline,0.8552073857588015,22143,0.8580589802646434,0.09725237383030338,0.0698797604188181,0.8871068679442853,18916,,,,,,,
2,expgrad_dp,0.8552073857588015,22143,0.8472655015128935,0.015808773521655328,0.07298856870897347,0.9814205232785956,18815,0.08144360030864806,0.12993370337518356,0.7898193760262726,1.2576530612244898,481.0,128.0,-0.533939522097695
2,expgrad_dp_floor,0.8552073857588015,22143,0.8500654834484939,0.014776907823989438,0.07319582259498386,0.9826868202583289,18875,0.08247546600631395,0.09637887958482436,0.7664884135472371,1.1030150753768844,430.0,131.0,-0.21674772679213364
3,baseline,0.8554396423248882,22143,0.8522783723975974,0.0873629608295583,0.06784637350598505,0.8982122230243794,18862,,,,,,,
3,expgrad_dp,0.8554396423248882,22143,0.8450977735627512,0.010647091624061522,0.08016415082479511,0.9875276057787487,18885,0.07671586920549678,0.06038894495738837,0.7584158415841584,0.9439024390243902,383.0,122.0,0.12193828862262751
3,expgrad_dp_floor,0.8554396423248882,22143,0.8463622815336675,0.012741447129826722,0.07193110694049076,0.9851319572728489,18955,0.07462151369973158,0.0176448819303143,0.7320261437908496,0.7847222222222222,336.0,123.0,0.49305481921323296
4,baseline,0.8541622312114115,22143,0.8541751343539719,0.09290440552852186,0.09348551108556852,0.8920685661000584,18908,,,,,,,
4,expgrad_dp,0.8541622312114115,22143,0.8460913155398997,0.0205699587843563,0.05360296692738031,0.9758732726172847,18845,0.07233444674416556,0.11326172314185433,0.7938342967244701,1.1794871794871795,412.0,107.0,-0.3331922995557436
4,expgrad_dp_floor,0.8541622312114115,22143,0.846136476538861,0.017705472439164538,0.058820233295318824,0.9792970053123392,18908,0.07519893308935732,0.07392855529964286,0.7681451612903226,1.0,381.0,115.0,0.0
