seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.8275200467639974,181826,0.8507309185705014,0.07580813928961272,0.03174753480049114,0.9091080617638463,150262,,,,,,,
0,expgrad_dp,0.8275200467639974,181826,0.8360190511807992,0.010355347272203774,0.0819818694167852,0.9874854676410442,150265,0.06545279201740895,0.10054758636730657,0.7906522125466501,0.999340804218853,4449.0,1178.0,0.0019965127577165217
0,expgrad_dp_floor,0.8275200467639974,181826,0.8376414814162991,0.009521758132663205,0.08703078228160405,0.9885829960238626,151468,0.06628638115694951,0.0007381646318563486,0.7433925049309664,0.76175424733307,3769.0,1301.0,0.8025981286020417
1,baseline,0.827892461662479,181826,0.8514018897187421,0.07787457454525704,0.02978996466022832,0.9066968299673137,150332,,,,,,,
1,expgrad_dp,0.827892461662479,181826,0.8375314861460957,0.013260683703022802,0.07935953959144948,0.9840041370207036,150492,0.06461389084223423,0.08718088875143347,0.7824586889413474,0.9651112080244222,4309.0,1198.0,0.10643109916717665
1,expgrad_dp_floor,0.827892461662479,181826,0.8387359343548227,0.01185459007319345,0.08386238049734407,0.9858069583495388,151651,0.06601998447206359,-0.009079004123610271,0.7348622007644338,0.7397908857762873,3653.0,1318.0,0.8773913737594125
2,baseline,0.8274823338628853,181826,0.8518253715090252,0.07201000444456995,0.01811827872194388,0.9138388400111361,150643,,,,,,,
2,expgrad_dp,0.8274823338628853,181826,0.8360080516537789,0.009521770813738284,0.08687830066996782,0.9885357304429133,150843,0.06248823363083167,0.08319710849087059,0.7880575009214891,0.9562937062937062,4276.0,1150.0,0.13276421738812955
2,expgrad_dp_floor,0.8274823338628853,181826,0.8373664932407906,0.009858243119853394,0.08939219139907567,0.9882135923422147,151900,0.06215176132471656,-0.010431337094684152,0.7467811158798283,0.7485497099419884,3654.0,1239.0,0.8344231062843942
3,baseline,0.8271759165413498,181826,0.849773959719732,0.07679197981424857,0.034554043347367835,0.9082527558830664,150780,,,,,,,
3,expgrad_dp,0.8271759165413498,181826,0.8351390890191722,0.011665968424421913,0.08113151952221831,0.9859737286799564,151015,0.06512601138982665,0.08095437803560272,0.777386468952734,0.9481579527906464,4194.0,1201.0,0.1558562143520361
3,expgrad_dp_floor,0.8271759165413498,181826,0.8376249821257686,0.013169297201307106,0.0802135818566766,0.9842700007757097,151985,0.06362268261294146,-0.003364678886331809,0.7400617919670442,0.7535787321063395,3593.0,1262.0,0.799177609762568
4,baseline,0.827588401397263,181826,0.8509344098203777,0.07636170759759098,0.032089524012100135,0.9086185802833234,150541,,,,,,,
4,expgrad_dp,0.827588401397263,181826,0.8368330161803043,0.011899357605566152,0.08173593298320658,0.9856990086092071,151073,0.06446234999202483,0.05541078066414105,0.7717740411864727,0.8870248460394988,4085.0,1208.0,0.3533920991623544
4,expgrad_dp_floor,0.827588401397263,181826,0.8382189565848669,0.013850056025523916,0.0804677621981556,0.9834336347936125,151759,0.06251165157206706,-0.0063597484616227315,0.7448812448812449,0.7538896746817539,3638.0,1246.0,0.8090819112401273
